time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2025/07/05/17:47:55.854769,9376,1751712475,854364459,,0.3760000169277191,0.39597588777542114,220,0.0,24.3799991607666,-0.0208390224725008
2025/07/05/17:47:55.995034,9377,1751712475,994822738,,0.3760000169277191,0.405537486076355,219,0.0,24.369998931884766,-0.0278098713606596
2025/07/05/17:47:56.095292,9378,1751712476,94737695,,0.44600000977516174,0.4146469831466675,218,0.0,24.35999870300293,-0.028879228979349136
2025/07/05/17:47:56.175211,9379,1751712476,174884829,,0.44600000977516174,0.41855964064598083,217,0.0,24.35999870300293,-0.02551378309726715
2025/07/05/17:47:56.295301,9380,1751712476,294946472,,0.48900002241134644,0.42241141200065613,216,0.0,24.350000381469727,-0.025521455332636833
2025/07/05/17:47:56.416713,9381,1751712476,415960687,,0.5420000553131104,0.43390366435050964,215,0.0,24.350000381469727,-0.03225640207529068
2025/07/05/17:47:56.575031,9382,1751712476,574469571,,0.5420000553131104,0.45539355278015137,214,0.0,24.34000015258789,-0.03268887475132942
2025/07/05/17:47:56.676244,9383,1751712476,674835522,,0.5760000348091125,0.4624180495738983,213,0.0,24.34000015258789,-0.033926256000995636
2025/07/05/17:47:56.755082,9384,1751712476,754129469,,0.5760000348091125,0.47329092025756836,213,0.0,24.34000015258789,-0.0326235368847847
2025/07/05/17:47:56.854867,9385,1751712476,854038876,,0.37400001287460327,0.4755402207374573,212,0.0,24.34000015258789,-0.03372303023934364
2025/07/05/17:47:56.975039,9386,1751712476,974466752,,0.37400001287460327,0.486915647983551,211,0.0,24.34000015258789,-0.03440314903855324
2025/07/05/17:47:57.055023,9387,1751712477,54013042,,0.4790000319480896,0.49071967601776123,211,0.0,24.329999923706055,-0.03509103134274483
2025/07/05/17:47:57.134832,9388,1751712477,134183557,,0.4790000319480896,0.48938554525375366,210,0.0,24.329999923706055,-0.03343742713332176
2025/07/05/17:47:57.237691,9389,1751712477,236948999,,0.5160000324249268,0.4960227310657501,209,0.0,24.34000015258789,-0.02955363504588604
2025/07/05/17:47:57.315716,9390,1751712477,315027327,,0.5160000324249268,0.5035510659217834,208,0.0,24.34000015258789,-0.031870659440755844
