time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2025/07/05/17:47:55.695107,5071,1751712475,701147008,map,-1.325070858001709,4.8225226402282715,-1.3460652828216553,0.06618809411529086,0.01842481451308354,-0.9105145961221028,0.4077288715018199
2025/07/05/17:47:55.795338,5072,1751712475,802147008,map,-1.3466895818710327,4.786755561828613,-1.351925253868103,0.06566875218254736,0.01961426291067451,-0.907973633171033,0.41338453907161643
2025/07/05/17:47:55.915930,5073,1751712475,921147008,map,-1.3712443113327026,4.739070415496826,-1.3603951930999756,0.06522083542692765,0.020469477706613066,-0.905389661227766,0.4190427238963863
2025/07/05/17:47:56.017141,5074,1751712476,22147008,map,-1.3935939073562622,4.701168537139893,-1.3676204681396484,0.06535721729792575,0.02050397361573393,-0.9021510541279575,0.42594776293443815
2025/07/05/17:47:56.115568,5075,1751712476,121147008,map,-1.4120594263076782,4.654131889343262,-1.3748996257781982,0.06549524966792329,0.020539493014149535,-0.8991760246426217,0.43217008018319547
2025/07/05/17:47:56.217473,5076,1751712476,222147008,map,-1.4327608346939087,4.610859394073486,-1.3797205686569214,0.065845888920196,0.020464541325102635,-0.8961869461762058,0.4382858416194031
2025/07/05/17:47:56.334657,5077,1751712476,340147008,map,-1.458876371383667,4.5511555671691895,-1.3854014873504639,0.06587985145266728,0.02053137861705278,-0.8931567598868487,0.4444201952354143
2025/07/05/17:47:56.515662,5078,1751712476,521147008,map,-1.5005340576171875,4.458000659942627,-1.390062689781189,0.06588219183696523,0.020648980000770704,-0.8888763651776448,0.45291496315783536
2025/07/05/17:47:56.637591,5079,1751712476,643147008,map,-1.5317939519882202,4.395191192626953,-1.3927432298660278,0.06559489774983118,0.021500234496501548,-0.8839312354841489,0.46249391373427895
2025/07/05/17:47:56.715574,5080,1751712476,721147008,map,-1.558353066444397,4.352671146392822,-1.394830346107483,0.06524338290481724,0.022337909994373305,-0.8808650819305215,0.4683172281688495
2025/07/05/17:47:56.795502,5081,1751712476,802147008,map,-1.5846610069274902,4.3127217292785645,-1.3961642980575562,0.06494008622578197,0.023019457826537207,-0.8783994253296559,0.4729348151097472
2025/07/05/17:47:56.895846,5082,1751712476,902147008,map,-1.6130834817886353,4.262497901916504,-1.3978943824768066,0.06447640279092105,0.02397709787237304,-0.8753494105979424,0.4785721488204224
2025/07/05/17:47:57.016418,5083,1751712477,22147008,map,-1.64651620388031,4.20613956451416,-1.3999087810516357,0.06413529808862933,0.02460608410178385,-0.871577853049193,0.4854206940772283
2025/07/05/17:47:57.095812,5084,1751712477,101147008,map,-1.6643210649490356,4.161354064941406,-1.401142954826355,0.0637980795463648,0.025214364541616654,-0.8688602261091075,0.49028149909270335
