time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:48:04.675124,9457,1751712484,681147008,,255,()
2025/07/05/17:48:04.754394,9458,1751712484,761147008,,255,()
2025/07/05/17:48:04.875849,9459,1751712484,880147008,,255,()
2025/07/05/17:48:04.995868,9460,1751712485,2147008,,255,()
2025/07/05/17:48:05.054202,9461,1751712485,61147008,,255,()
2025/07/05/17:48:05.154249,9462,1751712485,161147008,,255,()
2025/07/05/17:48:05.274289,9463,1751712485,280147008,,255,()
2025/07/05/17:48:05.354582,9464,1751712485,361147008,,255,()
2025/07/05/17:48:05.574107,9465,1751712485,581147008,,255,()
2025/07/05/17:48:05.654470,9466,1751712485,661147008,,255,()
2025/07/05/17:48:05.774076,9467,1751712485,780147008,,255,()
2025/07/05/17:48:05.874912,9468,1751712485,881147008,,255,()
2025/07/05/17:48:05.996476,9469,1751712486,2147008,,255,()
2025/07/05/17:48:06.095174,9470,1751712486,101147008,,255,()
2025/07/05/17:48:06.196064,9471,1751712486,202147008,,255,()
2025/07/05/17:48:06.254350,9472,1751712486,260147008,,255,()
2025/07/05/17:48:06.354466,9473,1751712486,360147008,,255,()
2025/07/05/17:48:06.553876,9474,1751712486,560147008,,255,()
2025/07/05/17:48:06.634482,9475,1751712486,640147008,,255,()
2025/07/05/17:48:06.715265,9476,1751712486,721147008,,255,()
2025/07/05/17:48:06.819118,9477,1751712486,824147008,,255,()
2025/07/05/17:48:06.895597,9478,1751712486,902147008,,255,()
2025/07/05/17:48:06.998538,9479,1751712487,2147008,,255,()
2025/07/05/17:48:07.095102,9480,1751712487,101147008,,255,()
2025/07/05/17:48:07.196170,9481,1751712487,202147008,,255,()
2025/07/05/17:48:07.254436,9482,1751712487,261147008,,255,()
2025/07/05/17:48:07.395932,9483,1751712487,402147008,,255,()
2025/07/05/17:48:07.534430,9484,1751712487,541147008,,255,()
2025/07/05/17:48:07.637288,9485,1751712487,643147008,,255,()
2025/07/05/17:48:07.753842,9486,1751712487,760147008,,255,()
2025/07/05/17:48:07.854205,9487,1751712487,860147008,,255,()
2025/07/05/17:48:07.973984,9488,1751712487,980147008,,255,()
2025/07/05/17:48:08.057885,9489,1751712488,61147008,,255,()
2025/07/05/17:48:08.153866,9490,1751712488,161147008,,255,()
2025/07/05/17:48:08.275690,9491,1751712488,281147008,,255,()
2025/07/05/17:48:08.418230,9492,1751712488,424147008,,255,()
2025/07/05/17:48:08.574668,9493,1751712488,580147008,,255,()
2025/07/05/17:48:08.674793,9494,1751712488,680147008,,255,()
2025/07/05/17:48:08.754121,9495,1751712488,760147008,,255,()
2025/07/05/17:48:08.834280,9496,1751712488,841147008,,255,()
2025/07/05/17:48:08.955122,9497,1751712488,960147008,,255,()
2025/07/05/17:48:09.034390,9498,1751712489,41147008,,255,()
2025/07/05/17:48:09.134444,9499,1751712489,141147008,,255,()
2025/07/05/17:48:09.233876,9500,1751712489,241147008,,255,()
2025/07/05/17:48:09.334415,9501,1751712489,341147008,,255,()
2025/07/05/17:48:09.495867,9502,1751712489,502147008,,255,()
2025/07/05/17:48:09.596362,9503,1751712489,602147008,,255,()
2025/07/05/17:48:09.675579,9504,1751712489,681147008,,255,()
2025/07/05/17:48:09.795918,9505,1751712489,802147008,,255,()
2025/07/05/17:48:09.855465,9506,1751712489,860147008,,255,()
2025/07/05/17:48:09.975357,9507,1751712489,980147008,,255,()
2025/07/05/17:48:10.076064,9508,1751712490,80147008,,255,()
2025/07/05/17:48:10.154255,9509,1751712490,161147008,,255,()
2025/07/05/17:48:10.254217,9510,1751712490,261147008,,255,()
2025/07/05/17:48:10.395484,9511,1751712490,402147008,,255,()
2025/07/05/17:48:10.534613,9512,1751712490,540147008,,255,()
2025/07/05/17:48:10.617888,9513,1751712490,624147008,,255,()
2025/07/05/17:48:10.733302,9514,1751712490,740147008,,255,()
2025/07/05/17:48:10.817893,9515,1751712490,824147008,,255,()
2025/07/05/17:48:10.915182,9516,1751712490,921147008,,255,()
2025/07/05/17:48:11.018009,9517,1751712491,24147008,,255,()
2025/07/05/17:48:11.095145,9518,1751712491,101147008,,255,()
2025/07/05/17:48:11.196295,9519,1751712491,202147008,,255,()
2025/07/05/17:48:11.279268,9520,1751712491,281147008,,255,()
2025/07/05/17:48:11.356659,9521,1751712491,361147008,,255,()
2025/07/05/17:48:11.575825,9522,1751712491,581147008,,255,()
2025/07/05/17:48:11.634452,9523,1751712491,640147008,,255,()
2025/07/05/17:48:11.734355,9524,1751712491,741147008,,255,()
2025/07/05/17:48:11.817696,9525,1751712491,824147008,,255,()
2025/07/05/17:48:11.916703,9526,1751712491,922147008,,255,()
2025/07/05/17:48:12.018752,9527,1751712492,24147008,,255,()
2025/07/05/17:48:12.095073,9528,1751712492,102147008,,255,()
2025/07/05/17:48:12.196405,9529,1751712492,202147008,,255,()
2025/07/05/17:48:12.294955,9530,1751712492,301147008,,255,()
2025/07/05/17:48:12.374901,9531,1751712492,381147008,,255,()
2025/07/05/17:48:12.534093,9532,1751712492,541147008,,255,()
2025/07/05/17:48:12.635909,9533,1751712492,641147008,,255,()
2025/07/05/17:48:12.714917,9534,1751712492,721147008,,255,()
2025/07/05/17:48:12.817980,9535,1751712492,824147008,,255,()
2025/07/05/17:48:12.895221,9536,1751712492,902147008,,255,()
2025/07/05/17:48:13.018041,9537,1751712493,24147008,,255,()
2025/07/05/17:48:13.095709,9538,1751712493,102147008,,255,()
2025/07/05/17:48:13.175310,9539,1751712493,181147008,,255,()
2025/07/05/17:48:13.254542,9540,1751712493,261147008,,255,()
2025/07/05/17:48:13.395490,9541,1751712493,402147008,,255,()
2025/07/05/17:48:13.554178,9542,1751712493,561147008,,255,()
2025/07/05/17:48:13.674340,9543,1751712493,681147008,,255,()
2025/07/05/17:48:13.754339,9544,1751712493,761147008,,255,()
2025/07/05/17:48:13.854090,9545,1751712493,861147008,,255,()
2025/07/05/17:48:13.973968,9546,1751712493,980147008,,255,()
2025/07/05/17:48:14.054399,9547,1751712494,61147008,,255,()
2025/07/05/17:48:14.154469,9548,1751712494,161147008,,255,()
2025/07/05/17:48:14.234261,9549,1751712494,240147008,,255,()
2025/07/05/17:48:14.353961,9550,1751712494,360147008,,255,()
2025/07/05/17:48:14.515046,9551,1751712494,521147008,,255,()
2025/07/05/17:48:14.595976,9552,1751712494,602147008,,255,()
2025/07/05/17:48:14.695434,9553,1751712494,701147008,,255,()
2025/07/05/17:48:14.795902,9554,1751712494,802147008,,255,()
2025/07/05/17:48:14.874481,9555,1751712494,881147008,,255,()
2025/07/05/17:48:14.975253,9556,1751712494,981147008,,255,()
2025/07/05/17:48:15.054231,9557,1751712495,61147008,,255,()
2025/07/05/17:48:15.173812,9558,1751712495,180147008,,255,()
2025/07/05/17:48:15.254356,9559,1751712495,261147008,,255,()
2025/07/05/17:48:15.354284,9560,1751712495,360147008,,255,()
2025/07/05/17:48:15.554008,9561,1751712495,560147008,,255,()
2025/07/05/17:48:15.634254,9562,1751712495,641147008,,255,()
2025/07/05/17:48:15.715075,9563,1751712495,721147008,,255,()
2025/07/05/17:48:15.817627,9564,1751712495,824147008,,255,()
2025/07/05/17:48:15.895447,9565,1751712495,902147008,,255,()
2025/07/05/17:48:15.996112,9566,1751712496,2147008,,255,()
2025/07/05/17:48:16.094795,9567,1751712496,101147008,,255,()
2025/07/05/17:48:16.174312,9568,1751712496,181147008,,255,()
2025/07/05/17:48:16.273791,9569,1751712496,280147008,,255,()
2025/07/05/17:48:16.395774,9570,1751712496,402147008,,255,()
2025/07/05/17:48:16.514886,9571,1751712496,521147008,,255,()
2025/07/05/17:48:16.596186,9572,1751712496,602147008,,255,()
2025/07/05/17:48:16.675046,9573,1751712496,681147008,,255,()
2025/07/05/17:48:16.794960,9574,1751712496,801147008,,255,()
2025/07/05/17:48:16.854361,9575,1751712496,861147008,,255,()
2025/07/05/17:48:16.974483,9576,1751712496,981147008,,255,()
2025/07/05/17:48:17.095472,9577,1751712497,101147008,,255,()
2025/07/05/17:48:17.174619,9578,1751712497,181147008,,255,()
2025/07/05/17:48:17.254210,9579,1751712497,260147008,,255,()
2025/07/05/17:48:17.334330,9580,1751712497,340147008,,255,()
2025/07/05/17:48:17.514962,9581,1751712497,521147008,,255,()
2025/07/05/17:48:17.596533,9582,1751712497,602147008,,255,()
2025/07/05/17:48:17.674561,9583,1751712497,681147008,,255,()
2025/07/05/17:48:17.754185,9584,1751712497,761147008,,255,()
2025/07/05/17:48:17.873762,9585,1751712497,880147008,,255,()
2025/07/05/17:48:17.995711,9586,1751712498,2147008,,255,()
2025/07/05/17:48:18.054144,9587,1751712498,60147008,,255,()
2025/07/05/17:48:18.173609,9588,1751712498,180147008,,255,()
2025/07/05/17:48:18.254223,9589,1751712498,261147008,,255,()
2025/07/05/17:48:18.354275,9590,1751712498,361147008,,255,()
2025/07/05/17:48:18.553850,9591,1751712498,560147008,,255,()
2025/07/05/17:48:18.634598,9592,1751712498,641147008,,255,()
2025/07/05/17:48:18.734209,9593,1751712498,741147008,,255,()
2025/07/05/17:48:18.834512,9594,1751712498,841147008,,255,()
2025/07/05/17:48:18.934136,9595,1751712498,941147008,,255,()
2025/07/05/17:48:19.034252,9596,1751712499,40147008,,255,()
2025/07/05/17:48:19.153963,9597,1751712499,160147008,,255,()
2025/07/05/17:48:19.234115,9598,1751712499,241147008,,255,()
2025/07/05/17:48:19.334357,9599,1751712499,341147008,,255,()
2025/07/05/17:48:19.454296,9600,1751712499,461147008,,255,()
2025/07/05/17:48:19.595941,9601,1751712499,602147008,,255,()
