time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.sensors_present,.sensors_enabled,.sensors_health,.load,.voltage_battery,.current_battery,.battery_remaining,.drop_rate_comm,.errors_comm,.errors_count1,.errors_count2,.errors_count3,.errors_count4
2025/07/05/17:48:00.234508,9417,1751712480,234089103,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.334181,9418,1751712480,333618747,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.496382,9419,1751712480,495311748,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.618332,9420,1751712480,617488216,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.695690,9421,1751712480,694833626,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.775542,9422,1751712480,774381947,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.854221,9423,1751712480,853666887,,321969199,52461615,36733231,182,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:00.956035,9424,1751712480,955338464,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.054921,9425,1751712481,54254719,,321969199,52461615,36733231,180,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.154116,9426,1751712481,153704316,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.254938,9427,1751712481,254198739,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.354913,9428,1751712481,354229093,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.554856,9429,1751712481,553950120,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.654973,9430,1751712481,654431495,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.754415,9431,1751712481,753863650,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.854416,9432,1751712481,853721119,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:01.975169,9433,1751712481,974414364,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.055337,9434,1751712482,54450704,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.154663,9435,1751712482,153733206,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.254876,9436,1751712482,254225097,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.354678,9437,1751712482,353867700,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.555153,9438,1751712482,554393775,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.654775,9439,1751712482,653857450,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.754572,9440,1751712482,753897921,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.854887,9441,1751712482,854254714,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:02.974946,9442,1751712482,974318730,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.054381,9443,1751712483,53635466,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.155120,9444,1751712483,154185315,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.254702,9445,1751712483,253806955,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.354419,9446,1751712483,353711493,,321969199,52461615,36733231,169,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.534646,9447,1751712483,533924139,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.638335,9448,1751712483,637236678,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.735076,9449,1751712483,734694023,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.834663,9450,1751712483,833782262,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:03.954170,9451,1751712483,953868955,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.055001,9452,1751712484,54350856,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.154309,9453,1751712484,153463191,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.254336,9454,1751712484,253684229,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.354627,9455,1751712484,354180871,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.556179,9456,1751712484,554929367,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.654871,9457,1751712484,654338962,,321969199,52461615,53510447,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.754305,9458,1751712484,753731838,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.854755,9459,1751712484,854207471,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:04.975043,9460,1751712484,974444138,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.053834,9461,1751712485,53459220,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.154198,9462,1751712485,153423061,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.255436,9463,1751712485,254244508,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.354634,9464,1751712485,353887370,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.554921,9465,1751712485,554146417,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.654419,9466,1751712485,653628988,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.755271,9467,1751712485,754230801,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.854857,9468,1751712485,854485091,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:05.996223,9469,1751712485,995518424,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.074951,9470,1751712486,74431884,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.174935,9471,1751712486,174158094,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.254200,9472,1751712486,253600892,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.354345,9473,1751712486,353671834,,321969199,52461615,36733231,167,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.534591,9474,1751712486,534125916,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.634554,9475,1751712486,633634251,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.714883,9476,1751712486,714221390,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.819156,9477,1751712486,818001225,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.895391,9478,1751712486,894857037,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:06.998612,9479,1751712486,996376252,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.075118,9480,1751712487,74595080,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.174891,9481,1751712487,174138605,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.254407,9482,1751712487,253670947,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.354692,9483,1751712487,354249704,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.534403,9484,1751712487,533620945,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.637075,9485,1751712487,636388579,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.735171,9486,1751712487,734311743,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.835113,9487,1751712487,834316927,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:07.954865,9488,1751712487,954272778,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.057840,9489,1751712488,57080131,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.153835,9490,1751712488,153364421,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.254793,9491,1751712488,254249355,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.354606,9492,1751712488,354308999,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.555171,9493,1751712488,554330068,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.654517,9494,1751712488,654141989,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.754043,9495,1751712488,753515533,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.834224,9496,1751712488,833398467,,321969199,52461615,36733231,180,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:08.934536,9497,1751712488,934075719,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:48:09.034331,9498,1751712489,33748876,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
