time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:02.695511,9440,1751712482,694819120,,1751712482,481509000,fcu
2025/07/05/17:48:02.774498,9441,1751712482,773760384,,1751712482,561094000,fcu
2025/07/05/17:48:02.895643,9442,1751712482,895056163,,1751712482,681530000,fcu
2025/07/05/17:48:02.996502,9443,1751712482,996308873,,1751712482,782781000,fcu
2025/07/05/17:48:03.095650,9444,1751712483,95192535,,1751712482,881960000,fcu
2025/07/05/17:48:03.196772,9445,1751712483,196173515,,1751712482,982025000,fcu
2025/07/05/17:48:03.295923,9446,1751712483,295093914,,1751712483,81371000,fcu
2025/07/05/17:48:03.374910,9447,1751712483,374005636,,1751712483,161077000,fcu
2025/07/05/17:48:03.554588,9448,1751712483,553838661,,1751712483,340784000,fcu
2025/07/05/17:48:03.654740,9449,1751712483,654249884,,1751712483,441100000,fcu
2025/07/05/17:48:03.775307,9450,1751712483,774854679,,1751712483,560853000,fcu
2025/07/05/17:48:03.854297,9451,1751712483,853787407,,1751712483,640674000,fcu
2025/07/05/17:48:03.996424,9452,1751712483,996093390,,1751712483,782242000,fcu
2025/07/05/17:48:04.097519,9453,1751712484,96031170,,1751712483,881905000,fcu
2025/07/05/17:48:04.196156,9454,1751712484,195443391,,1751712483,982322000,fcu
2025/07/05/17:48:04.275320,9455,1751712484,274773940,,1751712484,61031000,fcu
2025/07/05/17:48:04.396426,9456,1751712484,396046998,,1751712484,182702000,fcu
2025/07/05/17:48:04.574255,9457,1751712484,573761590,,1751712484,361205000,fcu
2025/07/05/17:48:04.695894,9458,1751712484,695346701,,1751712484,481421000,fcu
2025/07/05/17:48:04.796006,9459,1751712484,795372287,,1751712484,582199000,fcu
2025/07/05/17:48:04.917325,9460,1751712484,915602659,,1751712484,701437000,fcu
2025/07/05/17:48:04.996280,9461,1751712484,996016866,,1751712484,782729000,fcu
2025/07/05/17:48:05.095624,9462,1751712485,94890985,,1751712484,881928000,fcu
2025/07/05/17:48:05.174351,9463,1751712485,173818532,,1751712484,961112000,fcu
2025/07/05/17:48:05.295770,9464,1751712485,295198887,,1751712485,81500000,fcu
2025/07/05/17:48:05.418360,9465,1751712485,417675889,,1751712485,204765000,fcu
2025/07/05/17:48:05.596124,9466,1751712485,595326479,,1751712485,382253000,fcu
2025/07/05/17:48:05.695930,9467,1751712485,695167463,,1751712485,481731000,fcu
2025/07/05/17:48:05.796791,9468,1751712485,796177166,,1751712485,582335000,fcu
2025/07/05/17:48:05.895110,9469,1751712485,894540581,,1751712485,681943000,fcu
2025/07/05/17:48:06.017954,9470,1751712486,17155544,,1751712485,804211000,fcu
2025/07/05/17:48:06.114935,9471,1751712486,114233085,,1751712485,901110000,fcu
2025/07/05/17:48:06.196451,9472,1751712486,196067204,,1751712485,982534000,fcu
2025/07/05/17:48:06.296107,9473,1751712486,295098619,,1751712486,81527000,fcu
2025/07/05/17:48:06.374441,9474,1751712486,373896495,,1751712486,161103000,fcu
2025/07/05/17:48:06.554009,9475,1751712486,553833020,,1751712486,341010000,fcu
2025/07/05/17:48:06.654070,9476,1751712486,653679185,,1751712486,440844000,fcu
2025/07/05/17:48:06.734167,9477,1751712486,733815156,,1751712486,520780000,fcu
2025/07/05/17:48:06.833916,9478,1751712486,833534401,,1751712486,620503000,fcu
2025/07/05/17:48:06.915308,9479,1751712486,914611369,,1751712486,701563000,fcu
2025/07/05/17:48:07.019447,9480,1751712487,16841723,,1751712486,803971000,fcu
2025/07/05/17:48:07.095389,9481,1751712487,95033210,,1751712486,882021000,fcu
2025/07/05/17:48:07.196478,9482,1751712487,196145895,,1751712486,982945000,fcu
2025/07/05/17:48:07.274308,9483,1751712487,273831900,,1751712487,61109000,fcu
2025/07/05/17:48:07.396321,9484,1751712487,396065268,,1751712487,182734000,fcu
2025/07/05/17:48:07.554406,9485,1751712487,553778608,,1751712487,340870000,fcu
2025/07/05/17:48:07.655063,9486,1751712487,654300928,,1751712487,440912000,fcu
2025/07/05/17:48:07.754080,9487,1751712487,753952883,,1751712487,540994000,fcu
2025/07/05/17:48:07.854311,9488,1751712487,853892469,,1751712487,641082000,fcu
2025/07/05/17:48:07.995975,9489,1751712487,995074717,,1751712487,782216000,fcu
2025/07/05/17:48:08.094826,9490,1751712488,94384929,,1751712487,881426000,fcu
2025/07/05/17:48:08.175547,9491,1751712488,175226750,,1751712487,961166000,fcu
2025/07/05/17:48:08.295471,9492,1751712488,295064689,,1751712488,81380000,fcu
2025/07/05/17:48:08.418481,9493,1751712488,417977640,,1751712488,204702000,fcu
2025/07/05/17:48:08.595748,9494,1751712488,595184818,,1751712488,382225000,fcu
2025/07/05/17:48:08.695341,9495,1751712488,694778412,,1751712488,481677000,fcu
2025/07/05/17:48:08.776023,9496,1751712488,774918052,,1751712488,560894000,fcu
2025/07/05/17:48:08.874838,9497,1751712488,874625796,,1751712488,660737000,fcu
2025/07/05/17:48:08.976224,9498,1751712488,975159277,,1751712488,760884000,fcu
2025/07/05/17:48:09.054231,9499,1751712489,53611383,,1751712488,840859000,fcu
2025/07/05/17:48:09.174705,9500,1751712489,174118924,,1751712488,960518000,fcu
2025/07/05/17:48:09.255167,9501,1751712489,254311536,,1751712489,41191000,fcu
2025/07/05/17:48:09.354177,9502,1751712489,353382543,,1751712489,140977000,fcu
2025/07/05/17:48:09.534555,9503,1751712489,534096128,,1751712489,320274000,fcu
2025/07/05/17:48:09.617692,9504,1751712489,616981186,,1751712489,404201000,fcu
2025/07/05/17:48:09.695443,9505,1751712489,694740394,,1751712489,482014000,fcu
2025/07/05/17:48:09.796366,9506,1751712489,796041946,,1751712489,582414000,fcu
2025/07/05/17:48:09.894703,9507,1751712489,894352094,,1751712489,681961000,fcu
2025/07/05/17:48:09.975440,9508,1751712489,974839592,,1751712489,761127000,fcu
2025/07/05/17:48:10.094923,9509,1751712490,94422402,,1751712489,881459000,fcu
2025/07/05/17:48:10.195561,9510,1751712490,195316265,,1751712489,982346000,fcu
2025/07/05/17:48:10.275264,9511,1751712490,274844239,,1751712490,61054000,fcu
2025/07/05/17:48:10.396329,9512,1751712490,396046454,,1751712490,182437000,fcu
2025/07/05/17:48:10.554956,9513,1751712490,554317601,,1751712490,340607000,fcu
2025/07/05/17:48:10.634604,9514,1751712490,634149344,,1751712490,420481000,fcu
2025/07/05/17:48:10.733912,9515,1751712490,733841763,,1751712490,520910000,fcu
2025/07/05/17:48:10.833952,9516,1751712490,833331049,,1751712490,620447000,fcu
2025/07/05/17:48:10.933939,9517,1751712490,933466103,,1751712490,720515000,fcu
2025/07/05/17:48:11.034138,9518,1751712491,33589799,,1751712490,820476000,fcu
2025/07/05/17:48:11.114813,9519,1751712491,114255793,,1751712490,901533000,fcu
2025/07/05/17:48:11.218068,9520,1751712491,217039904,,1751712491,4005000,fcu
2025/07/05/17:48:11.294978,9521,1751712491,294762113,,1751712491,81735000,fcu
2025/07/05/17:48:11.419154,9522,1751712491,418519279,,1751712491,204475000,fcu
2025/07/05/17:48:11.575926,9523,1751712491,575389142,,1751712491,361514000,fcu
2025/07/05/17:48:11.653994,9524,1751712491,653664518,,1751712491,440777000,fcu
2025/07/05/17:48:11.754478,9525,1751712491,753887265,,1751712491,540761000,fcu
2025/07/05/17:48:11.833563,9526,1751712491,833270019,,1751712491,620523000,fcu
2025/07/05/17:48:11.933961,9527,1751712491,933517704,,1751712491,720913000,fcu
2025/07/05/17:48:12.033909,9528,1751712492,33496080,,1751712491,820685000,fcu
2025/07/05/17:48:12.116524,9529,1751712492,115039040,,1751712491,901712000,fcu
