time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:47:55.714615,18750,1751712475,714235187,,11.868000984191895,0.0,-0.8799999952316284,nan,nan,nan,0.75,2,0,0,True,"(11.868000984191895,)",(),id1,
2025/07/05/17:47:55.757650,18751,1751712475,754322921,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:55.796269,18752,1751712475,796005519,,11.868000984191895,0.0,-0.8799999952316284,nan,nan,nan,0.75,2,0,0,True,"(11.868000984191895,)",(),id1,
2025/07/05/17:47:55.854671,18753,1751712475,854264819,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:55.934763,18754,1751712475,934157200,,11.868000984191895,0.0,-1.0099999904632568,nan,nan,nan,0.75,2,0,0,True,"(11.868000984191895,)",(),id1,
2025/07/05/17:47:55.974475,18755,1751712475,974200972,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:56.037662,18756,1751712476,37259018,,11.868000984191895,0.0,-0.9699999690055847,nan,nan,nan,0.75,2,0,0,True,"(11.868000984191895,)",(),id1,
2025/07/05/17:47:56.075058,18757,1751712476,74479616,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:56.134607,18758,1751712476,134140298,,11.869000434875488,0.0,-0.8199999928474426,nan,nan,nan,0.75,2,0,0,True,"(11.869000434875488,)",(),id1,
2025/07/05/17:47:56.175190,18759,1751712476,174765408,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:56.237413,18760,1751712476,236994776,,11.870000839233398,0.0,-0.7199999690055847,nan,nan,nan,0.75,2,0,0,True,"(11.870000839233398,)",(),id1,
2025/07/05/17:47:56.275093,18761,1751712476,274817916,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:56.334791,18762,1751712476,334217900,,11.871000289916992,0.0,-0.6499999761581421,nan,nan,nan,0.75,2,0,0,True,"(11.871000289916992,)",(),id1,
2025/07/05/17:47:56.416702,18763,1751712476,415828273,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:47:56.534549,18764,1751712476,534142081,,11.870000839233398,0.0,-0.7799999713897705,nan,nan,nan,0.75,2,0,0,True,"(11.870000839233398,)",(),id1,
2025/07/05/17:47:56.575002,18765,1751712476,574435928,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
