time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.magnetic_field.x,.magnetic_field.y,.magnetic_field.z,.magnetic_field_covariance
2025/07/05/17:47:55.674423,9374,1751712475,681026008,base_link,-325000.0,-252999.99999999997,233000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:55.757723,9375,1751712475,761049008,base_link,-333000.0,-249999.99999999997,235000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:55.874264,9376,1751712475,880969008,base_link,-328000.0,-245999.99999999997,229000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:55.995198,9377,1751712476,1758008,base_link,-334000.0,-237999.99999999997,228000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.095335,9378,1751712476,101968008,base_link,-345000.0,-232999.99999999997,236000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.195589,9379,1751712476,201993008,base_link,-340000.0,-226999.99999999997,230000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.295305,9380,1751712476,302217008,base_link,-351000.0,-221999.99999999997,233000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.474953,9381,1751712476,481088008,base_link,-344000.0,-216999.99999999997,229000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.595742,9382,1751712476,602244008,base_link,-354000.0,-206999.99999999997,230000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.676078,9383,1751712476,682197008,base_link,-354000.0,-206999.99999999997,230000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.774326,9384,1751712476,780746008,base_link,-351000.0,-201999.99999999997,228000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.854777,9385,1751712476,861335008,base_link,-356000.0,-199999.99999999997,228000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:56.995538,9386,1751712477,1745008,base_link,-359000.0,-190999.99999999997,227000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.055025,9387,1751712477,61338008,base_link,-359000.0,-190999.99999999997,227000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.134765,9388,1751712477,141302008,base_link,-363000.0,-185999.99999999997,230000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.237625,9389,1751712477,244175008,base_link,-362000.0,-179999.99999999997,222000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.315622,9390,1751712477,321962008,base_link,-365000.0,-175999.99999999997,226000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.437873,9391,1751712477,444406008,base_link,-373000.0,-167999.99999999997,229000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.596373,9392,1751712477,602685008,base_link,-370000.0,-157999.99999999997,224000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.674566,9393,1751712477,681316008,base_link,-370000.0,-157999.99999999997,224000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.774647,9394,1751712477,781266008,base_link,-370000.0,-151999.99999999997,224000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.895513,9395,1751712477,901767008,base_link,-371000.0,-141999.99999999997,224000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:57.996449,9396,1751712478,2628008,base_link,-377000.0,-136999.99999999997,225000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.094851,9397,1751712478,101770008,base_link,-375000.0,-132999.99999999997,223000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.174293,9398,1751712478,181141008,base_link,-375000.0,-132999.99999999997,223000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.274149,9399,1751712478,280682008,base_link,-377000.0,-125999.99999999997,223000.00000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.395449,9400,1751712478,402092008,base_link,-383000.0,-115999.99999999997,223000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.554085,9401,1751712478,560481008,base_link,-381000.0,-110999.99999999997,223000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.637173,9402,1751712478,643383008,base_link,-380000.0,-105999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.715713,9403,1751712478,722049008,base_link,-382000.0,-100999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.815665,9404,1751712478,822495008,base_link,-387000.0,-96999.99999999997,222000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:58.934546,9405,1751712478,940622008,base_link,-388000.0,-92999.99999999997,225000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.054564,9406,1751712479,60635008,base_link,-383000.0,-86999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.154776,9407,1751712479,160699008,base_link,-382000.0,-81999.99999999997,221000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.274797,9408,1751712479,280751008,base_link,-387000.0,-78999.99999999997,221000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.415635,9409,1751712479,421917008,base_link,-386000.0,-68999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.574727,9410,1751712479,581161008,base_link,-381000.0,-64999.99999999997,217000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.674602,9411,1751712479,681033008,base_link,-386000.0,-59999.99999999997,219000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.774283,9412,1751712479,780947008,base_link,-385000.0,-53999.99999999997,219000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.874796,9413,1751712479,881076008,base_link,-388000.0,-50999.99999999997,218000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:47:59.996292,9414,1751712480,2509008,base_link,-389000.0,-41999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.054690,9415,1751712480,61142008,base_link,-389000.0,-41999.99999999997,220000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.174474,9416,1751712480,180899008,base_link,-388000.0,-35999.99999999997,218000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.256365,9417,1751712480,260609008,base_link,-384000.0,-32999.99999999997,217000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.334212,9418,1751712480,341351008,base_link,-385000.0,-28999.999999999975,218000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.534001,9419,1751712480,540667008,base_link,-385000.0,-18999.999999999975,217000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.618495,9420,1751712480,624950008,base_link,-383000.0,-14999.999999999973,217000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.695705,9421,1751712480,702410008,base_link,-388000.0,-9999.999999999973,219000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.796122,9422,1751712480,802642008,base_link,-379000.0,-5999.999999999974,214000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.895516,9423,1751712480,901967008,base_link,-381000.0,2.645237086158283e-11,216000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:00.974134,9424,1751712480,980929008,base_link,-381000.0,2.645237086158283e-11,216000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:01.074188,9425,1751712481,80946008,base_link,-381000.0,2000.0000000000264,215000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:01.174484,9426,1751712481,181005008,base_link,-385000.0,8000.000000000026,217000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:01.274367,9427,1751712481,280978008,base_link,-380000.0,12000.000000000025,215000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:01.396111,9428,1751712481,402472008,base_link,-375000.0,21000.000000000025,214000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:48:01.574654,9429,1751712481,580659008,base_link,-379000.0,25000.000000000025,215000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
