time,.x,.y,.z
2025/07/05/17:47:55.855982,-58.4396396993215,-20.57939999993863,0.0
2025/07/05/17:47:55.975451,-58.46230389958636,-20.623799999964554,0.0
2025/07/05/17:47:56.077108,-58.484968099851216,-20.668199999990478,0.0
2025/07/05/17:47:56.176687,-58.49630019917845,-20.712599999917813,0.0
2025/07/05/17:47:56.276937,-58.518964399443306,-20.756999999943737,0.0
2025/07/05/17:47:56.418772,-58.552960700645784,-20.82359999993333,0.0
2025/07/05/17:47:56.576864,-58.59828909956511,-20.912399999985176,0.0
2025/07/05/17:47:56.676581,-58.620953299829964,-20.96789999994364,0.0
2025/07/05/17:47:56.755933,-58.65494959942205,-21.001199999938436,0.0
2025/07/05/17:47:56.855746,-58.68894590062453,-21.056699999995487,0.0
2025/07/05/17:47:56.977504,-58.72294220021662,-21.11219999995395,0.0
2025/07/05/17:47:57.056366,-58.734274299543856,-21.156599999979875,0.0
2025/07/05/17:47:57.135960,-58.75693849980871,-21.20099999990721,0.0
2025/07/05/17:47:57.239065,-58.77960270007357,-21.245399999933134,0.0
2025/07/05/17:47:57.316228,-58.802266900338424,-21.300899999990186,0.0
2025/07/05/17:47:57.439887,-58.82493110060328,-21.367499999979778,0.0
2025/07/05/17:47:57.576324,-58.84759529925775,-21.445200000000497,0.0
2025/07/05/17:47:57.656199,-58.870259499522604,-21.489599999927833,0.0
2025/07/05/17:47:57.756096,-58.89292369978746,-21.533999999953757,0.0
2025/07/05/17:47:57.856600,-58.915587900052316,-21.58949999991222,0.0
2025/07/05/17:47:57.997153,-58.949584199644406,-21.66719999993294,0.0
2025/07/05/17:47:58.076027,-58.96091630058203,-21.711599999958864,0.0
2025/07/05/17:47:58.155740,-58.97224839990926,-21.755999999984788,0.0
2025/07/05/17:47:58.255675,-58.99491260017412,-21.81149999994325,0.0
2025/07/05/17:47:58.356095,-59.00624469950135,-21.867000000000303,0.0
2025/07/05/17:47:58.536266,-59.02890889976621,-21.96689999998469,0.0
2025/07/05/17:47:58.615504,-59.04024099909344,-22.011299999912026,0.0
2025/07/05/17:47:58.717004,-59.051573100031064,-22.066799999969078,0.0
2025/07/05/17:47:58.816857,-59.0629051993583,-22.12229999992754,0.0
2025/07/05/17:47:58.916707,-59.051573100031064,-22.177799999984593,0.0
2025/07/05/17:47:59.037014,-59.051573100031064,-22.233299999943057,0.0
2025/07/05/17:47:59.136675,-59.04024099909344,-22.28880000000011,0.0
2025/07/05/17:47:59.255632,-59.04024099909344,-22.3553999999897,0.0
2025/07/05/17:47:59.355787,-59.02890889976621,-22.410899999948164,0.0
2025/07/05/17:47:59.555713,-59.017576800438974,-22.52189999996368,0.0
2025/07/05/17:47:59.655734,-59.017576800438974,-22.577399999922143,0.0
2025/07/05/17:47:59.756160,-59.00624469950135,-22.621799999948067,0.0
2025/07/05/17:47:59.855649,-59.00624469950135,-22.67729999990653,0.0
2025/07/05/17:47:59.976954,-59.00624469950135,-22.732799999963582,0.0
2025/07/05/17:48:00.055595,-59.00624469950135,-22.766099999958378,0.0
2025/07/05/17:48:00.156353,-59.00624469950135,-22.8104999999843,0.0
2025/07/05/17:48:00.235047,-59.017576800438974,-22.843799999979097,0.0
2025/07/05/17:48:00.335915,-59.02890889976621,-22.877099999973893,0.0
2025/07/05/17:48:00.496710,-59.051573100031064,-22.932599999932357,0.0
2025/07/05/17:48:00.620169,-59.085569399623154,-22.965899999927153,0.0
2025/07/05/17:48:00.696636,-59.096901500560776,-22.99919999992195,0.0
2025/07/05/17:48:00.776224,-59.096901500560776,-23.021399999984204,0.0
2025/07/05/17:48:00.855164,-59.10823359988801,-23.06579999991154,0.0
2025/07/05/17:48:00.957855,-59.119565699215244,-23.110199999937464,0.0
2025/07/05/17:48:01.056427,-59.1422298994801,-23.154599999963388,0.0
2025/07/05/17:48:01.154580,-59.15356200041772,-23.19899999998931,0.0
2025/07/05/17:48:01.256156,-59.164894099744956,-23.243399999916647,0.0
2025/07/05/17:48:01.356036,-59.17622619907219,-23.28779999994257,0.0
2025/07/05/17:48:01.555625,-59.18755830000981,-23.38769999992696,0.0
2025/07/05/17:48:01.657140,-59.18755830000981,-23.432099999952882,0.0
2025/07/05/17:48:01.756395,-59.18755830000981,-23.487599999911346,0.0
2025/07/05/17:48:01.856204,-59.18755830000981,-23.543099999968398,0.0
2025/07/05/17:48:01.977281,-59.18755830000981,-23.59859999992686,0.0
