time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:47:55.775991,9980,1751712475,774240981,,2849495105000,1751709626270590218,1751709626283147008,17.06413459777832
2025/07/05/17:47:55.874250,9981,1751712475,873858030,,2849595458000,1751709626269714372,1751709626283147008,17.3678035736084
2025/07/05/17:47:55.974373,9982,1751712475,974002233,,2849695028000,1751709626270302885,1751709626283147008,17.338926315307617
2025/07/05/17:47:56.074547,9983,1751712476,74123915,,2849795467000,1751709626269918773,1751709626283147008,17.46349334716797
2025/07/05/17:47:56.174815,9984,1751712476,174427109,,2849894554000,1751709626271016193,1751709626283147008,17.711814880371094
2025/07/05/17:47:56.274511,9985,1751712476,274249339,,2849995445000,1751709626269874083,1751709626283147008,17.572423934936523
2025/07/05/17:47:56.374615,9986,1751712476,374157467,,2850094864000,1751709626270576473,1751709626283147008,17.430158615112305
2025/07/05/17:47:56.474957,9987,1751712476,474418969,,2850195463000,1751709626270129427,1751709626283147008,17.649356842041016
2025/07/05/17:47:56.574895,9988,1751712476,574285445,,2850294578000,1751709626270938599,1751709626283147008,17.53406524658203
2025/07/05/17:47:56.675709,9989,1751712476,674618046,,2850394523000,1751709626271147503,1751709626283147008,17.89154624938965
2025/07/05/17:47:56.774208,9990,1751712476,773788761,,2850495307000,1751709626269831087,1751709626283147008,17.296846389770508
2025/07/05/17:47:56.874366,9991,1751712476,874065598,,2850595065000,1751709626270150760,1751709626283147008,17.448650360107422
2025/07/05/17:47:56.974843,9992,1751712476,974289511,,2850694873000,1751709626270639142,1751709626283147008,17.550607681274414
2025/07/05/17:47:57.074667,9993,1751712477,73917764,,2850795263000,1751709626269937318,1751709626283147008,17.431373596191406
2025/07/05/17:47:57.174623,9994,1751712477,174199570,,2850894991000,1751709626270362505,1751709626283147008,17.6884708404541
2025/07/05/17:47:57.275785,9995,1751712477,275055165,,2850995466000,1751709626270360218,1751709626283147008,18.454448699951172
2025/07/05/17:47:57.375538,9996,1751712477,374927029,,2851095110000,1751709626270650719,1751709626283147008,18.328983306884766
2025/07/05/17:47:57.474357,9997,1751712477,474107811,,2851195119000,1751709626270242857,1751709626283147008,17.233531951904297
2025/07/05/17:47:57.575125,9998,1751712477,574121268,,2851294764000,1751709626270667506,1751709626283147008,17.375783920288086
2025/07/05/17:47:57.674410,9999,1751712477,674114618,,2851395016000,1751709626270265894,1751709626283147008,17.662452697753906
2025/07/05/17:47:57.774799,10000,1751712477,774098537,,2851495056000,1751709626270234447,1751709626283147008,17.61288833618164
2025/07/05/17:47:57.874705,10001,1751712477,874154296,,2851595011000,1751709626270307676,1751709626283147008,17.667024612426758
2025/07/05/17:47:57.974228,10002,1751712477,973968736,,2851695101000,1751709626270199843,1751709626283147008,17.33233642578125
2025/07/05/17:47:58.075030,10003,1751712478,74332805,,2851794782000,1751709626270579773,1751709626283147008,17.703420639038086
2025/07/05/17:47:58.174260,10004,1751712478,173964469,,2851895452000,1751709626269772605,1751709626283147008,17.476360321044922
2025/07/05/17:47:58.274126,10005,1751712478,273943574,,2851995311000,1751709626269920294,1751709626283147008,17.421863555908203
2025/07/05/17:47:58.375336,10006,1751712478,375008255,,2852095446000,1751709626270302011,1751709626283147008,18.51626968383789
2025/07/05/17:47:58.474457,10007,1751712478,474148084,,2852195265000,1751709626270074343,1751709626283147008,17.612159729003906
2025/07/05/17:47:58.574017,10008,1751712478,573878556,,2852295089000,1751709626270100437,1751709626283147008,17.375158309936523
2025/07/05/17:47:58.674114,10009,1751712478,673985999,,2852395238000,1751709626269984743,1751709626283147008,17.35831642150879
2025/07/05/17:47:58.774135,10010,1751712478,773871483,,2852495259000,1751709626270035180,1751709626283147008,17.150251388549805
2025/07/05/17:47:58.874518,10011,1751712478,874099871,,2852595048000,1751709626270267969,1751709626283147008,17.56417465209961
2025/07/05/17:47:58.974821,10012,1751712478,974160492,,2852695321000,1751709626270058028,1751709626283147008,17.559293746948242
2025/07/05/17:47:59.074656,10013,1751712479,74180285,,2852795453000,1751709626269900729,1751709626283147008,17.649311065673828
2025/07/05/17:47:59.174620,10014,1751712479,174179944,,2852895111000,1751709626270237359,1751709626283147008,17.660173416137695
2025/07/05/17:47:59.274380,10015,1751712479,274048369,,2852995295000,1751709626269909282,1751709626283147008,17.421432495117188
2025/07/05/17:47:59.374557,10016,1751712479,374206717,,2853095328000,1751709626270022119,1751709626283147008,17.708702087402344
2025/07/05/17:47:59.476018,10017,1751712479,475025407,,2853194471000,1751709626271408593,1751709626283147008,18.287174224853516
2025/07/05/17:47:59.574770,10018,1751712479,574137335,,2853295119000,1751709626270190487,1751709626283147008,17.651187896728516
2025/07/05/17:47:59.674514,10019,1751712479,674042235,,2853395469000,1751709626269782250,1751709626283147008,17.576749801635742
2025/07/05/17:47:59.774428,10020,1751712479,773720063,,2853495255000,1751709626269853798,1751709626283147008,17.219192504882812
2025/07/05/17:47:59.874994,10021,1751712479,874354324,,2853595455000,1751709626269910367,1751709626283147008,17.718538284301758
2025/07/05/17:47:59.975287,10022,1751712479,974277503,,2853694823000,1751709626270621859,1751709626283147008,17.66083335876465
2025/07/05/17:48:00.074750,10023,1751712480,74285809,,2853794844000,1751709626270542115,1751709626283147008,17.795862197875977
2025/07/05/17:48:00.174146,10024,1751712480,173695051,,2853895012000,1751709626270078656,1751709626283147008,17.20415687561035
2025/07/05/17:48:00.275234,10025,1751712480,274740924,,2853995456000,1751709626270226025,1751709626283147008,18.109825134277344
2025/07/05/17:48:00.375531,10026,1751712480,374706295,,2854095286000,1751709626270343380,1751709626283147008,18.15086555480957
2025/07/05/17:48:00.474062,10027,1751712480,473971773,,2854194571000,1751709626270683581,1751709626283147008,17.2847843170166
2025/07/05/17:48:00.574579,10028,1751712480,574094752,,2854295473000,1751709626269873686,1751709626283147008,17.493127822875977
2025/07/05/17:48:00.674047,10029,1751712480,673923450,,2854395451000,1751709626269767706,1751709626283147008,17.407880783081055
2025/07/05/17:48:00.775552,10030,1751712480,774285504,,2854494528000,1751709626270979093,1751709626283147008,17.553293228149414
2025/07/05/17:48:00.874633,10031,1751712480,874091029,,2854595096000,1751709626270208123,1751709626283147008,17.565580368041992
2025/07/05/17:48:00.974122,10032,1751712480,973510307,,2854695278000,1751709626269747247,1751709626283147008,16.959779739379883
2025/07/05/17:48:01.073977,10033,1751712481,73629480,,2854795056000,1751709626269927578,1751709626283147008,16.999738693237305
2025/07/05/17:48:01.174566,10034,1751712481,174128565,,2854895314000,1751709626270022614,1751709626283147008,17.580228805541992
2025/07/05/17:48:01.274415,10035,1751712481,273742784,,2854995274000,1751709626269843543,1751709626283147008,17.24699592590332
2025/07/05/17:48:01.374568,10036,1751712481,374145318,,2855095291000,1751709626270028859,1751709626283147008,17.647327423095703
2025/07/05/17:48:01.474640,10037,1751712481,474200495,,2855195274000,1751709626270074563,1751709626283147008,17.700361251831055
2025/07/05/17:48:01.574788,10038,1751712481,573878093,,2855295288000,1751709626269895719,1751709626283147008,17.385223388671875
