time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:47:55.674577,9374,1751712475,681147008,base_link,69.06,0.0
2025/07/05/17:47:55.775457,9375,1751712475,780147008,base_link,69.06,0.0
2025/07/05/17:47:55.874272,9376,1751712475,881147008,base_link,69.06,0.0
2025/07/05/17:47:55.995204,9377,1751712476,1147008,base_link,69.06,0.0
2025/07/05/17:47:56.096204,9378,1751712476,102147008,base_link,69.06,0.0
2025/07/05/17:47:56.195598,9379,1751712476,202147008,base_link,69.06,0.0
2025/07/05/17:47:56.315255,9380,1751712476,321147008,base_link,69.06,0.0
2025/07/05/17:47:56.474962,9381,1751712476,481147008,base_link,69.06,0.0
2025/07/05/17:47:56.595775,9382,1751712476,602147008,base_link,69.06,0.0
2025/07/05/17:47:56.695711,9383,1751712476,701147008,base_link,69.06,0.0
2025/07/05/17:47:56.774337,9384,1751712476,780147008,base_link,69.06,0.0
2025/07/05/17:47:56.874640,9385,1751712476,880147008,base_link,69.06,0.0
2025/07/05/17:47:56.995544,9386,1751712477,1147008,base_link,69.06,0.0
2025/07/05/17:47:57.074605,9387,1751712477,80147008,base_link,69.06,0.0
2025/07/05/17:47:57.154387,9388,1751712477,160147008,base_link,69.06,0.0
2025/07/05/17:47:57.254574,9389,1751712477,260147008,base_link,69.07,0.0
2025/07/05/17:47:57.334470,9390,1751712477,340147008,base_link,69.07,0.0
2025/07/05/17:47:57.496602,9391,1751712477,502147008,base_link,69.06,0.0
2025/07/05/17:47:57.596391,9392,1751712477,602147008,base_link,69.06,0.0
2025/07/05/17:47:57.675105,9393,1751712477,681147008,base_link,69.06,0.0
2025/07/05/17:47:57.796455,9394,1751712477,802147008,base_link,69.07,0.0
2025/07/05/17:47:57.895513,9395,1751712477,901147008,base_link,69.07,0.0
2025/07/05/17:47:57.996456,9396,1751712478,2147008,base_link,69.07,0.0
2025/07/05/17:47:58.094859,9397,1751712478,101147008,base_link,69.06,0.0
2025/07/05/17:47:58.174299,9398,1751712478,181147008,base_link,69.06,0.0
2025/07/05/17:47:58.274160,9399,1751712478,280147008,base_link,69.07,0.0
2025/07/05/17:47:58.395480,9400,1751712478,402147008,base_link,69.07,0.0
2025/07/05/17:47:58.554287,9401,1751712478,560147008,base_link,69.07,0.0
2025/07/05/17:47:58.637302,9402,1751712478,643147008,base_link,69.07,0.0
2025/07/05/17:47:58.734120,9403,1751712478,740147008,base_link,69.07,0.0
2025/07/05/17:47:58.837861,9404,1751712478,843147008,base_link,69.06,0.0
2025/07/05/17:47:58.934655,9405,1751712478,940147008,base_link,69.07,0.0
2025/07/05/17:47:59.054593,9406,1751712479,60147008,base_link,69.07,0.0
2025/07/05/17:47:59.154880,9407,1751712479,160147008,base_link,69.07,0.0
2025/07/05/17:47:59.274800,9408,1751712479,280147008,base_link,69.07,0.0
2025/07/05/17:47:59.415811,9409,1751712479,422147008,base_link,69.07,0.0
2025/07/05/17:47:59.574736,9410,1751712479,581147008,base_link,69.07,0.0
2025/07/05/17:47:59.674618,9411,1751712479,681147008,base_link,69.07,0.0
2025/07/05/17:47:59.774330,9412,1751712479,780147008,base_link,69.07,0.0
2025/07/05/17:47:59.874805,9413,1751712479,881147008,base_link,69.07,0.0
2025/07/05/17:47:59.996299,9414,1751712480,2147008,base_link,69.07,0.0
2025/07/05/17:48:00.074671,9415,1751712480,80147008,base_link,69.07,0.0
2025/07/05/17:48:00.174500,9416,1751712480,180147008,base_link,69.07,0.0
2025/07/05/17:48:00.256419,9417,1751712480,260147008,base_link,69.07,0.0
2025/07/05/17:48:00.355089,9418,1751712480,360147008,base_link,69.07,0.0
