time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fix_type,.lat,.lon,.alt,.eph,.epv,.vel,.cog,.satellites_visible,.alt_ellipsoid,.h_acc,.v_acc,.vel_acc,.hdg_acc,.yaw,.dgps_numch,.dgps_age
2025/07/05/17:47:55.695087,9375,1751712475,585147008,/wgs84,4,-72870794,1127959229,21540,57,89,35,22193,21,38869,1359,2458,403,0,0,255,4294967295
2025/07/05/17:47:55.776205,9376,1751712475,585147008,/wgs84,4,-72870794,1127959229,21540,57,89,35,22193,21,38869,1359,2458,403,0,0,255,4294967295
2025/07/05/17:47:55.875232,9377,1751712475,785147008,/wgs84,4,-72870801,1127959224,21490,57,89,37,22193,21,38819,1361,2460,398,0,0,255,4294967295
2025/07/05/17:47:55.996351,9378,1751712475,785147008,/wgs84,4,-72870801,1127959224,21490,57,89,37,22193,21,38819,1361,2460,398,0,0,255,4294967295
2025/07/05/17:47:56.096291,9379,1751712475,985147008,/wgs84,4,-72870808,1127959220,21450,57,89,44,22193,21,38779,1364,2465,366,0,0,255,4294967295
2025/07/05/17:47:56.196227,9380,1751712475,985147008,/wgs84,4,-72870808,1127959220,21450,57,89,44,22193,21,38779,1364,2465,366,0,0,255,4294967295
2025/07/05/17:47:56.315244,9381,1751712476,185147008,/wgs84,4,-72870815,1127959215,21530,62,102,48,22193,20,38859,1367,2453,363,0,0,255,4294967295
2025/07/05/17:47:56.475329,9382,1751712476,385147008,/wgs84,4,-72870825,1127959210,21570,57,89,54,21717,21,38899,1367,2446,357,0,0,255,4294967295
2025/07/05/17:47:56.615929,9383,1751712476,585147008,/wgs84,4,-72870837,1127959204,21520,57,89,57,23138,21,38849,1356,2426,366,0,0,255,4294967295
2025/07/05/17:47:56.695695,9384,1751712476,585147008,/wgs84,4,-72870837,1127959204,21520,57,89,57,23138,21,38849,1356,2426,366,0,0,255,4294967295
2025/07/05/17:47:56.774393,9385,1751712476,585147008,/wgs84,4,-72870837,1127959204,21520,57,89,57,23138,21,38849,1356,2426,366,0,0,255,4294967295
2025/07/05/17:47:56.874629,9386,1751712476,785147008,/wgs84,4,-72870846,1127959198,21450,57,89,37,23138,21,38779,1346,2404,311,0,0,255,4294967295
2025/07/05/17:47:56.995675,9387,1751712476,785147008,/wgs84,4,-72870846,1127959198,21450,57,89,37,23138,21,38779,1346,2404,311,0,0,255,4294967295
2025/07/05/17:47:57.074597,9388,1751712476,985147008,/wgs84,4,-72870856,1127959194,21490,57,89,47,22313,21,38819,1337,2376,261,0,0,255,4294967295
2025/07/05/17:47:57.154592,9389,1751712476,985147008,/wgs84,4,-72870856,1127959194,21490,57,89,47,22313,21,38819,1337,2376,261,0,0,255,4294967295
2025/07/05/17:47:57.254560,9390,1751712477,185147008,/wgs84,4,-72870869,1127959191,21640,57,89,51,21482,21,38969,1327,2344,271,0,0,255,4294967295
2025/07/05/17:47:57.334691,9391,1751712477,185147008,/wgs84,4,-72870869,1127959191,21640,57,89,51,21482,21,38969,1327,2344,271,0,0,255,4294967295
2025/07/05/17:47:57.496592,9392,1751712477,385147008,/wgs84,4,-72870880,1127959186,21680,57,89,34,21482,21,39009,1319,2322,250,0,0,255,4294967295
2025/07/05/17:47:57.596552,9393,1751712477,585147008,/wgs84,3,-72870890,1127959179,21540,57,89,42,21881,21,38870,1307,2302,370,0,0,255,4294967295
2025/07/05/17:47:57.675337,9394,1751712477,585147008,/wgs84,3,-72870890,1127959179,21540,57,89,42,21881,21,38870,1307,2302,370,0,0,255,4294967295
2025/07/05/17:47:57.796440,9395,1751712477,785147008,/wgs84,3,-72870899,1127959173,21490,59,92,49,21799,20,38819,1301,2295,331,0,0,255,4294967295
2025/07/05/17:47:57.896490,9396,1751712477,785147008,/wgs84,3,-72870899,1127959173,21490,59,92,49,21799,20,38819,1301,2295,331,0,0,255,4294967295
2025/07/05/17:47:58.017987,9397,1751712477,985147008,/wgs84,3,-72870909,1127959169,21460,57,89,40,21799,21,38789,1299,2290,321,0,0,255,4294967295
2025/07/05/17:47:58.095964,9398,1751712477,985147008,/wgs84,3,-72870909,1127959169,21460,57,89,40,21799,21,38789,1299,2290,321,0,0,255,4294967295
2025/07/05/17:47:58.196061,9399,1751712478,185147008,/wgs84,3,-72870917,1127959168,21480,57,89,43,21799,21,38809,1298,2289,330,0,0,255,4294967295
2025/07/05/17:47:58.274214,9400,1751712478,185147008,/wgs84,3,-72870917,1127959168,21480,57,89,43,21799,21,38809,1298,2289,330,0,0,255,4294967295
2025/07/05/17:47:58.396173,9401,1751712478,185147008,/wgs84,3,-72870917,1127959168,21480,57,89,43,21799,21,38809,1298,2289,330,0,0,255,4294967295
2025/07/05/17:47:58.554264,9402,1751712478,385147008,/wgs84,3,-72870926,1127959166,21380,56,87,40,21799,22,38709,1295,2276,281,0,0,255,4294967295
2025/07/05/17:47:58.637596,9403,1751712478,585147008,/wgs84,3,-72870936,1127959164,21240,56,87,38,21799,22,38569,1291,2258,283,0,0,255,4294967295
2025/07/05/17:47:58.734167,9404,1751712478,585147008,/wgs84,3,-72870936,1127959164,21240,56,87,38,21799,22,38569,1291,2258,283,0,0,255,4294967295
2025/07/05/17:47:58.838102,9405,1751712478,785147008,/wgs84,3,-72870946,1127959165,21270,56,87,30,21799,22,38600,1285,2244,369,0,0,255,4294967295
2025/07/05/17:47:58.934640,9406,1751712478,785147008,/wgs84,3,-72870946,1127959165,21270,56,87,30,21799,22,38600,1285,2244,369,0,0,255,4294967295
2025/07/05/17:47:59.054552,9407,1751712478,985147008,/wgs84,3,-72870956,1127959169,21290,56,87,45,21799,22,38619,1282,2239,328,0,0,255,4294967295
2025/07/05/17:47:59.174517,9408,1751712478,985147008,/wgs84,3,-72870956,1127959169,21290,56,87,45,21799,22,38619,1282,2239,328,0,0,255,4294967295
2025/07/05/17:47:59.274763,9409,1751712479,185147008,/wgs84,3,-72870966,1127959166,21210,56,87,39,21799,22,38539,1278,2226,285,0,0,255,4294967295
2025/07/05/17:47:59.415801,9410,1751712479,386147008,/wgs84,3,-72870973,1127959163,21120,56,87,39,21799,22,38449,1273,2212,303,0,0,255,4294967295
2025/07/05/17:47:59.596021,9411,1751712479,386147008,/wgs84,3,-72870973,1127959163,21120,56,87,39,21799,22,38449,1273,2212,303,0,0,255,4294967295
2025/07/05/17:47:59.674726,9412,1751712479,586147008,/wgs84,3,-72870982,1127959164,21100,56,87,22,21799,22,38429,1265,2192,280,0,0,255,4294967295
2025/07/05/17:47:59.774489,9413,1751712479,586147008,/wgs84,3,-72870982,1127959164,21100,56,87,22,21799,22,38429,1265,2192,280,0,0,255,4294967295
2025/07/05/17:47:59.895831,9414,1751712479,786147008,/wgs84,3,-72870988,1127959163,21150,56,87,39,21799,22,38479,1261,2167,289,0,0,255,4294967295
2025/07/05/17:47:59.996551,9415,1751712479,986147008,/wgs84,3,-72870994,1127959160,21180,56,87,23,21799,22,38509,1260,2153,364,0,0,255,4294967295
2025/07/05/17:48:00.074838,9416,1751712479,986147008,/wgs84,3,-72870994,1127959160,21180,56,87,23,21799,22,38509,1260,2153,364,0,0,255,4294967295
2025/07/05/17:48:00.174596,9417,1751712479,986147008,/wgs84,3,-72870994,1127959160,21180,56,87,23,21799,22,38509,1260,2153,364,0,0,255,4294967295
2025/07/05/17:48:00.256359,9418,1751712480,186147008,/wgs84,3,-72870998,1127959156,21160,56,87,28,21799,22,38489,1259,2139,319,0,0,255,4294967295
2025/07/05/17:48:00.355160,9419,1751712480,186147008,/wgs84,3,-72870998,1127959156,21160,56,87,28,21799,22,38489,1259,2139,319,0,0,255,4294967295
2025/07/05/17:48:00.535147,9420,1751712480,386147008,/wgs84,3,-72871003,1127959151,21120,57,89,27,21799,21,38449,1260,2126,334,0,0,255,4294967295
2025/07/05/17:48:00.634254,9421,1751712480,586147008,/wgs84,3,-72871013,1127959147,20970,57,89,37,21799,21,38299,1261,2108,327,0,0,255,4294967295
2025/07/05/17:48:00.715485,9422,1751712480,586147008,/wgs84,3,-72871013,1127959147,20970,57,89,37,21799,21,38299,1261,2108,327,0,0,255,4294967295
2025/07/05/17:48:00.796458,9423,1751712480,784147008,/wgs84,3,-72871022,1127959143,20920,57,89,50,21799,21,38249,1266,2104,387,0,0,255,4294967295
2025/07/05/17:48:00.895683,9424,1751712480,784147008,/wgs84,3,-72871022,1127959143,20920,57,89,50,21799,21,38249,1266,2104,387,0,0,255,4294967295
2025/07/05/17:48:00.974266,9425,1751712480,784147008,/wgs84,3,-72871022,1127959143,20920,57,89,50,21799,21,38249,1266,2104,387,0,0,255,4294967295
2025/07/05/17:48:01.095871,9426,1751712480,984147008,/wgs84,3,-72871031,1127959142,20950,57,89,30,21799,21,38279,1269,2103,395,0,0,255,4294967295
2025/07/05/17:48:01.174822,9427,1751712480,984147008,/wgs84,3,-72871031,1127959142,20950,57,89,30,21799,21,38279,1269,2103,395,0,0,255,4294967295
2025/07/05/17:48:01.274465,9428,1751712481,184147008,/wgs84,3,-72871041,1127959144,20950,57,89,34,21799,21,38279,1265,2097,321,0,0,255,4294967295
2025/07/05/17:48:01.396447,9429,1751712481,184147008,/wgs84,3,-72871041,1127959144,20950,57,89,34,21799,21,38279,1265,2097,321,0,0,255,4294967295
2025/07/05/17:48:01.574643,9430,1751712481,384147008,/wgs84,3,-72871051,1127959144,20800,57,89,41,21799,21,38129,1260,2079,342,0,0,255,4294967295
2025/07/05/17:48:01.675572,9431,1751712481,584147008,/wgs84,3,-72871062,1127959142,20590,57,89,43,21799,21,37919,1258,2062,346,0,0,255,4294967295
2025/07/05/17:48:01.796284,9432,1751712481,784147008,/wgs84,3,-72871070,1127959142,20550,57,89,32,21799,21,37879,1259,2060,355,0,0,255,4294967295
2025/07/05/17:48:01.874793,9433,1751712481,784147008,/wgs84,3,-72871070,1127959142,20550,57,89,32,21799,21,37879,1259,2060,355,0,0,255,4294967295
2025/07/05/17:48:01.996909,9434,1751712481,984147008,/wgs84,3,-72871077,1127959140,20540,57,89,41,21799,21,37869,1261,2057,339,0,0,255,4294967295
2025/07/05/17:48:02.095526,9435,1751712481,984147008,/wgs84,3,-72871077,1127959140,20540,57,89,41,21799,21,37869,1261,2057,339,0,0,255,4294967295
2025/07/05/17:48:02.174795,9436,1751712481,984147008,/wgs84,3,-72871077,1127959140,20540,57,89,41,21799,21,37869,1261,2057,339,0,0,255,4294967295
2025/07/05/17:48:02.295650,9437,1751712482,184147008,/wgs84,3,-72871087,1127959137,20640,57,89,45,21799,21,37969,1264,2055,513,0,0,255,4294967295
2025/07/05/17:48:02.418202,9438,1751712482,384147008,/wgs84,3,-72871098,1127959136,20710,57,89,50,19073,21,38039,1269,2049,461,0,0,255,4294967295
2025/07/05/17:48:02.596004,9439,1751712482,584147008,/wgs84,3,-72871107,1127959134,20780,57,89,33,19073,21,38109,1271,2034,320,0,0,255,4294967295
2025/07/05/17:48:02.695441,9440,1751712482,584147008,/wgs84,3,-72871107,1127959134,20780,57,89,33,19073,21,38109,1271,2034,320,0,0,255,4294967295
2025/07/05/17:48:02.774407,9441,1751712482,584147008,/wgs84,3,-72871107,1127959134,20780,57,89,33,19073,21,38109,1271,2034,320,0,0,255,4294967295
2025/07/05/17:48:02.875460,9442,1751712482,784147008,/wgs84,3,-72871114,1127959134,20890,57,89,52,17615,21,38219,1273,2016,429,0,0,255,4294967295
2025/07/05/17:48:02.996494,9443,1751712482,984147008,/wgs84,3,-72871123,1127959132,20880,57,89,33,17615,21,38209,1275,2007,350,0,0,255,4294967295
2025/07/05/17:48:03.074965,9444,1751712482,984147008,/wgs84,3,-72871123,1127959132,20880,57,89,33,17615,21,38209,1275,2007,350,0,0,255,4294967295
2025/07/05/17:48:03.174309,9445,1751712482,984147008,/wgs84,3,-72871123,1127959132,20880,57,89,33,17615,21,38209,1275,2007,350,0,0,255,4294967295
2025/07/05/17:48:03.274743,9446,1751712483,184147008,/wgs84,3,-72871131,1127959131,20890,57,89,51,17615,21,38219,1278,2001,387,0,0,255,4294967295
2025/07/05/17:48:03.374620,9447,1751712483,184147008,/wgs84,3,-72871131,1127959131,20890,57,89,51,17615,21,38219,1278,2001,387,0,0,255,4294967295
2025/07/05/17:48:03.554539,9448,1751712483,384147008,/wgs84,3,-72871135,1127959130,20760,57,89,33,17615,21,38089,1279,1997,436,0,0,255,4294967295
2025/07/05/17:48:03.654688,9449,1751712483,584147008,/wgs84,3,-72871142,1127959131,20890,57,89,35,17615,21,38219,1282,1998,360,0,0,255,4294967295
2025/07/05/17:48:03.775300,9450,1751712483,584147008,/wgs84,3,-72871142,1127959131,20890,57,89,35,17615,21,38219,1282,1998,360,0,0,255,4294967295
2025/07/05/17:48:03.854289,9451,1751712483,784147008,/wgs84,3,-72871147,1127959130,20980,57,89,45,17615,21,38309,1284,1991,423,0,0,255,4294967295
