time,.data
2025/07/05/17:47:55.656151,221.68
2025/07/05/17:47:55.757629,220.97
2025/07/05/17:47:55.854629,220.26
2025/07/05/17:47:55.974467,219.38
2025/07/05/17:47:56.075007,218.59
2025/07/05/17:47:56.175168,217.8
2025/07/05/17:47:56.274969,217.01
2025/07/05/17:47:56.416577,215.91
2025/07/05/17:47:56.574980,214.68
2025/07/05/17:47:56.675134,213.92
2025/07/05/17:47:56.754947,213.33
2025/07/05/17:47:56.854680,212.59
2025/07/05/17:47:56.974948,211.7
2025/07/05/17:47:57.054926,211.06
2025/07/05/17:47:57.134712,210.43
2025/07/05/17:47:57.237553,209.6
2025/07/05/17:47:57.315561,208.94
2025/07/05/17:47:57.437767,207.94
2025/07/05/17:47:57.574928,206.81
2025/07/05/17:47:57.655200,206.18
2025/07/05/17:47:57.755008,205.43
2025/07/05/17:47:57.855165,204.68
2025/07/05/17:47:57.996240,203.59
2025/07/05/17:47:58.075278,202.95
2025/07/05/17:47:58.154294,202.32
2025/07/05/17:47:58.254379,201.53
2025/07/05/17:47:58.354957,200.76
2025/07/05/17:47:58.534141,199.48
2025/07/05/17:47:58.614807,198.94
2025/07/05/17:47:58.715579,198.26
2025/07/05/17:47:58.815348,197.58
2025/07/05/17:47:58.915817,196.87
2025/07/05/17:47:59.035110,196.01
2025/07/05/17:47:59.134888,195.27
2025/07/05/17:47:59.254837,194.43
2025/07/05/17:47:59.354553,193.75
2025/07/05/17:47:59.554775,192.47
2025/07/05/17:47:59.654587,191.8
2025/07/05/17:47:59.755011,191.11
2025/07/05/17:47:59.855014,190.43
2025/07/05/17:47:59.975193,189.61
2025/07/05/17:48:00.054560,189.07
2025/07/05/17:48:00.154904,188.41
2025/07/05/17:48:00.234468,187.89
2025/07/05/17:48:00.334149,187.22
2025/07/05/17:48:00.496342,186.14
2025/07/05/17:48:00.618279,185.34
2025/07/05/17:48:00.695614,184.8
2025/07/05/17:48:00.775460,184.25
2025/07/05/17:48:00.854129,183.7
2025/07/05/17:48:00.955969,183.01
2025/07/05/17:48:01.054836,182.33
2025/07/05/17:48:01.154076,181.68
2025/07/05/17:48:01.254870,181.03
2025/07/05/17:48:01.354854,180.38
2025/07/05/17:48:01.554692,179.05
2025/07/05/17:48:01.654912,178.41
2025/07/05/17:48:01.754328,177.77
2025/07/05/17:48:01.854359,177.12
2025/07/05/17:48:01.974929,176.34
2025/07/05/17:48:02.055252,175.81
2025/07/05/17:48:02.154494,175.15
2025/07/05/17:48:02.254861,174.5
2025/07/05/17:48:02.354621,173.85
2025/07/05/17:48:02.555095,172.58
2025/07/05/17:48:02.654687,171.93
2025/07/05/17:48:02.754520,171.29
2025/07/05/17:48:02.854803,170.66
2025/07/05/17:48:02.974758,169.89
2025/07/05/17:48:03.054073,169.39
2025/07/05/17:48:03.155038,168.77
2025/07/05/17:48:03.254646,168.12
2025/07/05/17:48:03.354375,167.47
2025/07/05/17:48:03.534298,166.32
2025/07/05/17:48:03.637963,165.68
2025/07/05/17:48:03.735009,165.04
2025/07/05/17:48:03.834603,164.4
2025/07/05/17:48:03.954144,163.62
2025/07/05/17:48:04.054878,162.97
2025/07/05/17:48:04.154253,162.26
2025/07/05/17:48:04.254285,161.49
2025/07/05/17:48:04.354594,160.67
2025/07/05/17:48:04.556128,158.92
2025/07/05/17:48:04.654844,157.99
2025/07/05/17:48:04.754271,157.03
2025/07/05/17:48:04.854707,156.05
2025/07/05/17:48:04.975022,154.86
2025/07/05/17:48:05.053780,154.05
