time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.param_id,.value.integer,.value.real,.param_index,.param_count
2025/07/05/17:48:17.496263,940,1751712497,495887227,,STAT_RUNTIME,506785,0.0,517,907
2025/07/05/17:48:48.495269,941,1751712528,495004665,,STAT_RUNTIME,506816,0.0,517,907
