time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:47:55.855722,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:55.856210,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:55.856791,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:55.975228,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:55.975458,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:55.976064,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.076398,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.076845,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.077787,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.176675,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.176690,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.177802,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.275738,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.276208,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.277138,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.417675,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.418598,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.418868,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.576950,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:47:56.576999,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
