time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:47:55.695014,9375,1751712475,585147008,map,-0.23387776458286388,-0.26038661876855823,0.0,0.0,0.0,0.0
2025/07/05/17:47:55.776124,9376,1751712475,585147008,map,-0.23387776458286388,-0.26038661876855823,0.0,0.0,0.0,0.0
2025/07/05/17:47:55.875211,9377,1751712475,785147008,map,-0.24724220827331325,-0.2752658541267616,0.0,0.0,0.0,0.0
2025/07/05/17:47:55.996339,9378,1751712475,785147008,map,-0.24724220827331325,-0.2752658541267616,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.096265,9379,1751712475,985147008,map,-0.29401776118988604,-0.32734317788047324,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.196217,9380,1751712475,985147008,map,-0.29401776118988604,-0.32734317788047324,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.315215,9381,1751712476,185147008,map,-0.3207466485707848,-0.3571016485968799,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.475301,9382,1751712476,385147008,map,-0.32625826375382355,-0.43029704313687833,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.615884,9383,1751712476,585147008,map,-0.4453425103565424,-0.355766845657845,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.695635,9384,1751712476,585147008,map,-0.4453425103565424,-0.355766845657845,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.774276,9385,1751712476,585147008,map,-0.4453425103565424,-0.355766845657845,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.874593,9386,1751712476,785147008,map,-0.2890819804068784,-0.23093637349719764,0.0,0.0,0.0,0.0
2025/07/05/17:47:56.995634,9387,1751712476,785147008,map,-0.2890819804068784,-0.23093637349719764,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.074520,9388,1751712476,985147008,map,-0.32131831627556345,-0.34300807516126636,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.154521,9389,1751712476,985147008,map,-0.32131831627556345,-0.34300807516126636,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.254458,9390,1751712477,185147008,map,-0.29121008570842877,-0.4186844706717573,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.334656,9391,1751712477,185147008,map,-0.29121008570842877,-0.4186844706717573,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.496574,9392,1751712477,385147008,map,-0.19414005713895255,-0.27912298044783823,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.596503,9393,1751712477,585147008,map,-0.2632307252210103,-0.3272760078276758,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.675230,9394,1751712477,585147008,map,-0.2632307252210103,-0.3272760078276758,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.796327,9395,1751712477,785147008,map,-0.3016067267424164,-0.38617791545313074,0.0,0.0,0.0,0.0
2025/07/05/17:47:57.896427,9396,1751712477,785147008,map,-0.3016067267424164,-0.38617791545313074,0.0,0.0,0.0,0.0
