time,.server_id,.seq_num,.type,.markers,.poses,.erases
2025/07/05/17:47:59.841361,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:59.841389,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:59.841445,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:59.841466,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:00.533290,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:01.080472,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:01.481173,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:02.093310,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:02.337617,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:02.735078,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:03.226324,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:03.725885,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:04.202053,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:04.724055,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:05.231497,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:05.706498,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:06.227379,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:06.730811,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:07.219857,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:07.748074,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:08.201626,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:08.714116,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:09.230656,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:09.706279,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:10.217866,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:10.729692,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:11.209930,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:11.721501,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:12.202270,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:48:12.716500,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.450764,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456365,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456387,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456408,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456420,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456433,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456443,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456456,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456471,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456484,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456553,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456565,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456612,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456623,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456639,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456650,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456657,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456671,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456683,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456695,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456706,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456713,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456726,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456738,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456747,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456757,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456764,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456775,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456786,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456796,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456804,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456809,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456815,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456820,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456830,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456839,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456846,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456854,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456863,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456869,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456888,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456898,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456912,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456921,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456931,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456945,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456960,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456968,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456978,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:01.456985,/waypoint_nav_plugin,7,0,[],[],[]
