time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.connected,.armed,.guided,.manual_input,.mode,.system_status
2025/07/05/17:44:13.416000,780,1751712252,503055525,,True,True,False,False,HOLD,5
2025/07/05/17:44:13.523532,781,1751712253,523055822,,True,True,False,False,HOLD,5
2025/07/05/17:44:14.482432,782,1751712254,482057588,,True,True,False,False,HOLD,5
2025/07/05/17:44:15.503650,783,1751712255,503131708,,True,True,False,False,HOLD,5
2025/07/05/17:44:16.504592,784,1751712256,504100463,,True,True,False,False,HOLD,5
2025/07/05/17:44:17.482994,785,1751712257,481944842,,True,True,False,False,HOLD,5
2025/07/05/17:44:18.503436,786,1751712258,503012543,,True,True,False,False,HOLD,5
2025/07/05/17:44:19.523646,787,1751712259,523204560,,True,True,False,False,HOLD,5
2025/07/05/17:44:20.483592,788,1751712260,482370669,,True,True,False,False,HOLD,5
2025/07/05/17:44:21.503565,789,1751712261,503094002,,True,True,False,False,HOLD,5
2025/07/05/17:44:22.503672,790,1751712262,503011092,,True,True,False,False,HOLD,5
2025/07/05/17:44:23.483078,791,1751712263,482076785,,True,True,False,False,HOLD,5
2025/07/05/17:44:24.503986,792,1751712264,503232441,,True,True,False,False,HOLD,5
2025/07/05/17:44:25.503524,793,1751712265,503077540,,True,True,False,False,HOLD,5
2025/07/05/17:44:26.482062,794,1751712266,481467855,,True,True,False,False,HOLD,5
2025/07/05/17:44:27.503565,795,1751712267,503066501,,True,True,False,False,HOLD,5
2025/07/05/17:44:28.503253,796,1751712268,502926664,,True,True,False,False,HOLD,5
2025/07/05/17:44:29.482647,797,1751712269,482151077,,True,True,False,False,HOLD,5
2025/07/05/17:44:30.503856,798,1751712270,503159737,,True,True,False,False,HOLD,5
2025/07/05/17:44:31.523026,799,1751712271,522163645,,True,True,False,False,HOLD,5
2025/07/05/17:44:32.482176,800,1751712272,481382952,,True,True,False,False,HOLD,5
2025/07/05/17:44:33.503197,801,1751712273,502609259,,True,True,False,False,HOLD,5
2025/07/05/17:44:34.503843,802,1751712274,503183924,,True,True,False,False,HOLD,5
2025/07/05/17:44:35.482024,803,1751712275,481220327,,True,True,False,False,HOLD,5
2025/07/05/17:44:36.502856,804,1751712276,502190140,,True,True,False,False,HOLD,5
2025/07/05/17:44:37.503306,805,1751712277,502955927,,True,True,False,False,HOLD,5
2025/07/05/17:44:38.482011,806,1751712278,481257541,,True,True,False,False,HOLD,5
2025/07/05/17:44:39.503695,807,1751712279,503218292,,True,True,False,False,HOLD,5
2025/07/05/17:44:40.503464,808,1751712280,503021884,,True,True,False,False,HOLD,5
2025/07/05/17:44:41.482841,809,1751712281,482312468,,True,True,False,False,HOLD,5
2025/07/05/17:44:42.503096,810,1751712282,502298470,,True,True,False,False,HOLD,5
2025/07/05/17:44:43.462845,811,1751712283,462176573,,True,True,False,False,HOLD,5
2025/07/05/17:44:44.481962,812,1751712284,481311281,,True,True,False,False,HOLD,5
2025/07/05/17:44:45.502911,813,1751712285,502250433,,True,True,False,False,HOLD,5
2025/07/05/17:44:46.503453,814,1751712286,503099280,,True,True,False,False,HOLD,5
2025/07/05/17:44:47.482061,815,1751712287,481237197,,True,True,False,False,HOLD,5
2025/07/05/17:44:48.502753,816,1751712288,502238080,,True,True,False,False,HOLD,5
2025/07/05/17:44:49.522879,817,1751712289,522238519,,True,True,False,False,HOLD,5
2025/07/05/17:44:50.481912,818,1751712290,481325969,,True,True,False,False,HOLD,5
2025/07/05/17:44:51.502805,819,1751712291,501845239,,True,True,False,False,HOLD,5
2025/07/05/17:44:52.502724,820,1751712292,502252035,,True,True,False,False,HOLD,5
2025/07/05/17:44:53.481904,821,1751712293,481429469,,True,True,False,False,HOLD,5
2025/07/05/17:44:54.502671,822,1751712294,502194860,,True,True,False,False,HOLD,5
