time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:15.104432,14556,1751712255,103410024,,11.998000144958496,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.998000144958496,)",(),id1,
2025/07/05/17:44:15.142569,14557,1751712255,142096590,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.205896,14558,1751712255,204663071,,11.992000579833984,0.0,-0.23999999463558197,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.992000579833984,)",(),id1,
2025/07/05/17:44:15.243666,14559,1751712255,242336435,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.304298,14560,1751712255,303714750,,11.99000072479248,0.0,-0.23999999463558197,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.99000072479248,)",(),id1,
2025/07/05/17:44:15.344146,14561,1751712255,342245580,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.442312,14562,1751712255,442080328,,11.998000144958496,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.998000144958496,)",(),id1,
2025/07/05/17:44:15.504056,14563,1751712255,503610575,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.562464,14564,1751712255,562133768,,11.997000694274902,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.997000694274902,)",(),id1,
2025/07/05/17:44:15.606023,14565,1751712255,604848021,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.641784,14566,1751712255,641149955,,11.996000289916992,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.996000289916992,)",(),id1,
2025/07/05/17:44:15.682918,14567,1751712255,682439622,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.741634,14568,1751712255,741054701,,11.892000198364258,0.0,-5.359999656677246,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.892000198364258,)",(),id1,
2025/07/05/17:44:15.782426,14569,1751712255,781879512,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.825789,14570,1751712255,825349119,,11.870000839233398,0.0,-6.980000019073486,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.870000839233398,)",(),id1,
2025/07/05/17:44:15.903691,14571,1751712255,902872141,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:15.962402,14572,1751712255,962034850,,11.898000717163086,0.0,-5.420000076293945,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.898000717163086,)",(),id1,
2025/07/05/17:44:16.004164,14573,1751712256,3634042,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:16.042572,14574,1751712256,42055409,,11.905000686645508,0.0,-3.0799999237060547,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.905000686645508,)",(),id1,
2025/07/05/17:44:16.083704,14575,1751712256,83081140,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
