time,.data
2025/07/05/17:44:32.082128,21
2025/07/05/17:44:32.181468,21
2025/07/05/17:44:32.302548,21
2025/07/05/17:44:32.423342,21
2025/07/05/17:44:32.604132,21
2025/07/05/17:44:32.703448,21
2025/07/05/17:44:32.805234,21
2025/07/05/17:44:32.902583,21
2025/07/05/17:44:33.004400,22
2025/07/05/17:44:33.081756,22
2025/07/05/17:44:33.182205,22
2025/07/05/17:44:33.262078,22
2025/07/05/17:44:33.362328,22
2025/07/05/17:44:33.522889,22
2025/07/05/17:44:33.625266,22
2025/07/05/17:44:33.723100,22
2025/07/05/17:44:33.803976,22
2025/07/05/17:44:33.903560,22
2025/07/05/17:44:34.004199,21
2025/07/05/17:44:34.103182,21
2025/07/05/17:44:34.182927,21
2025/07/05/17:44:34.262113,21
2025/07/05/17:44:34.362950,21
2025/07/05/17:44:34.523238,22
2025/07/05/17:44:34.641847,22
2025/07/05/17:44:34.742058,22
2025/07/05/17:44:34.861870,22
2025/07/05/17:44:34.941746,22
2025/07/05/17:44:35.041833,22
2025/07/05/17:44:35.122847,22
2025/07/05/17:44:35.203632,22
2025/07/05/17:44:35.302838,22
2025/07/05/17:44:35.425850,22
2025/07/05/17:44:35.561978,22
2025/07/05/17:44:35.662620,22
2025/07/05/17:44:35.762179,22
2025/07/05/17:44:35.861926,22
2025/07/05/17:44:35.961897,22
2025/07/05/17:44:36.061842,22
2025/07/05/17:44:36.161978,22
2025/07/05/17:44:36.262161,22
2025/07/05/17:44:36.361964,22
2025/07/05/17:44:36.541669,22
2025/07/05/17:44:36.641449,22
2025/07/05/17:44:36.722742,22
2025/07/05/17:44:36.825099,22
2025/07/05/17:44:36.923191,22
2025/07/05/17:44:37.041522,22
2025/07/05/17:44:37.141690,22
2025/07/05/17:44:37.241408,22
2025/07/05/17:44:37.322820,22
2025/07/05/17:44:37.462086,22
2025/07/05/17:44:37.581856,22
2025/07/05/17:44:37.662218,22
2025/07/05/17:44:37.762167,22
2025/07/05/17:44:37.861887,22
2025/07/05/17:44:38.003370,22
2025/07/05/17:44:38.102546,22
2025/07/05/17:44:38.181719,22
2025/07/05/17:44:38.303136,22
2025/07/05/17:44:38.425680,22
2025/07/05/17:44:38.603424,21
2025/07/05/17:44:38.682986,21
2025/07/05/17:44:38.781609,21
2025/07/05/17:44:38.861858,21
2025/07/05/17:44:38.962062,21
2025/07/05/17:44:39.061925,21
2025/07/05/17:44:39.181581,21
2025/07/05/17:44:39.262044,22
2025/07/05/17:44:39.382086,22
2025/07/05/17:44:39.561955,22
2025/07/05/17:44:39.662059,22
2025/07/05/17:44:39.741382,22
2025/07/05/17:44:39.841455,22
2025/07/05/17:44:39.922196,22
2025/07/05/17:44:40.041195,22
2025/07/05/17:44:40.141740,22
2025/07/05/17:44:40.241613,22
2025/07/05/17:44:40.323055,22
2025/07/05/17:44:40.461854,22
2025/07/05/17:44:40.582319,22
2025/07/05/17:44:40.682437,22
2025/07/05/17:44:40.781901,22
2025/07/05/17:44:40.881731,22
2025/07/05/17:44:41.003303,22
2025/07/05/17:44:41.102779,22
2025/07/05/17:44:41.181986,22
2025/07/05/17:44:41.281955,22
2025/07/05/17:44:41.361771,22
2025/07/05/17:44:41.541436,22
2025/07/05/17:44:41.641647,22
2025/07/05/17:44:41.722501,22
2025/07/05/17:44:41.803236,22
2025/07/05/17:44:41.882001,22
2025/07/05/17:44:42.003811,22
2025/07/05/17:44:42.081540,22
2025/07/05/17:44:42.181483,22
2025/07/05/17:44:42.281761,22
2025/07/05/17:44:42.381665,22
2025/07/05/17:44:42.541792,22
2025/07/05/17:44:42.641433,22
2025/07/05/17:44:42.722177,22
2025/07/05/17:44:42.803845,22
2025/07/05/17:44:42.903260,22
2025/07/05/17:44:42.981736,22
2025/07/05/17:44:43.102241,22
2025/07/05/17:44:43.182056,22
2025/07/05/17:44:43.283614,22
2025/07/05/17:44:43.404078,22
2025/07/05/17:44:43.581898,22
2025/07/05/17:44:43.702562,22
2025/07/05/17:44:43.803405,22
2025/07/05/17:44:43.881788,22
2025/07/05/17:44:44.003781,22
2025/07/05/17:44:44.102259,22
2025/07/05/17:44:44.181575,22
2025/07/05/17:44:44.302462,22
2025/07/05/17:44:44.481866,22
2025/07/05/17:44:44.602804,22
2025/07/05/17:44:44.703228,22
2025/07/05/17:44:44.781977,22
2025/07/05/17:44:44.861930,22
2025/07/05/17:44:44.961740,22
2025/07/05/17:44:45.061520,22
2025/07/05/17:44:45.181935,22
2025/07/05/17:44:45.262058,22
2025/07/05/17:44:45.361750,22
2025/07/05/17:44:45.541947,22
2025/07/05/17:44:45.641252,22
2025/07/05/17:44:45.721744,22
2025/07/05/17:44:45.803271,22
2025/07/05/17:44:45.902636,22
2025/07/05/17:44:46.003434,22
2025/07/05/17:44:46.103239,22
2025/07/05/17:44:46.203668,22
2025/07/05/17:44:46.281524,22
2025/07/05/17:44:46.403295,22
2025/07/05/17:44:46.581608,22
2025/07/05/17:44:46.702221,22
2025/07/05/17:44:46.803691,22
2025/07/05/17:44:46.881285,22
2025/07/05/17:44:47.003527,22
2025/07/05/17:44:47.102464,22
2025/07/05/17:44:47.203520,22
2025/07/05/17:44:47.302670,22
2025/07/05/17:44:47.425116,22
2025/07/05/17:44:47.561627,22
2025/07/05/17:44:47.661637,22
2025/07/05/17:44:47.761383,22
2025/07/05/17:44:47.861798,22
2025/07/05/17:44:47.961746,22
2025/07/05/17:44:48.081961,22
2025/07/05/17:44:48.203155,22
2025/07/05/17:44:48.302377,22
2025/07/05/17:44:48.381527,22
2025/07/05/17:44:48.561427,22
