time,.data
2025/07/05/17:44:13.564251,1.8931586396382496
2025/07/05/17:44:13.664875,1.8896679811342603
2025/07/05/17:44:13.763919,1.8853046580042745
2025/07/05/17:44:13.864364,1.879894137323092
2025/07/05/17:44:13.983342,1.8727382873899157
2025/07/05/17:44:14.063973,1.867676832559132
2025/07/05/17:44:14.163411,1.8615681801771524
2025/07/05/17:44:14.263047,1.853539665617978
2025/07/05/17:44:14.364566,1.8404496962280203
2025/07/05/17:44:14.563847,1.8111281647945152
2025/07/05/17:44:14.644154,1.8003071234321504
2025/07/05/17:44:14.743832,1.7880898186681902
2025/07/05/17:44:14.843748,1.778315974857022
2025/07/05/17:44:14.943649,1.7709855919986466
2025/07/05/17:44:15.043477,1.7650514725418656
2025/07/05/17:44:15.143548,1.759815484785882
2025/07/05/17:44:15.244277,1.7547540299550992
2025/07/05/17:44:15.345481,1.7491689763487175
2025/07/05/17:44:15.506075,1.739220599612349
2025/07/05/17:44:15.606718,1.7325883484547708
2025/07/05/17:44:15.683819,1.727701426549187
2025/07/05/17:44:15.783633,1.7214182412420072
2025/07/05/17:44:15.903889,1.7114698645056396
2025/07/05/17:44:16.005227,1.7016960206944711
2025/07/05/17:44:16.084862,1.6929693744344996
2025/07/05/17:44:16.183864,1.6814502013713366
2025/07/05/17:44:16.263410,1.6723744892609664
2025/07/05/17:44:16.365170,1.6615534478986016
2025/07/05/17:44:16.545140,1.6453218858550542
2025/07/05/17:44:16.626586,1.6393877663982737
2025/07/05/17:44:16.706040,1.6339772457170911
2025/07/05/17:44:16.805938,1.6257741982327176
2025/07/05/17:44:16.886320,1.6173966178231454
2025/07/05/17:44:17.026452,1.5981979960512074
2025/07/05/17:44:17.124616,1.5816173681572616
2025/07/05/17:44:17.206011,1.5678292670665062
2025/07/05/17:44:17.286206,1.5535175672001527
2025/07/05/17:44:17.427130,1.5273376284202378
2025/07/05/17:44:17.583390,1.4983651628371317
2025/07/05/17:44:17.664068,1.484751594671576
2025/07/05/17:44:17.764468,1.4679964338524305
2025/07/05/17:44:17.863307,1.4535102010608776
2025/07/05/17:44:17.985744,1.4391985011945239
2025/07/05/17:44:18.064144,1.4308209207849514
2025/07/05/17:44:18.165195,1.4208725440485837
2025/07/05/17:44:18.243227,1.4128440294894098
2025/07/05/17:44:18.343395,1.4023720539774436
2025/07/05/17:44:18.504750,1.3845696956071016
2025/07/05/17:44:18.631396,1.3713051932919447
2025/07/05/17:44:18.705035,1.3631021458075712
2025/07/05/17:44:18.786249,1.3559462958743944
2025/07/05/17:44:18.863815,1.3500121764176138
2025/07/05/17:44:18.984773,1.3432053923348362
2025/07/05/17:44:19.064155,1.3398892667560467
2025/07/05/17:44:19.164215,1.3357004765512603
2025/07/05/17:44:19.264796,1.3276719619920863
2025/07/05/17:44:19.364661,1.3165018547793228
2025/07/05/17:44:19.562804,1.2915436464758039
2025/07/05/17:44:19.644065,1.2826424672906327
2025/07/05/17:44:19.742863,1.2733922222550629
2025/07/05/17:44:19.843677,1.2669345040226838
2025/07/05/17:44:19.964281,1.261000384565903
2025/07/05/17:44:20.064528,1.256113462660319
2025/07/05/17:44:20.165087,1.250004810278339
2025/07/05/17:44:20.264041,1.2423253615695637
2025/07/05/17:44:20.364304,1.233947781159991
2025/07/05/17:44:20.563810,1.2185888837424408
2025/07/05/17:44:20.664541,1.213003830136059
2025/07/05/17:44:20.764065,1.2086405070060733
2025/07/05/17:44:20.864153,1.2042771838760873
2025/07/05/17:44:20.984408,1.19729586686811
2025/07/05/17:44:21.063713,1.1908381486357311
2025/07/05/17:44:21.163753,1.1812388377497622
2025/07/05/17:44:21.264513,1.171115928088195
2025/07/05/17:44:21.363389,1.1615166172022262
2025/07/05/17:44:21.543770,1.14807758196187
2025/07/05/17:44:21.644647,1.1423179954302887
2025/07/05/17:44:21.725721,1.1377801393751035
2025/07/05/17:44:21.827484,1.131147888217525
2025/07/05/17:44:21.943956,1.1213740444063567
2025/07/05/17:44:22.045177,1.1121237993707866
2025/07/05/17:44:22.142318,1.1028735543352168
2025/07/05/17:44:22.243463,1.0939723751500456
2025/07/05/17:44:22.342440,1.0862929264412706
2025/07/05/17:44:22.506093,1.0773917472560997
2025/07/05/17:44:22.626221,1.0709340290237206
2025/07/05/17:44:22.705071,1.0649999095669398
2025/07/05/17:44:22.784352,1.0578440596337633
2025/07/05/17:44:22.863590,1.0494664792241903
2025/07/05/17:44:22.984549,1.036900108609831
2025/07/05/17:44:23.063812,1.029918791601854
2025/07/05/17:44:23.165425,1.0232865404442752
2025/07/05/17:44:23.264077,1.017876019763093
2025/07/05/17:44:23.363687,1.0119419003063124
2025/07/05/17:44:23.524930,0.9983283321407566
2025/07/05/17:44:23.643725,0.9845402310500012
2025/07/05/17:44:23.744655,0.9738937226128358
2025/07/05/17:44:23.826021,0.9667378726796592
2025/07/05/17:44:23.904376,0.9609782861480779
2025/07/05/17:44:24.026555,0.9545205679156988
2025/07/05/17:44:24.105055,0.9505063106361119
2025/07/05/17:44:24.204522,0.9438740594785334
2025/07/05/17:44:24.287313,0.9365436766201571
2025/07/05/17:44:24.383622,0.9258971681829918
2025/07/05/17:44:24.583670,0.9086184085882479
2025/07/05/17:44:24.665089,0.9072221451866523
2025/07/05/17:44:24.763231,0.9079202768874504
2025/07/05/17:44:24.864535,0.9115854683166382
2025/07/05/17:44:25.004979,0.9131562646434332
2025/07/05/17:44:25.088461,0.9117600012418378
2025/07/05/17:44:25.182358,0.9089674744386468
2025/07/05/17:44:25.263697,0.9077457439622508
2025/07/05/17:44:25.364174,0.9098401390646441
2025/07/05/17:44:25.543947,0.9201375816514105
2025/07/05/17:44:25.644110,0.9246754377065958
2025/07/05/17:44:25.743220,0.9250245035569946
2025/07/05/17:44:25.842347,0.9225810426042026
2025/07/05/17:44:25.925100,0.9204866475018095
2025/07/05/17:44:26.043771,0.9213593121278064
2025/07/05/17:44:26.146401,0.92642076695859
2025/07/05/17:44:26.245527,0.9323548864153709
2025/07/05/17:44:26.342195,0.9363691436949578
2025/07/05/17:44:26.484430,0.9351474132185617
2025/07/05/17:44:26.582460,0.9325294193405702
2025/07/05/17:44:26.663748,0.9318312876397725
2025/07/05/17:44:26.763431,0.9346238144429634
2025/07/05/17:44:26.863275,0.9396852692737472
2025/07/05/17:44:26.982593,0.9442231253289323
2025/07/05/17:44:27.064146,0.944572191179331
2025/07/05/17:44:27.163091,0.942128730226539
2025/07/05/17:44:27.264085,0.9393362034233481
2025/07/05/17:44:27.363173,0.9395107363485476
2025/07/05/17:44:27.543562,0.9464920533565249
2025/07/05/17:44:27.642454,0.9491100472345164
2025/07/05/17:44:27.743008,0.9482373826085192
2025/07/05/17:44:27.843659,0.9456193887305276
2025/07/05/17:44:27.964191,0.9443976582541317
2025/07/05/17:44:28.064227,0.9464920533565249
2025/07/05/17:44:28.163345,0.9499827118605135
2025/07/05/17:44:28.263583,0.9522516398881061
2025/07/05/17:44:28.364068,0.951378975262109
2025/07/05/17:44:28.563429,0.9484119155337187
2025/07/05/17:44:28.664147,0.9505063106361119
2025/07/05/17:44:28.762943,0.9545205679156988
2025/07/05/17:44:28.862908,0.9567894959432915
2025/07/05/17:44:28.963934,0.9562658971676931
2025/07/05/17:44:29.043332,0.9546951008408984
2025/07/05/17:44:29.142997,0.9534733703645022
2025/07/05/17:44:29.243196,0.9552186996164964
2025/07/05/17:44:29.342350,0.9590584239708841
2025/07/05/17:44:29.524301,0.9628981483252715
2025/07/05/17:44:29.626893,0.9613273519984766
2025/07/05/17:44:29.706102,0.9599310885968813
2025/07/05/17:44:29.786226,0.9599310885968813
2025/07/05/17:44:29.863525,0.9620254836992744
2025/07/05/17:44:29.984475,0.9674360043804568
2025/07/05/17:44:30.064067,0.9698794653332489
2025/07/05/17:44:30.164112,0.9704030641088471
2025/07/05/17:44:30.264030,0.9690068007072518
2025/07/05/17:44:30.363559,0.9686577348568529
2025/07/05/17:44:30.505332,0.9721483933608416
2025/07/05/17:44:30.624535,0.9765117164908274
2025/07/05/17:44:30.725097,0.9782570457428217
2025/07/05/17:44:30.823747,0.9779079798924227
2025/07/05/17:44:30.943182,0.9773843811168246
2025/07/05/17:44:31.044371,0.9789551774436194
2025/07/05/17:44:31.143115,0.9822713030224087
2025/07/05/17:44:31.242407,0.9845402310500012
2025/07/05/17:44:31.343442,0.9850638298255995
2025/07/05/17:44:31.463556,0.9838420993492035
2025/07/05/17:44:31.605491,0.9845402310500012
2025/07/05/17:44:31.683463,0.9862855603019955
2025/07/05/17:44:31.785551,0.9887290212547877
2025/07/05/17:44:31.862356,0.9894271529555853
2025/07/05/17:44:31.982186,0.9885544883295881
2025/07/05/17:44:32.064022,0.9876818237035911
2025/07/05/17:44:32.162143,0.9880308895539899
2025/07/05/17:44:32.264909,0.9899507517311837
2025/07/05/17:44:32.364407,0.9915215480579787
2025/07/05/17:44:32.564832,0.990125284656383
2025/07/05/17:44:32.664134,0.9892526200303859
2025/07/05/17:44:32.784219,0.990125284656383
2025/07/05/17:44:32.864172,0.9911724822075797
2025/07/05/17:44:32.982290,0.991696080983178
2025/07/05/17:44:33.063346,0.9909979492823804
2025/07/05/17:44:33.162419,0.9902998175815826
2025/07/05/17:44:33.242206,0.9904743505067819
2025/07/05/17:44:33.343144,0.9915215480579787
2025/07/05/17:44:33.504988,0.9923942126839758
2025/07/05/17:44:33.605258,0.9915215480579787
2025/07/05/17:44:33.685072,0.9906488834319814
2025/07/05/17:44:33.783332,0.9906488834319814
2025/07/05/17:44:33.862470,0.9915215480579787
2025/07/05/17:44:33.982436,0.9934414102351724
2025/07/05/17:44:34.063235,0.9939650090107707
2025/07/05/17:44:34.163486,0.9936159431603717
2025/07/05/17:44:34.243112,0.9929178114595741
2025/07/05/17:44:34.343814,0.9930923443847735
2025/07/05/17:44:34.504767,0.9955358053375656
2025/07/05/17:44:34.626638,0.9967575358139615
2025/07/05/17:44:34.725610,0.9965830028887622
2025/07/05/17:44:34.843302,0.9965830028887622
2025/07/05/17:44:34.924392,0.9976302004399586
2025/07/05/17:44:35.025687,0.9997245955423519
2025/07/05/17:44:35.104344,1.000946326018748
2025/07/05/17:44:35.183476,1.0014699247943464
2025/07/05/17:44:35.264220,1.0011208589439473
2025/07/05/17:44:35.362871,1.0011208589439473
2025/07/05/17:44:35.542990,1.0037388528219389
2025/07/05/17:44:35.642238,1.0049605832983348
2025/07/05/17:44:35.744093,1.0049605832983348
2025/07/05/17:44:35.843041,1.0047860503731356
2025/07/05/17:44:35.943144,1.0058332479243322
2025/07/05/17:44:36.041920,1.0082767088771243
2025/07/05/17:44:36.143085,1.0103711039795173
2025/07/05/17:44:36.242321,1.0107201698299162
2025/07/05/17:44:36.342785,1.010196571054318
2025/07/05/17:44:36.504013,1.0117673673811127
2025/07/05/17:44:36.626344,1.0142108283339049
2025/07/05/17:44:36.703095,1.0152580258851014
2025/07/05/17:44:36.804779,1.015432558810301
2025/07/05/17:44:36.904172,1.0157816246606999
2025/07/05/17:44:37.025668,1.0177014868378935
2025/07/05/17:44:37.123708,1.019446816089888
2025/07/05/17:44:37.226336,1.0199704148654862
2025/07/05/17:44:37.304657,1.0197958819402868
2025/07/05/17:44:37.404849,1.0199704148654862
2025/07/05/17:44:37.565015,1.0225884087434776
2025/07/05/17:44:37.642908,1.0239846721450732
2025/07/05/17:44:37.744330,1.02503186969627
2025/07/05/17:44:37.842795,1.0255554684718682
2025/07/05/17:44:37.964251,1.026777198948264
2025/07/05/17:44:38.062272,1.0285225282002584
2025/07/05/17:44:38.162951,1.0300933245270534
2025/07/05/17:44:38.263461,1.0306169233026514
2025/07/05/17:44:38.362902,1.0309659891530505
2025/07/05/17:44:38.562960,1.0341075818066403
2025/07/05/17:44:38.662695,1.0362019769090336
2025/07/05/17:44:38.763415,1.0374237073854293
2025/07/05/17:44:38.842000,1.0377727732358284
2025/07/05/17:44:38.943288,1.038819970787025
2025/07/05/17:44:39.042596,1.0405653000390194
2025/07/05/17:44:39.143155,1.0421360963658142
2025/07/05/17:44:39.243212,1.0428342280666119
2025/07/05/17:44:39.364336,1.043706892692609
2025/07/05/17:44:39.542928,1.0473720841217973
2025/07/05/17:44:39.643049,1.049291946298991
2025/07/05/17:44:39.723782,1.0499900779997886
2025/07/05/17:44:39.826326,1.050164610924988
2025/07/05/17:44:39.903722,1.0506882097005865
2025/07/05/17:44:40.026971,1.0527826048029796
2025/07/05/17:44:40.123721,1.0543534011297744
2025/07/05/17:44:40.226280,1.0550515328305723
2025/07/05/17:44:40.303730,1.05574966453137
2025/07/05/17:44:40.404560,1.0574949937833642
2025/07/05/17:44:40.563275,1.0601129876613558
2025/07/05/17:44:40.663270,1.0608111193621534
2025/07/05/17:44:40.762329,1.0611601852125523
2025/07/05/17:44:40.862614,1.0620328498385494
2025/07/05/17:44:40.983127,1.0639527120157433
2025/07/05/17:44:41.063087,1.0649999095669398
2025/07/05/17:44:41.162914,1.0658725741929371
2025/07/05/17:44:41.243518,1.0665707058937348
2025/07/05/17:44:41.342624,1.0676179034449313
2025/07/05/17:44:41.524359,1.069886831472524
2025/07/05/17:44:41.626297,1.070410430248122
2025/07/05/17:44:41.703954,1.0707594960985212
2025/07/05/17:44:41.781973,1.0714576277993189
2025/07/05/17:44:41.862230,1.0725048253505156
2025/07/05/17:44:41.983268,1.0740756216773104
2025/07/05/17:44:42.061912,1.074773753378108
2025/07/05/17:44:42.162579,1.075471885078906
2025/07/05/17:44:42.262315,1.0763445497049031
2025/07/05/17:44:42.363446,1.0775662801812989
2025/07/05/17:44:42.504324,1.0786134777324956
2025/07/05/17:44:42.625058,1.0791370765080939
2025/07/05/17:44:42.704837,1.080009741134091
2025/07/05/17:44:42.782085,1.0810569386852875
2025/07/05/17:44:42.862604,1.0822786691616837
2025/07/05/17:44:42.961977,1.0835003996380799
2025/07/05/17:44:43.063127,1.084373064264077
2025/07/05/17:44:43.162919,1.085245728890074
2025/07/05/17:44:43.263323,1.0862929264412706
2025/07/05/17:44:43.362181,1.0871655910672677
2025/07/05/17:44:43.562619,1.089259986169661
2025/07/05/17:44:43.664130,1.0906562495712564
2025/07/05/17:44:43.761892,1.092052512972852
2025/07/05/17:44:43.861935,1.092925177598849
2025/07/05/17:44:43.982667,1.0941469080752453
