time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:44:15.803643,7285,1751712255,773704960,base_link,0,1,-7.2870782,112.7959198,47.74515157356883,"(1.633284, 0.0, 0.0, 0.0, 1.633284, 0.0, 0.0, 0.0, 3.1152249999999997)",2
2025/07/05/17:44:15.923280,7286,1751712255,773712640,base_link,0,1,-7.2870782,112.7959198,47.74515157356883,"(1.633284, 0.0, 0.0, 0.0, 1.633284, 0.0, 0.0, 0.0, 3.1152249999999997)",2
2025/07/05/17:44:16.025854,7287,1751712255,973718272,base_link,0,1,-7.2870778,112.7959197,47.695152276607246,"(1.6205289999999997, 0.0, 0.0, 0.0, 1.6205289999999997, 0.0, 0.0, 0.0, 3.0800249999999996)",2
2025/07/05/17:44:16.103158,7288,1751712255,973725440,base_link,0,1,-7.2870778,112.7959197,47.695152276607246,"(1.6205289999999997, 0.0, 0.0, 0.0, 1.6205289999999997, 0.0, 0.0, 0.0, 3.0800249999999996)",2
2025/07/05/17:44:16.205559,7289,1751712256,173732864,base_link,0,1,-7.2870774,112.7959197,47.67515329186024,"(1.6078240000000001, 0.0, 0.0, 0.0, 1.6078240000000001, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:44:16.282215,7290,1751712256,173740544,base_link,0,1,-7.2870774,112.7959197,47.67515329186024,"(1.6078240000000001, 0.0, 0.0, 0.0, 1.6078240000000001, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:44:16.404620,7291,1751712256,173746688,base_link,0,1,-7.2870774,112.7959197,47.67515329186024,"(1.6078240000000001, 0.0, 0.0, 0.0, 1.6078240000000001, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:44:16.562655,7292,1751712256,373759744,base_link,0,1,-7.2870771,112.7959198,47.6551543655143,"(1.602756, 0.0, 0.0, 0.0, 1.602756, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:44:16.643332,7293,1751712256,573759744,base_link,0,1,-7.2870765,112.7959196,47.645155263973336,"(1.6002249999999998, 0.0, 0.0, 0.0, 1.6002249999999998, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:44:16.723603,7294,1751712256,573767680,base_link,0,1,-7.2870765,112.7959196,47.645155263973336,"(1.6002249999999998, 0.0, 0.0, 0.0, 1.6002249999999998, 0.0, 0.0, 0.0, 3.048516)",2
