time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:44:13.582618,7263,1751712253,578564160,,255,()
2025/07/05/17:44:13.684268,7264,1751712253,678573888,,255,()
2025/07/05/17:44:13.782982,7265,1751712253,778580032,,255,()
2025/07/05/17:44:13.863256,7266,1751712253,859580032,,255,()
2025/07/05/17:44:13.983212,7267,1751712253,979586944,,255,()
2025/07/05/17:44:14.063104,7268,1751712254,59592576,,255,()
2025/07/05/17:44:14.163247,7269,1751712254,159597184,,255,()
2025/07/05/17:44:14.282697,7270,1751712254,278604864,,255,()
2025/07/05/17:44:14.427711,7271,1751712254,422609728,,255,()
2025/07/05/17:44:14.582814,7272,1751712254,578623808,,255,()
2025/07/05/17:44:14.662666,7273,1751712254,658629696,,255,()
2025/07/05/17:44:14.742521,7274,1751712254,739629696,,255,()
2025/07/05/17:44:14.842558,7275,1751712254,838636352,,255,()
2025/07/05/17:44:14.942759,7276,1751712254,939642496,,255,()
2025/07/05/17:44:15.042909,7277,1751712255,38649152,,255,()
2025/07/05/17:44:15.142621,7278,1751712255,139655296,,255,()
2025/07/05/17:44:15.243758,7279,1751712255,238661184,,255,()
2025/07/05/17:44:15.344230,7280,1751712255,339667328,,255,()
2025/07/05/17:44:15.504472,7281,1751712255,500683200,,255,()
2025/07/05/17:44:15.605989,7282,1751712255,600688320,,255,()
2025/07/05/17:44:15.682997,7283,1751712255,678696768,,255,()
2025/07/05/17:44:15.782504,7284,1751712255,779704960,,255,()
2025/07/05/17:44:15.903764,7285,1751712255,900712640,,255,()
2025/07/05/17:44:16.004571,7286,1751712256,718272,,255,()
2025/07/05/17:44:16.103109,7287,1751712256,99725440,,255,()
2025/07/05/17:44:16.204911,7288,1751712256,200732864,,255,()
2025/07/05/17:44:16.282016,7289,1751712256,278740544,,255,()
2025/07/05/17:44:16.404603,7290,1751712256,400746688,,255,()
2025/07/05/17:44:16.544815,7291,1751712256,538753600,,255,()
2025/07/05/17:44:16.626506,7292,1751712256,622759744,,255,()
2025/07/05/17:44:16.705140,7293,1751712256,700767680,,255,()
2025/07/05/17:44:16.805855,7294,1751712256,800775872,,255,()
2025/07/05/17:44:16.922779,7295,1751712256,919782528,,255,()
2025/07/05/17:44:17.044479,7296,1751712257,38787904,,255,()
2025/07/05/17:44:17.143692,7297,1751712257,138794048,,255,()
2025/07/05/17:44:17.204168,7298,1751712257,200801728,,255,()
2025/07/05/17:44:17.283952,7299,1751712257,279808896,,255,()
2025/07/05/17:44:17.426320,7300,1751712257,423813760,,255,()
2025/07/05/17:44:17.582572,7301,1751712257,578826816,,255,()
2025/07/05/17:44:17.682870,7302,1751712257,678833728,,255,()
