time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:44:13.462805,7263,1751712253,462366972,,1751712253,240939000,fcu
2025/07/05/17:44:13.604445,7264,1751712253,604091734,,1751712253,382259000,fcu
2025/07/05/17:44:13.704289,7265,1751712253,703282377,,1751712253,481409000,fcu
2025/07/05/17:44:13.804168,7266,1751712253,803544040,,1751712253,582247000,fcu
2025/07/05/17:44:13.923576,7267,1751712253,923033196,,1751712253,701286000,fcu
2025/07/05/17:44:14.004501,7268,1751712254,4099237,,1751712253,782349000,fcu
2025/07/05/17:44:14.104120,7269,1751712254,103224073,,1751712253,881424000,fcu
2025/07/05/17:44:14.182688,7270,1751712254,181862575,,1751712253,960775000,fcu
2025/07/05/17:44:14.304163,7271,1751712254,303596447,,1751712254,81761000,fcu
2025/07/05/17:44:14.427724,7272,1751712254,427007252,,1751712254,204757000,fcu
2025/07/05/17:44:14.604020,7273,1751712254,603523991,,1751712254,382007000,fcu
2025/07/05/17:44:14.663039,7274,1751712254,662917543,,1751712254,441477000,fcu
2025/07/05/17:44:14.782618,7275,1751712254,782183664,,1751712254,560316000,fcu
2025/07/05/17:44:14.882915,7276,1751712254,882326666,,1751712254,660322000,fcu
2025/07/05/17:44:14.963589,7277,1751712254,962937927,,1751712254,741400000,fcu
2025/07/05/17:44:15.062737,7278,1751712255,62184457,,1751712254,841147000,fcu
2025/07/05/17:44:15.182215,7279,1751712255,182002023,,1751712254,960473000,fcu
2025/07/05/17:44:15.283819,7280,1751712255,282413757,,1751712255,60501000,fcu
2025/07/05/17:44:15.363148,7281,1751712255,362934536,,1751712255,141147000,fcu
2025/07/05/17:44:15.543751,7282,1751712255,542819234,,1751712255,320402000,fcu
2025/07/05/17:44:15.628314,7283,1751712255,625906096,,1751712255,404220000,fcu
2025/07/05/17:44:15.702769,7284,1751712255,702583942,,1751712255,481529000,fcu
2025/07/05/17:44:15.803888,7285,1751712255,803262042,,1751712255,582171000,fcu
2025/07/05/17:44:15.923402,7286,1751712255,922862434,,1751712255,701516000,fcu
2025/07/05/17:44:16.026020,7287,1751712256,25339638,,1751712255,803962000,fcu
2025/07/05/17:44:16.103281,7288,1751712256,102995434,,1751712255,881970000,fcu
2025/07/05/17:44:16.205803,7289,1751712256,204913595,,1751712255,982934000,fcu
2025/07/05/17:44:16.304058,7290,1751712256,303374843,,1751712256,81534000,fcu
2025/07/05/17:44:16.404778,7291,1751712256,404385215,,1751712256,182488000,fcu
2025/07/05/17:44:16.562776,7292,1751712256,561995307,,1751712256,340914000,fcu
2025/07/05/17:44:16.643524,7293,1751712256,642250996,,1751712256,420462000,fcu
2025/07/05/17:44:16.723874,7294,1751712256,723206952,,1751712256,501962000,fcu
2025/07/05/17:44:16.827934,7295,1751712256,826180895,,1751712256,604224000,fcu
2025/07/05/17:44:16.922916,7296,1751712256,922870895,,1751712256,701738000,fcu
2025/07/05/17:44:17.044796,7297,1751712257,43267791,,1751712256,820895000,fcu
2025/07/05/17:44:17.144058,7298,1751712257,143502554,,1751712256,920969000,fcu
2025/07/05/17:44:17.226054,7299,1751712257,225454259,,1751712257,4129000,fcu
2025/07/05/17:44:17.303029,7300,1751712257,302822022,,1751712257,81838000,fcu
2025/07/05/17:44:17.483323,7301,1751712257,483054450,,1751712257,260781000,fcu
2025/07/05/17:44:17.604820,7302,1751712257,604065311,,1751712257,382466000,fcu
2025/07/05/17:44:17.704338,7303,1751712257,703339245,,1751712257,481709000,fcu
2025/07/05/17:44:17.783081,7304,1751712257,782498790,,1751712257,560988000,fcu
2025/07/05/17:44:17.904207,7305,1751712257,903394468,,1751712257,681535000,fcu
2025/07/05/17:44:18.004704,7306,1751712258,4133343,,1751712257,782464000,fcu
2025/07/05/17:44:18.084276,7307,1751712258,83446022,,1751712257,860515000,fcu
2025/07/05/17:44:18.204266,7308,1751712258,203485940,,1751712257,981771000,fcu
2025/07/05/17:44:18.263337,7309,1751712258,262483238,,1751712258,41400000,fcu
2025/07/05/17:44:18.362398,7310,1751712258,361992641,,1751712258,141316000,fcu
2025/07/05/17:44:18.562974,7311,1751712258,562307396,,1751712258,340522000,fcu
2025/07/05/17:44:18.641630,7312,1751712258,641443359,,1751712258,420426000,fcu
2025/07/05/17:44:18.723922,7313,1751712258,723110383,,1751712258,501760000,fcu
2025/07/05/17:44:18.807060,7314,1751712258,803675822,,1751712258,582240000,fcu
2025/07/05/17:44:18.904275,7315,1751712258,903948508,,1751712258,682213000,fcu
2025/07/05/17:44:19.006147,7316,1751712259,4891800,,1751712258,782402000,fcu
2025/07/05/17:44:19.103154,7317,1751712259,102666017,,1751712258,881431000,fcu
2025/07/05/17:44:19.205586,7318,1751712259,203754586,,1751712258,982321000,fcu
2025/07/05/17:44:19.283163,7319,1751712259,282193933,,1751712259,61067000,fcu
2025/07/05/17:44:19.406231,7320,1751712259,404412331,,1751712259,182770000,fcu
2025/07/05/17:44:19.582446,7321,1751712259,581746683,,1751712259,361072000,fcu
2025/07/05/17:44:19.662928,7322,1751712259,662215491,,1751712259,441466000,fcu
2025/07/05/17:44:19.762436,7323,1751712259,761887778,,1751712259,541218000,fcu
2025/07/05/17:44:19.863698,7324,1751712259,862066289,,1751712259,640904000,fcu
2025/07/05/17:44:20.004767,7325,1751712260,3595863,,1751712259,782240000,fcu
2025/07/05/17:44:20.103999,7326,1751712260,103326930,,1751712259,881708000,fcu
2025/07/05/17:44:20.205268,7327,1751712260,204283594,,1751712259,982392000,fcu
2025/07/05/17:44:20.304170,7328,1751712260,303475105,,1751712260,81418000,fcu
2025/07/05/17:44:20.424892,7329,1751712260,423957397,,1751712260,201967000,fcu
2025/07/05/17:44:20.604547,7330,1751712260,603313812,,1751712260,381576000,fcu
2025/07/05/17:44:20.704010,7331,1751712260,703124626,,1751712260,481732000,fcu
2025/07/05/17:44:20.783483,7332,1751712260,782960861,,1751712260,560906000,fcu
2025/07/05/17:44:20.904258,7333,1751712260,903642500,,1751712260,681713000,fcu
2025/07/05/17:44:21.004779,7334,1751712261,4121112,,1751712260,782733000,fcu
2025/07/05/17:44:21.083638,7335,1751712261,82162054,,1751712260,860927000,fcu
2025/07/05/17:44:21.205935,7336,1751712261,203693906,,1751712260,982331000,fcu
2025/07/05/17:44:21.304054,7337,1751712261,303342901,,1751712261,81527000,fcu
2025/07/05/17:44:21.382438,7338,1751712261,382044923,,1751712261,160904000,fcu
2025/07/05/17:44:21.563062,7339,1751712261,562350976,,1751712261,341272000,fcu
2025/07/05/17:44:21.663899,7340,1751712261,662831801,,1751712261,441425000,fcu
2025/07/05/17:44:21.742457,7341,1751712261,741660996,,1751712261,520523000,fcu
2025/07/05/17:44:21.843139,7342,1751712261,841944471,,1751712261,620662000,fcu
2025/07/05/17:44:21.962507,7343,1751712261,961950766,,1751712261,741159000,fcu
2025/07/05/17:44:22.084558,7344,1751712262,82303153,,1751712261,860321000,fcu
2025/07/05/17:44:22.162541,7345,1751712262,161762676,,1751712261,940812000,fcu
2025/07/05/17:44:22.264103,7346,1751712262,262924902,,1751712262,41048000,fcu
2025/07/05/17:44:22.404983,7347,1751712262,404007110,,1751712262,182017000,fcu
2025/07/05/17:44:22.545474,7348,1751712262,541570551,,1751712262,320814000,fcu
2025/07/05/17:44:22.644169,7349,1751712262,642259855,,1751712262,420408000,fcu
2025/07/05/17:44:22.722985,7350,1751712262,722567420,,1751712262,501697000,fcu
2025/07/05/17:44:22.806037,7351,1751712262,805178435,,1751712262,582669000,fcu
2025/07/05/17:44:22.882002,7352,1751712262,881427525,,1751712262,660816000,fcu
2025/07/05/17:44:23.004850,7353,1751712263,4033955,,1751712262,782483000,fcu
2025/07/05/17:44:23.104555,7354,1751712263,103376191,,1751712262,881494000,fcu
2025/07/05/17:44:23.182769,7355,1751712263,182132714,,1751712262,960906000,fcu
2025/07/05/17:44:23.303530,7356,1751712263,303335725,,1751712263,81907000,fcu
2025/07/05/17:44:23.426473,7357,1751712263,425896426,,1751712263,204673000,fcu
2025/07/05/17:44:23.583589,7358,1751712263,582517942,,1751712263,360296000,fcu
2025/07/05/17:44:23.662938,7359,1751712263,662837355,,1751712263,441527000,fcu
2025/07/05/17:44:23.762837,7360,1751712263,762143025,,1751712263,541336000,fcu
2025/07/05/17:44:23.842169,7361,1751712263,841354526,,1751712263,620466000,fcu
2025/07/05/17:44:23.943377,7362,1751712263,942864014,,1751712263,720677000,fcu
2025/07/05/17:44:24.042182,7363,1751712264,41454402,,1751712263,820408000,fcu
2025/07/05/17:44:24.123135,7364,1751712264,122452832,,1751712263,901450000,fcu
2025/07/05/17:44:24.226640,7365,1751712264,226115089,,1751712264,4334000,fcu
2025/07/05/17:44:24.310576,7366,1751712264,303123092,,1751712264,82185000,fcu
2025/07/05/17:44:24.503988,7367,1751712264,503279774,,1751712264,281986000,fcu
2025/07/05/17:44:24.604426,7368,1751712264,603757143,,1751712264,382339000,fcu
2025/07/05/17:44:24.703558,7369,1751712264,702982551,,1751712264,481706000,fcu
2025/07/05/17:44:24.804706,7370,1751712264,803767775,,1751712264,582174000,fcu
2025/07/05/17:44:24.904636,7371,1751712264,903314411,,1751712264,682044000,fcu
2025/07/05/17:44:25.026002,7372,1751712265,25116388,,1751712264,804241000,fcu
2025/07/05/17:44:25.123894,7373,1751712265,123104423,,1751712264,901298000,fcu
2025/07/05/17:44:25.204899,7374,1751712265,203814903,,1751712264,982507000,fcu
2025/07/05/17:44:25.281869,7375,1751712265,281440549,,1751712265,60787000,fcu
2025/07/05/17:44:25.405321,7376,1751712265,404302938,,1751712265,182457000,fcu
