time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:44:13.563819,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.564490,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.565406,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.664779,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.665199,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.665887,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.763934,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.764186,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.764980,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.863987,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.864604,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.865438,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.983213,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.984216,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:13.984234,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.063636,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.064194,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.065360,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.163206,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.163832,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.164621,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.263951,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.264686,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.264777,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.364896,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:44:14.365279,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
