time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.magnetic_field.x,.magnetic_field.y,.magnetic_field.z,.magnetic_field_covariance
2025/07/05/17:44:13.305101,7261,1751712253,279543352,base_link,372000.0,-163999.99999999997,317000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:13.404401,7262,1751712253,401044544,base_link,392000.0,-151999.99999999997,327000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:13.582471,7263,1751712253,579137160,base_link,372000.0,-162999.99999999997,323000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:13.684217,7264,1751712253,679126888,base_link,384000.0,-153999.99999999997,320000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:13.782924,7265,1751712253,779454032,base_link,386000.0,-162999.99999999997,318000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:13.882385,7266,1751712253,879093032,base_link,376000.0,-164999.99999999997,317000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:14.004153,7267,1751712254,650944,base_link,387000.0,-166999.99999999997,308000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:14.082322,7268,1751712254,79417576,base_link,387000.0,-166999.99999999997,308000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:14.182552,7269,1751712254,178971184,base_link,389000.0,-165999.99999999997,298000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:44:14.282626,7270,1751712254,279683864,base_link,403000.0,-163999.99999999997,276000.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
