time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:44:13.462731,7757,1751712253,462263881,,2627174472000,1751709626284917293,1751709626281556736,5.745272159576416
2025/07/05/17:44:13.562964,7758,1751712253,562259850,,2627274784000,1751709626284610986,1751709626281564160,5.724890232086182
2025/07/05/17:44:13.663994,7759,1751712253,663205761,,2627374521000,1751709626285419455,1751709626281573888,6.525835037231445
2025/07/05/17:44:13.763073,7760,1751712253,762209287,,2627475321000,1751709626284155414,1751709626281580032,5.460805892944336
2025/07/05/17:44:13.882225,7761,1751712253,881948352,,2627595284000,1751709626274607997,1751709626281580032,24.107013702392578
2025/07/05/17:44:13.962305,7762,1751712253,961968608,,2627674829000,1751709626284432860,1751709626281586944,5.4094672203063965
2025/07/05/17:44:14.062436,7763,1751712254,61938549,,2627775241000,1751709626284042385,1751709626281592576,5.305586814880371
2025/07/05/17:44:14.162240,7764,1751712254,161772258,,2627875454000,1751709626283728009,1751709626281597184,5.17646598815918
2025/07/05/17:44:14.262830,7765,1751712254,262061641,,2627974551000,1751709626284784332,1751709626281604864,5.448709964752197
2025/07/05/17:44:14.363219,7766,1751712254,361992039,,2628075463000,1751709626283809861,1751709626281609728,5.431850910186768
2025/07/05/17:44:14.464209,7767,1751712254,462957274,,2628175117000,1751709626284650289,1751709626281617152,6.3492350578308105
2025/07/05/17:44:14.562931,7768,1751712254,562246397,,2628275120000,1751709626284376161,1751709626281623808,5.495573997497559
2025/07/05/17:44:14.662710,7769,1751712254,662274594,,2628375263000,1751709626284113697,1751709626281629696,5.7920241355896
2025/07/05/17:44:14.762880,7770,1751712254,762191230,,2628475019000,1751709626284366379,1751709626281636352,5.606204986572266
2025/07/05/17:44:14.862967,7771,1751712254,862317261,,2628575273000,1751709626284190440,1751709626281642496,5.702427864074707
2025/07/05/17:44:14.963459,7772,1751712254,962388383,,2628675087000,1751709626284368709,1751709626281649152,5.86060905456543
2025/07/05/17:44:15.062605,7773,1751712255,62040360,,2628775104000,1751709626284175566,1751709626281655296,5.515583038330078
2025/07/05/17:44:15.163797,7774,1751712255,162146091,,2628875238000,1751709626284097637,1751709626281661184,5.604481220245361
2025/07/05/17:44:15.262438,7775,1751712255,262073812,,2628975066000,1751709626284208761,1751709626281667328,5.595024108886719
2025/07/05/17:44:15.362662,7776,1751712255,361945922,,2629075074000,1751709626284149427,1751709626281673216,5.441062927246094
2025/07/05/17:44:15.463592,7777,1751712255,463172277,,2629174496000,1751709626285464296,1751709626281683200,6.41945219039917
2025/07/05/17:44:15.562449,7778,1751712255,562107415,,2629275466000,1751709626283858887,1751709626281688320,5.560029983520508
2025/07/05/17:44:15.663354,7779,1751712255,662293933,,2629374567000,1751709626284978167,1751709626281696768,5.4747209548950195
2025/07/05/17:44:15.762422,7780,1751712255,761989048,,2629474468000,1751709626284870708,1751709626281704960,5.295053005218506
2025/07/05/17:44:15.862360,7781,1751712255,862055711,,2629574609000,1751709626284736197,1751709626281712640,5.416421890258789
2025/07/05/17:44:15.962423,7782,1751712255,962015265,,2629675238000,1751709626284064956,1751709626281718272,5.420587062835693
2025/07/05/17:44:16.062694,7783,1751712256,62156052,,2629774788000,1751709626284555942,1751709626281725440,5.619397163391113
2025/07/05/17:44:16.162546,7784,1751712256,162097558,,2629874717000,1751709626284649123,1751709626281732864,5.454936981201172
2025/07/05/17:44:16.262446,7785,1751712256,261796722,,2629974468000,1751709626284741218,1751709626281740544,5.171114921569824
2025/07/05/17:44:16.362803,7786,1751712256,362336304,,2630075291000,1751709626284169068,1751709626281746688,5.7467169761657715
2025/07/05/17:44:16.463056,7787,1751712256,462312526,,2630175049000,1751709626284408117,1751709626281753600,5.70595121383667
2025/07/05/17:44:16.562768,7788,1751712256,561905364,,2630275103000,1751709626284139316,1751709626281759744,5.321418762207031
2025/07/05/17:44:16.663543,7789,1751712256,663188286,,2630375295000,1751709626284677248,1751709626281767680,6.429093837738037
2025/07/05/17:44:16.762603,7790,1751712256,762155823,,2630474464000,1751709626284910218,1751709626281775872,5.557590961456299
2025/07/05/17:44:16.862196,7791,1751712256,861946119,,2630574921000,1751709626284383724,1751709626281782528,5.279263019561768
2025/07/05/17:44:16.962399,7792,1751712256,962117840,,2630675452000,1751709626283926511,1751709626281787904,5.469635963439941
