time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:44:13.305123,7261,1751712253,299540352,base_link,68.44,0.0
2025/07/05/17:44:13.404414,7262,1751712253,400548544,base_link,68.44,0.0
2025/07/05/17:44:13.582994,7263,1751712253,578564160,base_link,68.44,0.0
2025/07/05/17:44:13.684226,7264,1751712253,678573888,base_link,68.44,0.0
2025/07/05/17:44:13.782986,7265,1751712253,779580032,base_link,68.44,0.0
2025/07/05/17:44:13.882387,7266,1751712253,879580032,base_link,68.45,0.0
2025/07/05/17:44:14.004205,7267,1751712254,586944,base_link,68.44,0.0
2025/07/05/17:44:14.082539,7268,1751712254,78592576,base_link,68.44,0.0
2025/07/05/17:44:14.182565,7269,1751712254,178597184,base_link,68.45,0.0
2025/07/05/17:44:14.304019,7270,1751712254,299604864,base_link,68.45,0.0
2025/07/05/17:44:14.427639,7271,1751712254,422609728,base_link,68.45,0.0
2025/07/05/17:44:14.582543,7272,1751712254,578623808,base_link,68.44,0.0
2025/07/05/17:44:14.662758,7273,1751712254,659629696,base_link,68.45,0.0
2025/07/05/17:44:14.763126,7274,1751712254,758636352,base_link,68.45,0.0
2025/07/05/17:44:14.863048,7275,1751712254,859642496,base_link,68.44,0.0
2025/07/05/17:44:14.963432,7276,1751712254,959649152,base_link,68.45,0.0
2025/07/05/17:44:15.062680,7277,1751712255,58655296,base_link,68.45,0.0
2025/07/05/17:44:15.164021,7278,1751712255,159661184,base_link,68.45,0.0
2025/07/05/17:44:15.262486,7279,1751712255,258667328,base_link,68.45,0.0
2025/07/05/17:44:15.362544,7280,1751712255,358673216,base_link,68.45,0.0
2025/07/05/17:44:15.523922,7281,1751712255,519683200,base_link,68.45,0.0
2025/07/05/17:44:15.605911,7282,1751712255,600688320,base_link,68.45,0.0
2025/07/05/17:44:15.702707,7283,1751712255,699696768,base_link,68.45,0.0
2025/07/05/17:44:15.803422,7284,1751712255,799704960,base_link,68.45,0.0
2025/07/05/17:44:15.923354,7285,1751712255,919712640,base_link,68.45,0.0
2025/07/05/17:44:16.004487,7286,1751712256,718272,base_link,68.45,0.0
2025/07/05/17:44:16.103219,7287,1751712256,99725440,base_link,68.45,0.0
2025/07/05/17:44:16.205730,7288,1751712256,200732864,base_link,68.45,0.0
2025/07/05/17:44:16.282088,7289,1751712256,278740544,base_link,68.45,0.0
2025/07/05/17:44:16.404497,7290,1751712256,400746688,base_link,68.45,0.0
2025/07/05/17:44:16.562731,7291,1751712256,558759744,base_link,68.45,0.0
2025/07/05/17:44:16.626541,7292,1751712256,622759744,base_link,68.45,0.0
2025/07/05/17:44:16.723862,7293,1751712256,719767680,base_link,68.45,0.0
2025/07/05/17:44:16.805865,7294,1751712256,800775872,base_link,68.46,0.0
2025/07/05/17:44:16.922822,7295,1751712256,919782528,base_link,68.45,0.0
