time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.sensors_present,.sensors_enabled,.sensors_health,.load,.voltage_battery,.current_battery,.battery_remaining,.drop_rate_comm,.errors_comm,.errors_count1,.errors_count2,.errors_count3,.errors_count4
2025/07/05/17:44:13.563069,7263,1751712253,562403600,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:13.663860,7264,1751712253,663298638,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:13.763172,7265,1751712253,762343265,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:13.863243,7266,1751712253,862042645,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:13.982274,7267,1751712253,981834364,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.062740,7268,1751712254,62078821,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.162386,7269,1751712254,161924702,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.262819,7270,1751712254,262157639,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.364721,7271,1751712254,363870453,,321969199,52461615,36733231,168,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.563062,7272,1751712254,562385120,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.642919,7273,1751712254,642268518,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.742417,7274,1751712254,741959919,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.842609,7275,1751712254,841973059,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:14.942735,7276,1751712254,941895433,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.042689,7277,1751712255,41962633,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.142583,7278,1751712255,142091577,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.243686,7279,1751712255,242314128,,321969199,52461615,36733231,180,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.344161,7280,1751712255,342222757,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.504070,7281,1751712255,503602610,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.606040,7282,1751712255,604837808,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.682923,7283,1751712255,682422129,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.782451,7284,1751712255,781874216,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:15.903700,7285,1751712255,902867025,,321969199,52461615,36733231,169,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.004172,7286,1751712256,3624905,,321969199,52461615,53510447,167,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.083743,7287,1751712256,83064942,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.182704,7288,1751712256,182083379,,321969199,52461615,36733231,168,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.262510,7289,1751712256,261964061,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.363060,7290,1751712256,362495037,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.544924,7291,1751712256,541820215,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.626358,7292,1751712256,625591007,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.704524,7293,1751712256,703354333,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.805487,7294,1751712256,804249270,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:16.883242,7295,1751712256,882615853,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.026170,7296,1751712257,25399213,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.124029,7297,1751712257,123202768,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.203630,7298,1751712257,203471646,,321969199,52461615,36733231,171,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.284069,7299,1751712257,282254316,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.426388,7300,1751712257,425781467,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.582508,7301,1751712257,581956250,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.663739,7302,1751712257,663091884,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.763246,7303,1751712257,762022950,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.863007,7304,1751712257,862349063,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:17.984268,7305,1751712257,983409800,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:44:18.062762,7306,1751712258,61986973,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
