time,.server_id,.seq_num,.type,.markers,.poses,.erases
2025/07/05/17:49:31.803642,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:32.201999,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:32.719597,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:33.226831,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453450,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453514,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453538,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453550,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453569,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453590,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453611,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.453623,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:37.821289,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:38.245221,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:38.750918,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:39.209510,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:39.737280,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:40.202842,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:40.714080,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:41.226319,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:41.707567,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:42.218617,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:42.730422,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:43.210037,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:43.722566,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:44.201443,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:44.716094,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:45.226776,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:45.707725,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:46.217601,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:46.730659,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:47.212127,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:47.724702,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:48.204596,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:48.714676,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:49.226072,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:49.705374,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:50.217699,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:50.730495,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:51.212011,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:51.724152,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:52.208596,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:52.713984,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:53.227907,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:53.707418,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:54.220211,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:49:54.737992,/waypoint_nav_plugin,7,0,[],[],[]
