time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.param_id,.value.integer,.value.real,.param_index,.param_count
2025/07/05/17:49:50.493508,943,1751712590,493226809,,STAT_RUNTIME,506878,0.0,517,907
2025/07/05/17:50:21.491263,944,1751712621,490939765,,STAT_RUNTIME,506909,0.0,517,907
