time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:49:31.150757,10279,1751712571,160147008,,255,()
2025/07/05/17:49:31.234116,10280,1751712571,244147008,,255,()
2025/07/05/17:49:31.350937,10281,1751712571,360147008,,255,()
2025/07/05/17:49:31.511225,10282,1751712571,521147008,,255,()
2025/07/05/17:49:31.592066,10283,1751712571,601147008,,255,()
2025/07/05/17:49:31.672260,10284,1751712571,681147008,,255,()
2025/07/05/17:49:31.771781,10285,1751712571,781147008,,255,()
2025/07/05/17:49:31.851274,10286,1751712571,861147008,,255,()
2025/07/05/17:49:31.992121,10287,1751712572,2147008,,255,()
2025/07/05/17:49:32.051364,10288,1751712572,60147008,,255,()
2025/07/05/17:49:32.150997,10289,1751712572,161147008,,255,()
2025/07/05/17:49:32.272147,10290,1751712572,280147008,,255,()
2025/07/05/17:49:32.350888,10291,1751712572,360147008,,255,()
2025/07/05/17:49:32.531234,10292,1751712572,540147008,,255,()
2025/07/05/17:49:32.633820,10293,1751712572,643147008,,255,()
2025/07/05/17:49:32.731314,10294,1751712572,741147008,,255,()
2025/07/05/17:49:32.834702,10295,1751712572,843147008,,255,()
2025/07/05/17:49:32.952856,10296,1751712572,960147008,,255,()
2025/07/05/17:49:33.033828,10297,1751712573,44147008,,255,()
2025/07/05/17:49:33.131594,10298,1751712573,140147008,,255,()
2025/07/05/17:49:33.234122,10299,1751712573,243147008,,255,()
2025/07/05/17:49:33.331496,10300,1751712573,341147008,,255,()
2025/07/05/17:49:33.513008,10301,1751712573,522147008,,255,()
2025/07/05/17:49:33.593070,10302,1751712573,602147008,,255,()
2025/07/05/17:49:33.672025,10303,1751712573,681147008,,255,()
2025/07/05/17:49:33.792329,10304,1751712573,801147008,,255,()
2025/07/05/17:49:33.851502,10305,1751712573,861147008,,255,()
2025/07/05/17:49:33.951272,10306,1751712573,961147008,,255,()
2025/07/05/17:49:34.051133,10307,1751712574,60147008,,255,()
2025/07/05/17:49:34.151659,10308,1751712574,161147008,,255,()
2025/07/05/17:49:34.251470,10309,1751712574,261147008,,255,()
2025/07/05/17:49:34.392339,10310,1751712574,401147008,,255,()
2025/07/05/17:49:34.571635,10311,1751712574,580147008,,255,()
2025/07/05/17:49:34.651309,10312,1751712574,661147008,,255,()
2025/07/05/17:49:34.751434,10313,1751712574,760147008,,255,()
2025/07/05/17:49:34.851635,10314,1751712574,861147008,,255,()
2025/07/05/17:49:34.992097,10315,1751712575,1147008,,255,()
2025/07/05/17:49:35.051469,10316,1751712575,61147008,,255,()
2025/07/05/17:49:35.151328,10317,1751712575,160147008,,255,()
2025/07/05/17:49:35.251508,10318,1751712575,261147008,,255,()
2025/07/05/17:49:35.331358,10319,1751712575,341147008,,255,()
2025/07/05/17:49:35.511517,10320,1751712575,521147008,,255,()
2025/07/05/17:49:35.592294,10321,1751712575,602147008,,255,()
2025/07/05/17:49:35.672184,10322,1751712575,681147008,,255,()
2025/07/05/17:49:35.751292,10323,1751712575,761147008,,255,()
2025/07/05/17:49:35.851087,10324,1751712575,860147008,,255,()
2025/07/05/17:49:35.991581,10325,1751712576,1147008,,255,()
2025/07/05/17:49:36.051162,10326,1751712576,60147008,,255,()
2025/07/05/17:49:36.131371,10327,1751712576,141147008,,255,()
2025/07/05/17:49:36.231632,10328,1751712576,241147008,,255,()
2025/07/05/17:49:36.331340,10329,1751712576,341147008,,255,()
2025/07/05/17:49:36.531519,10330,1751712576,540147008,,255,()
2025/07/05/17:49:36.634009,10331,1751712576,644147008,,255,()
2025/07/05/17:49:36.712079,10332,1751712576,721147008,,255,()
2025/07/05/17:49:36.812796,10333,1751712576,822147008,,255,()
2025/07/05/17:49:36.911747,10334,1751712576,921147008,,255,()
2025/07/05/17:49:37.012233,10335,1751712577,22147008,,255,()
2025/07/05/17:49:37.130825,10336,1751712577,140147008,,255,()
2025/07/05/17:49:37.212323,10337,1751712577,222147008,,255,()
2025/07/05/17:49:37.292443,10338,1751712577,302147008,,255,()
2025/07/05/17:49:37.393187,10339,1751712577,402147008,,255,()
2025/07/05/17:49:37.551247,10340,1751712577,560147008,,255,()
2025/07/05/17:49:37.631650,10341,1751712577,640147008,,255,()
2025/07/05/17:49:37.731273,10342,1751712577,741147008,,255,()
2025/07/05/17:49:37.831218,10343,1751712577,840147008,,255,()
2025/07/05/17:49:37.971130,10344,1751712577,980147008,,255,()
2025/07/05/17:49:38.034219,10345,1751712578,44147008,,255,()
2025/07/05/17:49:38.131284,10346,1751712578,141147008,,255,()
2025/07/05/17:49:38.231174,10347,1751712578,240147008,,255,()
2025/07/05/17:49:38.331028,10348,1751712578,341147008,,255,()
2025/07/05/17:49:38.512127,10349,1751712578,521147008,,255,()
2025/07/05/17:49:38.615423,10350,1751712578,624147008,,255,()
2025/07/05/17:49:38.692343,10351,1751712578,702147008,,255,()
2025/07/05/17:49:38.793563,10352,1751712578,802147008,,255,()
2025/07/05/17:49:38.891678,10353,1751712578,901147008,,255,()
2025/07/05/17:49:38.993407,10354,1751712579,2147008,,255,()
2025/07/05/17:49:39.092002,10355,1751712579,101147008,,255,()
2025/07/05/17:49:39.192477,10356,1751712579,201147008,,255,()
2025/07/05/17:49:39.291646,10357,1751712579,301147008,,255,()
2025/07/05/17:49:39.371665,10358,1751712579,381147008,,255,()
2025/07/05/17:49:39.551207,10359,1751712579,560147008,,255,()
2025/07/05/17:49:39.651545,10360,1751712579,660147008,,255,()
2025/07/05/17:49:39.731250,10361,1751712579,740147008,,255,()
2025/07/05/17:49:39.834064,10362,1751712579,843147008,,255,()
