time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.connected,.armed,.guided,.manual_input,.mode,.system_status
2025/07/05/17:49:31.116835,1098,1751712570,491838195,,True,True,False,False,HOLD,5
2025/07/05/17:49:31.492821,1099,1751712571,492156609,,True,True,False,False,HOLD,5
2025/07/05/17:49:32.471845,1100,1751712572,471173911,,True,True,False,False,HOLD,5
2025/07/05/17:49:33.492583,1101,1751712573,492174563,,True,True,False,False,HOLD,5
2025/07/05/17:49:34.512895,1102,1751712574,512289113,,True,True,False,False,HOLD,5
2025/07/05/17:49:35.471756,1103,1751712575,471199989,,True,True,False,False,HOLD,5
2025/07/05/17:49:36.493018,1104,1751712576,492207753,,True,True,False,False,HOLD,5
2025/07/05/17:49:37.511633,1105,1751712577,511041682,,True,True,False,False,HOLD,5
2025/07/05/17:49:38.471716,1106,1751712578,471229067,,True,True,False,False,HOLD,5
2025/07/05/17:49:39.492830,1107,1751712579,492170870,,True,True,False,False,HOLD,5
2025/07/05/17:49:40.492818,1108,1751712580,492130819,,True,True,False,False,HOLD,5
2025/07/05/17:49:41.471067,1109,1751712581,470310353,,True,True,False,False,HOLD,5
2025/07/05/17:49:42.492496,1110,1751712582,492066681,,True,True,False,False,HOLD,5
2025/07/05/17:49:43.492555,1111,1751712583,492083329,,True,True,False,False,HOLD,5
2025/07/05/17:49:44.470876,1112,1751712584,470206678,,True,True,False,False,HOLD,5
2025/07/05/17:49:45.492455,1113,1751712585,492039736,,True,True,False,False,HOLD,5
2025/07/05/17:49:46.492515,1114,1751712586,492124695,,True,True,False,False,HOLD,5
2025/07/05/17:49:47.470695,1115,1751712587,470176898,,True,True,False,False,HOLD,5
2025/07/05/17:49:48.492479,1116,1751712588,491996539,,True,True,False,False,HOLD,5
2025/07/05/17:49:49.512418,1117,1751712589,510675630,,True,True,False,False,HOLD,5
2025/07/05/17:49:50.471526,1118,1751712590,471119807,,True,True,False,False,HOLD,5
2025/07/05/17:49:51.491983,1119,1751712591,491092120,,True,True,False,False,HOLD,5
2025/07/05/17:49:52.511555,1120,1751712592,511083248,,True,True,False,False,HOLD,5
2025/07/05/17:49:53.470813,1121,1751712593,470146991,,True,True,False,False,HOLD,5
2025/07/05/17:49:54.471294,1122,1751712594,471067329,,True,True,False,False,HOLD,5
2025/07/05/17:49:55.511172,1123,1751712595,510719676,,True,True,False,False,HOLD,5
2025/07/05/17:49:56.470872,1124,1751712596,470244807,,True,True,False,False,HOLD,5
2025/07/05/17:49:57.491642,1125,1751712597,490989602,,True,True,False,False,HOLD,5
2025/07/05/17:49:58.492082,1126,1751712598,491271898,,True,True,False,False,HOLD,5
2025/07/05/17:49:59.471241,1127,1751712599,470309107,,True,True,False,False,HOLD,5
2025/07/05/17:50:00.491821,1128,1751712600,491183703,,True,True,False,False,HOLD,5
2025/07/05/17:50:01.492598,1129,1751712601,492069806,,True,True,False,False,HOLD,5
2025/07/05/17:50:02.470767,1130,1751712602,470064638,,True,True,False,False,HOLD,5
2025/07/05/17:50:03.490858,1131,1751712603,490447579,,True,True,False,False,HOLD,5
2025/07/05/17:50:04.491539,1132,1751712604,490944432,,True,True,False,False,HOLD,5
2025/07/05/17:50:05.470818,1133,1751712605,470256028,,True,True,False,False,HOLD,5
2025/07/05/17:50:06.491714,1134,1751712606,491114737,,True,True,False,False,HOLD,5
2025/07/05/17:50:07.510838,1135,1751712607,510297951,,True,True,False,False,HOLD,5
2025/07/05/17:50:08.470725,1136,1751712608,470295659,,True,True,False,False,HOLD,5
2025/07/05/17:50:09.491025,1137,1751712609,490463836,,True,True,False,False,HOLD,5
2025/07/05/17:50:10.470507,1138,1751712610,470156911,,True,True,False,False,HOLD,5
2025/07/05/17:50:11.470473,1139,1751712611,470147425,,True,True,False,False,HOLD,5
2025/07/05/17:50:12.490930,1140,1751712612,490421189,,True,True,False,False,HOLD,5
2025/07/05/17:50:13.510617,1141,1751712613,510231342,,True,True,False,False,HOLD,5
2025/07/05/17:50:14.469943,1142,1751712614,469264442,,True,True,False,False,HOLD,5
2025/07/05/17:50:15.490947,1143,1751712615,490214597,,True,True,False,False,HOLD,5
2025/07/05/17:50:16.491153,1144,1751712616,490754445,,True,True,False,False,HOLD,5
2025/07/05/17:50:17.470068,1145,1751712617,469199280,,True,True,False,False,HOLD,5
2025/07/05/17:50:18.490656,1146,1751712618,490286528,,True,True,False,False,HOLD,5
2025/07/05/17:50:19.491276,1147,1751712619,490906854,,True,True,False,False,HOLD,5
2025/07/05/17:50:20.470126,1148,1751712620,469284861,,True,True,False,False,HOLD,5
2025/07/05/17:50:21.490681,1149,1751712621,490221964,,True,True,False,False,HOLD,5
2025/07/05/17:50:22.491187,1150,1751712622,490291150,,True,True,False,False,HOLD,5
2025/07/05/17:50:23.470670,1151,1751712623,470295978,,True,True,False,False,HOLD,5
2025/07/05/17:50:24.490278,1152,1751712624,489761974,,True,True,False,False,HOLD,5
2025/07/05/17:50:25.490941,1153,1751712625,490175592,,True,True,False,False,HOLD,5
