time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.sensors_present,.sensors_enabled,.sensors_health,.load,.voltage_battery,.current_battery,.battery_remaining,.drop_rate_comm,.errors_comm,.errors_count1,.errors_count2,.errors_count3,.errors_count4
2025/07/05/17:49:31.131671,10279,1751712571,131099754,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.234102,10280,1751712571,233350909,,321969199,52461615,53510447,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.332067,10281,1751712571,331455616,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.492858,10282,1751712571,492272504,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.591916,10283,1751712571,591266508,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.672223,10284,1751712571,671585907,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.752049,10285,1751712571,751271830,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.851326,10286,1751712571,850790791,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:31.972296,10287,1751712571,972026663,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.051289,10288,1751712572,50764781,,321969199,52461615,36733231,181,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.150990,10289,1751712572,150566085,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.251725,10290,1751712572,251140150,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.350586,10291,1751712572,350290078,,321969199,52461615,36733231,170,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.513085,10292,1751712572,512253485,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.633405,10293,1751712572,633258923,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.731223,10294,1751712572,730569336,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.834515,10295,1751712572,833457223,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:32.931747,10296,1751712572,931487633,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.033625,10297,1751712573,33150496,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.131483,10298,1751712573,130500245,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.234037,10299,1751712573,233402428,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.331331,10300,1751712573,330512855,,321969199,52461615,36733231,175,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.492886,10301,1751712573,492530113,,321969199,52461615,36733231,179,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.592941,10302,1751712573,592342703,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.671771,10303,1751712573,671062537,,321969199,52461615,36733231,182,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.772042,10304,1751712573,771251424,,321969199,52461615,36733231,177,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.851392,10305,1751712573,850502565,,321969199,52461615,36733231,181,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:33.951416,10306,1751712573,950772465,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.050979,10307,1751712574,50489257,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.151638,10308,1751712574,150493760,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.251276,10309,1751712574,250670267,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.352201,10310,1751712574,351176033,,321969199,52461615,36733231,172,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.552013,10311,1751712574,551255140,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.651154,10312,1751712574,650406517,,321969199,52461615,36733231,180,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.751247,10313,1751712574,750421352,,321969199,52461615,36733231,174,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.851562,10314,1751712574,850494538,,321969199,52461615,36733231,176,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:34.971968,10315,1751712574,971175757,,321969199,52461615,36733231,173,0,-1,-1,0,0,0,0,0,0
2025/07/05/17:49:35.051242,10316,1751712575,50601281,,321969199,52461615,36733231,178,0,-1,-1,0,0,0,0,0,0
