time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2025/07/05/17:49:31.131677,10279,1751712571,131154464,,0.25,0.1939730942249298,161,0.0,24.60999870300293,0.0028529916889965534
2025/07/05/17:49:31.234101,10280,1751712571,233487675,,0.1730000078678131,0.19187137484550476,161,0.0,24.60999870300293,-0.00010150460002478212
2025/07/05/17:49:31.332078,10281,1751712571,331524741,,0.1730000078678131,0.18814076483249664,161,0.0,24.600000381469727,0.0003010598593391478
2025/07/05/17:49:31.511638,10282,1751712571,510863497,,0.21000000834465027,0.18219709396362305,160,0.0,24.60999870300293,0.0071843285113573074
2025/07/05/17:49:31.592038,10283,1751712571,591470056,,0.21000000834465027,0.178991436958313,159,0.0,24.60999870300293,0.007780029904097319
2025/07/05/17:49:31.672254,10284,1751712571,671655667,,0.2670000195503235,0.17689505219459534,159,0.0,24.60999870300293,0.006156538613140583
2025/07/05/17:49:31.752155,10285,1751712571,751476230,,0.2670000195503235,0.17492328584194183,159,0.0,24.60999870300293,0.0035689668729901314
2025/07/05/17:49:31.851345,10286,1751712571,850858410,,0.2550000250339508,0.17250962555408478,158,0.0,24.60999870300293,0.0014020137023180723
2025/07/05/17:49:31.972303,10287,1751712571,972074985,,0.2550000250339508,0.1708797961473465,158,0.0,24.60999870300293,0.0035667952615767717
2025/07/05/17:49:32.051294,10288,1751712572,50855656,,0.2720000147819519,0.1704912930727005,157,0.0,24.60999870300293,0.0044867233373224735
2025/07/05/17:49:32.150993,10289,1751712572,150586294,,0.2720000147819519,0.1719009429216385,157,0.0,24.60999870300293,0.0053376262076199055
2025/07/05/17:49:32.271686,10290,1751712572,271032598,,0.3020000159740448,0.17537082731723785,157,0.0,24.60999870300293,0.0027472772635519505
2025/07/05/17:49:32.350621,10291,1751712572,350321653,,0.3020000159740448,0.17717254161834717,156,0.0,24.60999870300293,0.0008446392603218555
2025/07/05/17:49:32.531045,10292,1751712572,530430668,,0.3100000023841858,0.18245624005794525,156,0.0,24.600000381469727,0.002306942129507661
2025/07/05/17:49:32.633452,10293,1751712572,633361656,,0.2070000171661377,0.18438048660755157,155,0.0,24.600000381469727,0.0025790559593588114
2025/07/05/17:49:32.731261,10294,1751712572,730614556,,0.2070000171661377,0.18550431728363037,155,0.0,24.600000381469727,0.0017415181500837207
2025/07/05/17:49:32.834582,10295,1751712572,833496147,,0.3320000171661377,0.18665340542793274,155,0.0,24.600000381469727,-0.0008669588714838028
