time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:49:33.331064,9756,1751712573,340147008,base_link,0,1,-7.2871518,112.7959373,53.84501943238541,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.492682,9757,1751712573,501147008,base_link,0,1,-7.2871521,112.7959375,53.855019295555714,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.592737,9758,1751712573,602147008,base_link,0,1,-7.2871524,112.7959376,53.855018846547644,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.671475,9759,1751712573,680147008,base_link,0,1,-7.2871526,112.7959378,53.85501896344787,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.771800,9760,1751712573,780147008,base_link,0,1,-7.2871529,112.795938,53.8650188266197,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.851283,9761,1751712573,860147008,base_link,0,1,-7.2871532,112.7959382,53.86501868979194,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.950983,9762,1751712573,960147008,base_link,0,1,-7.2871536,112.7959384,53.865018299237036,"(1.708249, 0.0, 0.0, 0.0, 1.708249, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:34.050794,9763,1751712574,60147008,base_link,0,1,-7.287154,112.7959387,53.86501822086139,"(1.708249, 0.0, 0.0, 0.0, 1.708249, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:34.151113,9764,1751712574,160147008,base_link,0,1,-7.2871544,112.795939,53.86501814248656,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:34.251109,9765,1751712574,260147008,base_link,0,1,-7.2871548,112.7959392,53.86501775193487,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:34.351688,9766,1751712574,360147008,base_link,0,1,-7.2871553,112.7959395,53.86501741983564,"(1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 3.968064)",2
2025/07/05/17:49:34.551792,9767,1751712574,560147008,base_link,0,1,-7.2871562,112.7959403,53.86501763372085,"(1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 3.968064)",2
2025/07/05/17:49:34.651011,9768,1751712574,660147008,base_link,0,1,-7.2871567,112.7959407,53.86501761380198,"(1.6770249999999998, 0.0, 0.0, 0.0, 1.6770249999999998, 0.0, 0.0, 0.0, 3.9204)",2
2025/07/05/17:49:34.751033,9769,1751712574,760147008,base_link,0,1,-7.2871571,112.7959411,53.8650178476086,"(1.6641000000000001, 0.0, 0.0, 0.0, 1.6641000000000001, 0.0, 0.0, 0.0, 3.873024)",2
2025/07/05/17:49:34.851237,9770,1751712574,860147008,base_link,0,1,-7.2871576,112.7959415,53.87501782769135,"(1.6641000000000001, 0.0, 0.0, 0.0, 1.6641000000000001, 0.0, 0.0, 0.0, 3.873024)",2
2025/07/05/17:49:34.971761,9771,1751712574,980147008,base_link,0,1,-7.2871582,112.795942,53.87501786622727,"(1.640961, 0.0, 0.0, 0.0, 1.640961, 0.0, 0.0, 0.0, 3.825936)",2
2025/07/05/17:49:35.051035,9772,1751712575,60147008,base_link,0,1,-7.2871586,112.7959424,53.875018100035476,"(1.640961, 0.0, 0.0, 0.0, 1.640961, 0.0, 0.0, 0.0, 3.825936)",2
2025/07/05/17:49:35.151074,9773,1751712575,160147008,base_link,0,1,-7.287159,112.7959428,53.87501833384388,"(1.6256249999999999, 0.0, 0.0, 0.0, 1.6256249999999999, 0.0, 0.0, 0.0, 3.779136)",2
2025/07/05/17:49:35.251243,9774,1751712575,260147008,base_link,0,1,-7.2871594,112.7959434,53.88501919200198,"(1.6256249999999999, 0.0, 0.0, 0.0, 1.6256249999999999, 0.0, 0.0, 0.0, 3.779136)",2
2025/07/05/17:49:35.330754,9775,1751712575,340147008,base_link,0,1,-7.2871597,112.7959438,53.89501967953275,"(1.6103609999999997, 0.0, 0.0, 0.0, 1.6103609999999997, 0.0, 0.0, 0.0, 3.7249)",2
2025/07/05/17:49:35.471630,9776,1751712575,480147008,base_link,0,1,-7.2871603,112.7959447,53.90502096676749,"(1.6103609999999997, 0.0, 0.0, 0.0, 1.6103609999999997, 0.0, 0.0, 0.0, 3.7249)",2
2025/07/05/17:49:35.592071,9777,1751712575,601147008,base_link,0,1,-7.2871608,112.7959455,53.91502219554826,"(1.5901209999999997, 0.0, 0.0, 0.0, 1.5901209999999997, 0.0, 0.0, 0.0, 3.6979290000000002)",2
2025/07/05/17:49:35.671541,9778,1751712575,681147008,base_link,0,1,-7.287161,112.795946,53.91502324897212,"(1.572516, 0.0, 0.0, 0.0, 1.572516, 0.0, 0.0, 0.0, 3.6940839999999997)",2
2025/07/05/17:49:35.751177,9779,1751712575,760147008,base_link,0,1,-7.2871613,112.7959466,53.92502436084659,"(1.572516, 0.0, 0.0, 0.0, 1.572516, 0.0, 0.0, 0.0, 3.6940839999999997)",2
2025/07/05/17:49:35.850693,9780,1751712575,860147008,base_link,0,1,-7.2871617,112.7959473,53.92502553117113,"(1.572516, 0.0, 0.0, 0.0, 1.572516, 0.0, 0.0, 0.0, 3.6940839999999997)",2
2025/07/05/17:49:35.971996,9781,1751712575,980147008,base_link,0,1,-7.2871623,112.795948,53.93502619405222,"(1.552516, 0.0, 0.0, 0.0, 1.552516, 0.0, 0.0, 0.0, 3.6710559999999997)",2
2025/07/05/17:49:36.050900,9782,1751712576,60147008,base_link,0,1,-7.2871628,112.7959485,53.94502648630973,"(1.552516, 0.0, 0.0, 0.0, 1.552516, 0.0, 0.0, 0.0, 3.6710559999999997)",2
2025/07/05/17:49:36.130953,9783,1751712576,140147008,base_link,0,1,-7.2871632,112.7959489,53.94502672011609,"(1.5351210000000002, 0.0, 0.0, 0.0, 1.5351210000000002, 0.0, 0.0, 0.0, 3.6442810000000003)",2
2025/07/05/17:49:36.231356,9784,1751712576,240147008,base_link,0,1,-7.2871638,112.7959494,53.94502675865476,"(1.5351210000000002, 0.0, 0.0, 0.0, 1.5351210000000002, 0.0, 0.0, 0.0, 3.6442810000000003)",2
2025/07/05/17:49:36.331114,9785,1751712576,340147008,base_link,0,1,-7.2871644,112.79595,53.94502710936575,"(1.5252250000000003, 0.0, 0.0, 0.0, 1.5252250000000003, 0.0, 0.0, 0.0, 3.6252159999999995)",2
2025/07/05/17:49:36.492791,9786,1751712576,501147008,base_link,0,1,-7.2871653,112.7959508,53.95502732326305,"(1.5252250000000003, 0.0, 0.0, 0.0, 1.5252250000000003, 0.0, 0.0, 0.0, 3.6252159999999995)",2
2025/07/05/17:49:36.633667,9787,1751712576,643147008,base_link,0,1,-7.2871661,112.7959516,53.965027790880434,"(1.517824, 0.0, 0.0, 0.0, 1.517824, 0.0, 0.0, 0.0, 3.5872359999999994)",2
2025/07/05/17:49:36.711540,9788,1751712576,721147008,base_link,0,1,-7.2871666,112.795952,53.97502777097236,"(1.5153610000000002, 0.0, 0.0, 0.0, 1.5153610000000002, 0.0, 0.0, 0.0, 3.5645439999999997)",2
