time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:49:31.151178,10280,1751712571,150984787,,1751712570,940876000,fcu
2025/07/05/17:49:31.250983,10281,1751712571,250568595,,1751712571,40873000,fcu
2025/07/05/17:49:31.392771,10282,1751712571,392021113,,1751712571,181522000,fcu
2025/07/05/17:49:31.531734,10283,1751712571,531105323,,1751712571,320703000,fcu
2025/07/05/17:49:31.612071,10284,1751712571,611709944,,1751712571,402017000,fcu
2025/07/05/17:49:31.693063,10285,1751712571,692410827,,1751712571,482235000,fcu
2025/07/05/17:49:31.793020,10286,1751712571,792282243,,1751712571,582236000,fcu
2025/07/05/17:49:31.871599,10287,1751712571,871035498,,1751712571,661361000,fcu
2025/07/05/17:49:31.993055,10288,1751712571,992936682,,1751712571,782401000,fcu
2025/07/05/17:49:32.071639,10289,1751712572,71307603,,1751712571,861103000,fcu
2025/07/05/17:49:32.172184,10290,1751712572,171181990,,1751712571,961128000,fcu
2025/07/05/17:49:32.292090,10291,1751712572,291608923,,1751712572,81427000,fcu
2025/07/05/17:49:32.413070,10292,1751712572,412465006,,1751712572,202362000,fcu
2025/07/05/17:49:32.551483,10293,1751712572,551000401,,1751712572,340652000,fcu
2025/07/05/17:49:32.652958,10294,1751712572,651796314,,1751712572,441039000,fcu
2025/07/05/17:49:32.751414,10295,1751712572,750726571,,1751712572,541181000,fcu
2025/07/05/17:49:32.853868,10296,1751712572,852268371,,1751712572,640832000,fcu
2025/07/05/17:49:32.953161,10297,1751712572,951834847,,1751712572,741093000,fcu
2025/07/05/17:49:33.053463,10298,1751712573,51672689,,1751712572,840654000,fcu
2025/07/05/17:49:33.151799,10299,1751712573,151355849,,1751712572,940882000,fcu
2025/07/05/17:49:33.251738,10300,1751712573,250468464,,1751712573,40808000,fcu
2025/07/05/17:49:33.351297,10301,1751712573,350467130,,1751712573,140958000,fcu
2025/07/05/17:49:33.531890,10302,1751712573,531133922,,1751712573,320699000,fcu
2025/07/05/17:49:33.615135,10303,1751712573,614300267,,1751712573,404267000,fcu
2025/07/05/17:49:33.692319,10304,1751712573,691566201,,1751712573,481951000,fcu
2025/07/05/17:49:33.812621,10305,1751712573,811711985,,1751712573,601746000,fcu
2025/07/05/17:49:33.892179,10306,1751712573,891669418,,1751712573,682026000,fcu
2025/07/05/17:49:33.971497,10307,1751712573,971009823,,1751712573,761128000,fcu
2025/07/05/17:49:34.092947,10308,1751712574,92236244,,1751712573,881413000,fcu
