time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:49:31.131665,20559,1751712571,131105236,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.192843,20560,1751712571,192353287,,11.831000328063965,0.0,-0.25,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.831000328063965,)",(),id1,
2025/07/05/17:49:31.234059,20561,1751712571,233439916,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.291614,20562,1751712571,291027403,,11.832000732421875,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.832000732421875,)",(),id1,
2025/07/05/17:49:31.332035,20563,1751712571,331463750,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.451505,20564,1751712571,451035475,,11.832000732421875,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.832000732421875,)",(),id1,
2025/07/05/17:49:31.492873,20565,1751712571,492276712,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.552061,20566,1751712571,551169897,,11.830000877380371,0.0,-0.25,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.830000877380371,)",(),id1,
2025/07/05/17:49:31.591901,20567,1751712571,591271923,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.634996,20568,1751712571,634315505,,11.833000183105469,0.0,-0.25,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.833000183105469,)",(),id1,
2025/07/05/17:49:31.672215,20569,1751712571,671595824,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.711157,20570,1751712571,710941643,,11.833000183105469,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.833000183105469,)",(),id1,
2025/07/05/17:49:31.752035,20571,1751712571,751277207,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.814557,20572,1751712571,814209321,,11.833000183105469,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.833000183105469,)",(),id1,
2025/07/05/17:49:31.851315,20573,1751712571,850812055,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:31.933092,20574,1751712571,931546035,,11.833000183105469,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.833000183105469,)",(),id1,
2025/07/05/17:49:31.972287,20575,1751712571,972036310,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:49:32.012565,20576,1751712572,12235639,,11.833000183105469,0.0,-0.25999999046325684,nan,nan,nan,0.7099999785423279,2,0,0,True,"(11.833000183105469,)",(),id1,
