time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:49:38.050808,10345,1751712578,60147008,base_link,69.35,0.0
2025/07/05/17:49:38.150884,10346,1751712578,160147008,base_link,69.35,0.0
2025/07/05/17:49:38.251671,10347,1751712578,261147008,base_link,69.35,0.0
2025/07/05/17:49:38.351169,10348,1751712578,360147008,base_link,69.35,0.0
2025/07/05/17:49:38.530546,10349,1751712578,540147008,base_link,69.35,0.0
2025/07/05/17:49:38.615472,10350,1751712578,624147008,base_link,69.36,0.0
2025/07/05/17:49:38.711751,10351,1751712578,721147008,base_link,69.36,0.0
2025/07/05/17:49:38.793486,10352,1751712578,802147008,base_link,69.35,0.0
2025/07/05/17:49:38.891611,10353,1751712578,901147008,base_link,69.36,0.0
2025/07/05/17:49:38.993337,10354,1751712579,2147008,base_link,69.35,0.0
2025/07/05/17:49:39.091897,10355,1751712579,102147008,base_link,69.36,0.0
2025/07/05/17:49:39.192261,10356,1751712579,202147008,base_link,69.36,0.0
2025/07/05/17:49:39.291587,10357,1751712579,302147008,base_link,69.35,0.0
2025/07/05/17:49:39.433875,10358,1751712579,443147008,base_link,69.35,0.0
2025/07/05/17:49:39.551302,10359,1751712579,560147008,base_link,69.36,0.0
2025/07/05/17:49:39.651672,10360,1751712579,660147008,base_link,69.35,0.0
2025/07/05/17:49:39.751446,10361,1751712579,760147008,base_link,69.36,0.0
2025/07/05/17:49:39.851325,10362,1751712579,860147008,base_link,69.36,0.0
2025/07/05/17:49:39.951220,10363,1751712579,960147008,base_link,69.36,0.0
2025/07/05/17:49:40.053414,10364,1751712580,60147008,base_link,69.36,0.0
2025/07/05/17:49:40.152951,10365,1751712580,160147008,base_link,69.35,0.0
2025/07/05/17:49:40.252845,10366,1751712580,260147008,base_link,69.36,0.0
2025/07/05/17:49:40.351667,10367,1751712580,360147008,base_link,69.36,0.0
2025/07/05/17:49:40.530510,10368,1751712580,540147008,base_link,69.36,0.0
2025/07/05/17:49:40.611346,10369,1751712580,621147008,base_link,69.36,0.0
2025/07/05/17:49:40.693083,10370,1751712580,701147008,base_link,69.36,0.0
2025/07/05/17:49:40.792472,10371,1751712580,802147008,base_link,69.36,0.0
2025/07/05/17:49:40.930885,10372,1751712580,940147008,base_link,69.36,0.0
2025/07/05/17:49:41.033333,10373,1751712581,43147008,base_link,69.36,0.0
2025/07/05/17:49:41.111372,10374,1751712581,121147008,base_link,69.36,0.0
2025/07/05/17:49:41.192173,10375,1751712581,202147008,base_link,69.36,0.0
2025/07/05/17:49:41.272907,10376,1751712581,280147008,base_link,69.36,0.0
2025/07/05/17:49:41.353277,10377,1751712581,360147008,base_link,69.36,0.0
2025/07/05/17:49:41.511822,10378,1751712581,521147008,base_link,69.36,0.0
2025/07/05/17:49:41.612284,10379,1751712581,621147008,base_link,69.36,0.0
2025/07/05/17:49:41.691422,10380,1751712581,701147008,base_link,69.36,0.0
2025/07/05/17:49:41.791703,10381,1751712581,801147008,base_link,69.36,0.0
2025/07/05/17:49:41.891732,10382,1751712581,901147008,base_link,69.37,0.0
2025/07/05/17:49:42.013062,10383,1751712582,22147008,base_link,69.36,0.0
2025/07/05/17:49:42.092317,10384,1751712582,102147008,base_link,69.36,0.0
2025/07/05/17:49:42.191666,10385,1751712582,201147008,base_link,69.36,0.0
2025/07/05/17:49:42.271798,10386,1751712582,280147008,base_link,69.36,0.0
2025/07/05/17:49:42.370996,10387,1751712582,380147008,base_link,69.36,0.0
2025/07/05/17:49:42.552117,10388,1751712582,561147008,base_link,69.37,0.0
2025/07/05/17:49:42.670956,10389,1751712582,680147008,base_link,69.36,0.0
2025/07/05/17:49:42.771525,10390,1751712582,781147008,base_link,69.37,0.0
2025/07/05/17:49:42.891644,10391,1751712582,901147008,base_link,69.37,0.0
2025/07/05/17:49:42.992143,10392,1751712583,2147008,base_link,69.37,0.0
2025/07/05/17:49:43.091893,10393,1751712583,101147008,base_link,69.36,0.0
2025/07/05/17:49:43.191783,10394,1751712583,202147008,base_link,69.37,0.0
2025/07/05/17:49:43.291767,10395,1751712583,301147008,base_link,69.36,0.0
2025/07/05/17:49:43.391404,10396,1751712583,402147008,base_link,69.37,0.0
2025/07/05/17:49:43.571708,10397,1751712583,580147008,base_link,69.37,0.0
2025/07/05/17:49:43.671987,10398,1751712583,681147008,base_link,69.37,0.0
2025/07/05/17:49:43.771220,10399,1751712583,781147008,base_link,69.37,0.0
2025/07/05/17:49:43.871534,10400,1751712583,881147008,base_link,69.36,0.0
2025/07/05/17:49:43.992896,10401,1751712584,2147008,base_link,69.37,0.0
2025/07/05/17:49:44.072004,10402,1751712584,81147008,base_link,69.37,0.0
2025/07/05/17:49:44.171925,10403,1751712584,180147008,base_link,69.37,0.0
2025/07/05/17:49:44.271726,10404,1751712584,280147008,base_link,69.37,0.0
2025/07/05/17:49:44.351485,10405,1751712584,360147008,base_link,69.37,0.0
2025/07/05/17:49:44.511767,10406,1751712584,521147008,base_link,69.37,0.0
2025/07/05/17:49:44.611972,10407,1751712584,622147008,base_link,69.37,0.0
2025/07/05/17:49:44.691401,10408,1751712584,701147008,base_link,69.37,0.0
2025/07/05/17:49:44.791497,10409,1751712584,801147008,base_link,69.38,0.0
2025/07/05/17:49:44.871740,10410,1751712584,880147008,base_link,69.38,0.0
2025/07/05/17:49:44.991659,10411,1751712585,2147008,base_link,69.37,0.0
2025/07/05/17:49:45.071359,10412,1751712585,80147008,base_link,69.37,0.0
2025/07/05/17:49:45.191780,10413,1751712585,201147008,base_link,69.37,0.0
2025/07/05/17:49:45.271765,10414,1751712585,280147008,base_link,69.37,0.0
2025/07/05/17:49:45.371416,10415,1751712585,380147008,base_link,69.37,0.0
2025/07/05/17:49:45.552110,10416,1751712585,560147008,base_link,69.37,0.0
2025/07/05/17:49:45.650850,10417,1751712585,660147008,base_link,69.37,0.0
2025/07/05/17:49:45.751362,10418,1751712585,760147008,base_link,69.37,0.0
2025/07/05/17:49:45.852805,10419,1751712585,860147008,base_link,69.37,0.0
2025/07/05/17:49:45.950746,10420,1751712585,960147008,base_link,69.37,0.0
2025/07/05/17:49:46.052193,10421,1751712586,60147008,base_link,69.38,0.0
2025/07/05/17:49:46.150748,10422,1751712586,160147008,base_link,69.37,0.0
2025/07/05/17:49:46.252795,10423,1751712586,260147008,base_link,69.37,0.0
2025/07/05/17:49:46.351657,10424,1751712586,361147008,base_link,69.37,0.0
2025/07/05/17:49:46.530853,10425,1751712586,540147008,base_link,69.37,0.0
2025/07/05/17:49:46.630519,10426,1751712586,640147008,base_link,69.38,0.0
2025/07/05/17:49:46.731241,10427,1751712586,740147008,base_link,69.38,0.0
2025/07/05/17:49:46.812505,10428,1751712586,821147008,base_link,69.38,0.0
2025/07/05/17:49:46.912444,10429,1751712586,921147008,base_link,69.38,0.0
2025/07/05/17:49:47.012454,10430,1751712587,21147008,base_link,69.38,0.0
2025/07/05/17:49:47.091629,10431,1751712587,102147008,base_link,69.38,0.0
2025/07/05/17:49:47.191747,10432,1751712587,201147008,base_link,69.38,0.0
2025/07/05/17:49:47.272226,10433,1751712587,280147008,base_link,69.38,0.0
2025/07/05/17:49:47.412301,10434,1751712587,422147008,base_link,69.38,0.0
2025/07/05/17:49:47.591733,10435,1751712587,601147008,base_link,69.38,0.0
2025/07/05/17:49:47.670497,10436,1751712587,681147008,base_link,69.38,0.0
2025/07/05/17:49:47.770467,10437,1751712587,780147008,base_link,69.38,0.0
2025/07/05/17:49:47.871114,10438,1751712587,880147008,base_link,69.38,0.0
2025/07/05/17:49:47.991632,10439,1751712588,2147008,base_link,69.38,0.0
2025/07/05/17:49:48.091871,10440,1751712588,101147008,base_link,69.38,0.0
2025/07/05/17:49:48.191936,10441,1751712588,202147008,base_link,69.38,0.0
2025/07/05/17:49:48.271569,10442,1751712588,281147008,base_link,69.38,0.0
2025/07/05/17:49:48.371405,10443,1751712588,381147008,base_link,69.38,0.0
2025/07/05/17:49:48.553207,10444,1751712588,560147008,base_link,69.38,0.0
2025/07/05/17:49:48.652004,10445,1751712588,660147008,base_link,69.38,0.0
2025/07/05/17:49:48.750947,10446,1751712588,760147008,base_link,69.38,0.0
2025/07/05/17:49:48.852237,10447,1751712588,860147008,base_link,69.38,0.0
2025/07/05/17:49:48.950974,10448,1751712588,960147008,base_link,69.38,0.0
2025/07/05/17:49:49.052291,10449,1751712589,60147008,base_link,69.38,0.0
2025/07/05/17:49:49.150720,10450,1751712589,160147008,base_link,69.38,0.0
2025/07/05/17:49:49.252409,10451,1751712589,260147008,base_link,69.38,0.0
2025/07/05/17:49:49.350943,10452,1751712589,361147008,base_link,69.39,0.0
2025/07/05/17:49:49.530622,10453,1751712589,540147008,base_link,69.38,0.0
2025/07/05/17:49:49.633528,10454,1751712589,643147008,base_link,69.38,0.0
2025/07/05/17:49:49.713475,10455,1751712589,721147008,base_link,69.38,0.0
2025/07/05/17:49:49.812770,10456,1751712589,822147008,base_link,69.38,0.0
2025/07/05/17:49:49.912066,10457,1751712589,921147008,base_link,69.39,0.0
2025/07/05/17:49:50.012072,10458,1751712590,22147008,base_link,69.38,0.0
2025/07/05/17:49:50.091182,10459,1751712590,102147008,base_link,69.38,0.0
2025/07/05/17:49:50.191616,10460,1751712590,201147008,base_link,69.39,0.0
2025/07/05/17:49:50.272859,10461,1751712590,280147008,base_link,69.39,0.0
2025/07/05/17:49:50.352001,10462,1751712590,360147008,base_link,69.39,0.0
2025/07/05/17:49:50.511393,10463,1751712590,521147008,base_link,69.39,0.0
2025/07/05/17:49:50.612016,10464,1751712590,622147008,base_link,69.39,0.0
2025/07/05/17:49:50.691331,10465,1751712590,701147008,base_link,69.38,0.0
2025/07/05/17:49:50.791627,10466,1751712590,802147008,base_link,69.38,0.0
2025/07/05/17:49:50.891476,10467,1751712590,901147008,base_link,69.39,0.0
2025/07/05/17:49:50.992249,10468,1751712591,2147008,base_link,69.39,0.0
2025/07/05/17:49:51.091389,10469,1751712591,101147008,base_link,69.38,0.0
2025/07/05/17:49:51.191531,10470,1751712591,201147008,base_link,69.39,0.0
2025/07/05/17:49:51.270755,10471,1751712591,280147008,base_link,69.39,0.0
2025/07/05/17:49:51.351735,10472,1751712591,360147008,base_link,69.39,0.0
2025/07/05/17:49:51.530657,10473,1751712591,540147008,base_link,69.39,0.0
2025/07/05/17:49:51.651869,10474,1751712591,660147008,base_link,69.39,0.0
2025/07/05/17:49:51.730304,10475,1751712591,740147008,base_link,69.39,0.0
2025/07/05/17:49:51.830137,10476,1751712591,840147008,base_link,69.39,0.0
2025/07/05/17:49:51.912836,10477,1751712591,921147008,base_link,69.39,0.0
2025/07/05/17:49:52.011483,10478,1751712592,21147008,base_link,69.39,0.0
2025/07/05/17:49:52.091904,10479,1751712592,101147008,base_link,69.39,0.0
2025/07/05/17:49:52.191211,10480,1751712592,202147008,base_link,69.39,0.0
2025/07/05/17:49:52.270760,10481,1751712592,281147008,base_link,69.39,0.0
2025/07/05/17:49:52.391598,10482,1751712592,402147008,base_link,69.39,0.0
2025/07/05/17:49:52.570008,10483,1751712592,580147008,base_link,69.39,0.0
2025/07/05/17:49:52.671754,10484,1751712592,681147008,base_link,69.4,0.0
2025/07/05/17:49:52.771362,10485,1751712592,781147008,base_link,69.39,0.0
2025/07/05/17:49:52.870277,10486,1751712592,881147008,base_link,69.39,0.0
2025/07/05/17:49:52.991818,10487,1751712593,2147008,base_link,69.39,0.0
2025/07/05/17:49:53.091494,10488,1751712593,102147008,base_link,69.39,0.0
2025/07/05/17:49:53.191879,10489,1751712593,202147008,base_link,69.39,0.0
2025/07/05/17:49:53.272656,10490,1751712593,280147008,base_link,69.39,0.0
2025/07/05/17:49:53.416292,10491,1751712593,424147008,base_link,69.4,0.0
2025/07/05/17:49:53.570421,10492,1751712593,581147008,base_link,69.39,0.0
2025/07/05/17:49:53.671471,10493,1751712593,681147008,base_link,69.39,0.0
2025/07/05/17:49:53.771176,10494,1751712593,781147008,base_link,69.4,0.0
2025/07/05/17:49:53.871752,10495,1751712593,880147008,base_link,69.39,0.0
2025/07/05/17:49:53.991682,10496,1751712594,2147008,base_link,69.39,0.0
2025/07/05/17:49:54.071442,10497,1751712594,80147008,base_link,69.39,0.0
2025/07/05/17:49:54.170990,10498,1751712594,181147008,base_link,69.4,0.0
2025/07/05/17:49:54.270938,10499,1751712594,280147008,base_link,69.4,0.0
2025/07/05/17:49:54.351126,10500,1751712594,360147008,base_link,69.4,0.0
2025/07/05/17:49:54.510744,10501,1751712594,521147008,base_link,69.4,0.0
2025/07/05/17:49:54.612001,10502,1751712594,621147008,base_link,69.4,0.0
2025/07/05/17:49:54.691371,10503,1751712594,701147008,base_link,69.4,0.0
2025/07/05/17:49:54.791534,10504,1751712594,801147008,base_link,69.4,0.0
2025/07/05/17:49:54.911424,10505,1751712594,921147008,base_link,69.4,0.0
2025/07/05/17:49:55.012351,10506,1751712595,22147008,base_link,69.4,0.0
2025/07/05/17:49:55.111200,10507,1751712595,121147008,base_link,69.4,0.0
2025/07/05/17:49:55.191131,10508,1751712595,201147008,base_link,69.4,0.0
