time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:49:33.494306,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.494606,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.495381,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.593771,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.593996,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.594943,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.672382,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.672574,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.673759,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.772908,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.773531,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.774673,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.853037,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.853242,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.853271,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.952065,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.952502,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:33.953376,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.052214,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.053661,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.053802,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.152668,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.152697,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.152707,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.252065,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.252526,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.253279,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.353030,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.353782,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.354341,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.552958,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.553412,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.554568,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.652544,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.652993,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.653317,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.752884,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.753972,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.753988,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.852152,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.853859,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.853870,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.973585,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.973761,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:34.973777,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.052766,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.052777,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.053232,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.151659,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:35.153369,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
