time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fix_type,.lat,.lon,.alt,.eph,.epv,.vel,.cog,.satellites_visible,.alt_ellipsoid,.h_acc,.v_acc,.vel_acc,.hdg_acc,.yaw,.dgps_numch,.dgps_age
2025/07/05/17:49:30.951321,10278,1751712570,787147008,/wgs84,3,-72871463,1127959351,21100,57,89,27,17707,21,38429,1323,2024,379,0,0,255,4294967295
2025/07/05/17:49:31.051637,10279,1751712570,987147008,/wgs84,3,-72871469,1127959354,21040,57,89,25,17707,21,38369,1325,2027,428,0,0,255,4294967295
2025/07/05/17:49:31.151174,10280,1751712570,987147008,/wgs84,3,-72871469,1127959354,21040,57,89,25,17707,21,38369,1325,2027,428,0,0,255,4294967295
2025/07/05/17:49:31.250918,10281,1751712571,187147008,/wgs84,3,-72871471,1127959355,21060,57,89,17,17707,21,38389,1328,2027,244,0,0,255,4294967295
2025/07/05/17:49:31.351054,10282,1751712571,187147008,/wgs84,3,-72871471,1127959355,21060,57,89,17,17707,21,38389,1328,2027,244,0,0,255,4294967295
2025/07/05/17:49:31.531724,10283,1751712571,387147008,/wgs84,3,-72871473,1127959356,21070,57,89,21,17707,21,38399,1328,2026,326,0,0,255,4294967295
2025/07/05/17:49:31.612003,10284,1751712571,587147008,/wgs84,3,-72871477,1127959357,20990,57,89,26,17707,21,38319,1328,2025,446,0,0,255,4294967295
2025/07/05/17:49:31.692938,10285,1751712571,587147008,/wgs84,3,-72871477,1127959357,20990,57,89,26,17707,21,38319,1328,2025,446,0,0,255,4294967295
2025/07/05/17:49:31.792958,10286,1751712571,787147008,/wgs84,3,-72871484,1127959360,20860,57,89,25,17707,21,38189,1325,2022,413,0,0,255,4294967295
2025/07/05/17:49:31.871550,10287,1751712571,787147008,/wgs84,3,-72871484,1127959360,20860,57,89,25,17707,21,38189,1325,2022,413,0,0,255,4294967295
2025/07/05/17:49:31.993050,10288,1751712571,787147008,/wgs84,3,-72871484,1127959360,20860,57,89,25,17707,21,38189,1325,2022,413,0,0,255,4294967295
2025/07/05/17:49:32.071635,10289,1751712571,987147008,/wgs84,3,-72871490,1127959365,20790,57,89,27,17707,21,38119,1317,2016,307,0,0,255,4294967295
2025/07/05/17:49:32.171680,10290,1751712571,987147008,/wgs84,3,-72871490,1127959365,20790,57,89,27,17707,21,38119,1317,2016,307,0,0,255,4294967295
2025/07/05/17:49:32.291889,10291,1751712572,187147008,/wgs84,3,-72871496,1127959368,20730,57,89,30,17707,21,38059,1309,2011,331,0,0,255,4294967295
2025/07/05/17:49:32.413028,10292,1751712572,387147008,/wgs84,3,-72871500,1127959371,20690,57,89,31,17707,21,38018,1306,2012,402,0,0,255,4294967295
2025/07/05/17:49:32.531309,10293,1751712572,387147008,/wgs84,3,-72871500,1127959371,20690,57,89,31,17707,21,38018,1306,2012,402,0,0,255,4294967295
2025/07/05/17:49:32.652927,10294,1751712572,587147008,/wgs84,3,-72871503,1127959373,20670,57,89,20,17707,21,37999,1304,2011,343,0,0,255,4294967295
2025/07/05/17:49:32.751395,10295,1751712572,587147008,/wgs84,3,-72871503,1127959373,20670,57,89,20,17707,21,37999,1304,2011,343,0,0,255,4294967295
2025/07/05/17:49:32.853828,10296,1751712572,787147008,/wgs84,3,-72871507,1127959375,20640,57,89,33,17707,21,37969,1302,2010,432,0,0,255,4294967295
2025/07/05/17:49:32.953057,10297,1751712572,787147008,/wgs84,3,-72871507,1127959375,20640,57,89,33,17707,21,37969,1302,2010,432,0,0,255,4294967295
2025/07/05/17:49:33.053440,10298,1751712572,987147008,/wgs84,3,-72871509,1127959377,20660,56,87,24,17707,22,37988,1302,2009,417,0,0,255,4294967295
2025/07/05/17:49:33.151759,10299,1751712572,987147008,/wgs84,3,-72871509,1127959377,20660,56,87,24,17707,22,37988,1302,2009,417,0,0,255,4294967295
2025/07/05/17:49:33.251396,10300,1751712573,187147008,/wgs84,3,-72871511,1127959381,20640,56,87,19,17707,22,37969,1303,2008,399,0,0,255,4294967295
2025/07/05/17:49:33.351193,10301,1751712573,187147008,/wgs84,3,-72871511,1127959381,20640,56,87,19,17707,22,37969,1303,2008,399,0,0,255,4294967295
2025/07/05/17:49:33.531774,10302,1751712573,387147008,/wgs84,3,-72871513,1127959383,20660,56,87,19,17707,22,37989,1304,2007,336,0,0,255,4294967295
2025/07/05/17:49:33.615119,10303,1751712573,587147008,/wgs84,3,-72871517,1127959386,20640,56,87,35,17707,22,37969,1305,2007,423,0,0,255,4294967295
2025/07/05/17:49:33.692299,10304,1751712573,587147008,/wgs84,3,-72871517,1127959386,20640,56,87,35,17707,22,37969,1305,2007,423,0,0,255,4294967295
2025/07/05/17:49:33.792408,10305,1751712573,587147008,/wgs84,3,-72871517,1127959386,20640,56,87,35,17707,22,37969,1305,2007,423,0,0,255,4294967295
2025/07/05/17:49:33.892141,10306,1751712573,787147008,/wgs84,3,-72871523,1127959391,20620,56,87,51,15728,22,37949,1307,2008,467,0,0,255,4294967295
2025/07/05/17:49:33.971402,10307,1751712573,787147008,/wgs84,3,-72871523,1127959391,20620,56,87,51,15728,22,37949,1307,2008,467,0,0,255,4294967295
2025/07/05/17:49:34.072348,10308,1751712573,987147008,/wgs84,3,-72871531,1127959395,20550,57,89,38,15728,21,37879,1306,2008,307,0,0,255,4294967295
