time,.x,.y,.z
2025/07/05/17:49:31.132372,-56.77382099998444,-28.304999999914315,0.0
2025/07/05/17:49:31.235368,-56.77382099998444,-28.32719999997657,0.0
2025/07/05/17:49:31.333895,-56.77382099998444,-28.33829999990911,0.0
2025/07/05/17:49:31.494264,-56.77382099998444,-28.371599999903907,0.0
2025/07/05/17:49:31.593332,-56.77382099998444,-28.382699999935035,0.0
2025/07/05/17:49:31.672962,-56.77382099998444,-28.40489999999729,0.0
2025/07/05/17:49:31.753058,-56.762488899046815,-28.41599999992983,0.0
2025/07/05/17:49:31.852168,-56.75115679971958,-28.438199999992086,0.0
2025/07/05/17:49:31.973057,-56.73982470039235,-28.460399999955754,0.0
2025/07/05/17:49:32.052772,-56.73982470039235,-28.471499999986882,0.0
2025/07/05/17:49:32.151864,-56.728492599454725,-28.49369999995055,0.0
2025/07/05/17:49:32.252502,-56.71716050012749,-28.515899999914218,0.0
2025/07/05/17:49:32.351529,-56.70582839918987,-28.549199999909014,0.0
2025/07/05/17:49:32.513862,-56.6831642005354,-28.593599999934938,0.0
2025/07/05/17:49:32.634014,-56.6831642005354,-28.615799999997193,0.0
2025/07/05/17:49:32.732725,-56.67183209959778,-28.63799999996086,0.0
2025/07/05/17:49:32.835448,-56.660500000270545,-28.671299999955657,0.0
2025/07/05/17:49:32.932460,-56.63783580000569,-28.693499999919325,0.0
2025/07/05/17:49:33.034172,-56.62650369906807,-28.71569999998158,0.0
2025/07/05/17:49:33.132731,-56.6038395004136,-28.73789999994525,0.0
2025/07/05/17:49:33.235235,-56.59250739947598,-28.760099999908917,0.0
2025/07/05/17:49:33.333117,-56.56984319921112,-28.782299999971173,0.0
2025/07/05/17:49:33.494388,-56.54717900055665,-28.81559999996597,0.0
2025/07/05/17:49:33.593980,-56.53584689961903,-28.848899999960764,0.0
2025/07/05/17:49:33.672604,-56.513182699354175,-28.871099999924432,0.0
2025/07/05/17:49:33.774324,-56.49051849908932,-28.904399999919228,0.0
2025/07/05/17:49:33.853117,-56.46785430043485,-28.937699999914024,0.0
2025/07/05/17:49:33.952311,-56.445190100169995,-28.982099999939948,0.0
2025/07/05/17:49:34.053690,-56.411193800577905,-29.02649999996587,0.0
2025/07/05/17:49:34.153516,-56.37719749937543,-29.070899999991795,0.0
2025/07/05/17:49:34.252342,-56.35453329911057,-29.11529999991913,0.0
2025/07/05/17:49:34.353800,-56.32053699951848,-29.170799999976182,0.0
2025/07/05/17:49:34.553521,-56.229880200069445,-29.27069999996057,0.0
2025/07/05/17:49:34.652539,-56.18455179953973,-29.326199999919034,0.0
2025/07/05/17:49:34.752797,-56.13922340062041,-29.370599999944957,0.0
2025/07/05/17:49:34.853410,-56.0938950000907,-29.42609999990342,0.0
2025/07/05/17:49:34.973516,-56.03723450023375,-29.4926999999916,0.0
2025/07/05/17:49:35.052396,-55.99190609970404,-29.537099999918937,0.0
2025/07/05/17:49:35.152293,-55.94657769917433,-29.58149999994486,0.0
2025/07/05/17:49:35.253268,-55.87858509999015,-29.625899999970784,0.0
2025/07/05/17:49:35.332836,-55.833256699460435,-29.65919999996558,0.0
2025/07/05/17:49:35.472800,-55.73126779907378,-29.72579999995517,0.0
2025/07/05/17:49:35.593906,-55.64061099962474,-29.781299999913635,0.0
2025/07/05/17:49:35.672799,-55.583950499767795,-29.80349999997589,0.0
2025/07/05/17:49:35.753100,-55.515957900583615,-29.836799999970687,0.0
2025/07/05/17:49:35.853401,-55.43663320046181,-29.88119999999661,0.0
2025/07/05/17:49:35.973952,-55.35730850034001,-29.947799999986202,0.0
2025/07/05/17:49:36.053022,-55.300648000483065,-30.003299999944666,0.0
2025/07/05/17:49:36.132977,-55.25531959995335,-30.04769999997059,0.0
2025/07/05/17:49:36.232527,-55.19865910009641,-30.11429999996018,0.0
2025/07/05/17:49:36.332306,-55.13066649930184,-30.180899999949773,0.0
2025/07/05/17:49:36.494488,-55.0400096998528,-30.28079999993416,0.0
2025/07/05/17:49:36.635264,-54.94935290040377,-30.369599999986008,0.0
2025/07/05/17:49:36.713700,-54.904024499874055,-30.42509999994447,0.0
2025/07/05/17:49:36.813812,-54.83603189907949,-30.491699999934063,0.0
2025/07/05/17:49:36.894372,-54.76803929989531,-30.547199999991115,0.0
2025/07/05/17:49:37.013406,-54.67738250044627,-30.613799999980706,0.0
2025/07/05/17:49:37.112815,-54.58672569938685,-30.680399999970298,0.0
2025/07/05/17:49:37.212973,-54.507400999265045,-30.735899999928762,0.0
2025/07/05/17:49:37.293357,-54.439408400080865,-30.780299999954686,0.0
2025/07/05/17:49:37.394654,-54.36008369995906,-30.83579999991315,0.0
2025/07/05/17:49:37.552816,-54.23543059930755,-30.91349999993387,0.0
2025/07/05/17:49:37.632571,-54.1787700994506,-30.946799999928665,0.0
2025/07/05/17:49:37.731932,-54.08811330000157,-30.98009999992346,0.0
2025/07/05/17:49:37.832281,-54.008788599879765,-31.013399999918256,0.0
2025/07/05/17:49:37.953755,-53.90679969949311,-31.046699999913052,0.0
2025/07/05/17:49:38.035256,-53.827474999371304,-31.068899999975308,0.0
2025/07/05/17:49:38.132641,-53.7481502992495,-31.091099999938976,0.0
2025/07/05/17:49:38.232138,-53.6688255991277,-31.113299999902644,0.0
2025/07/05/17:49:38.332050,-53.58950090061629,-31.146599999996027,0.0
2025/07/05/17:49:38.513472,-53.442183599699916,-31.190999999923363,0.0
2025/07/05/17:49:38.615872,-53.35152680025088,-31.22429999991816,0.0
2025/07/05/17:49:38.693294,-53.294866300393934,-31.257599999912955,0.0
2025/07/05/17:49:38.793658,-53.20420949933451,-31.29089999990775,0.0
2025/07/05/17:49:38.873057,-53.13621690015033,-31.324199999902547,0.0
2025/07/05/17:49:38.994431,-53.045560099090906,-31.390799999990726,0.0
2025/07/05/17:49:39.073924,-52.98889959923396,-31.435199999918062,0.0
2025/07/05/17:49:39.173706,-52.92090700004978,-31.501799999907654,0.0
2025/07/05/17:49:39.274956,-52.864246500192834,-31.546199999933577,0.0
2025/07/05/17:49:39.372729,-52.796253899398266,-31.60169999999063,0.0
2025/07/05/17:49:39.532542,-52.67160080035714,-31.69049999994389,0.0
2025/07/05/17:49:39.634490,-52.59227610023534,-31.745999999902352,0.0
2025/07/05/17:49:39.732115,-52.501619299175914,-31.801499999959404,0.0
2025/07/05/17:49:39.835560,-52.42229459905411,-31.856999999917868,0.0
2025/07/05/17:49:39.932232,-52.331637799605076,-31.90139999994379,0.0
2025/07/05/17:49:40.034869,-52.22964889921842,-31.934699999938587,0.0
2025/07/05/17:49:40.132139,-52.13899209976938,-31.967999999933383,0.0
2025/07/05/17:49:40.234628,-52.048335300320346,-32.00129999992818,0.0
2025/07/05/17:49:40.331782,-51.95767849926092,-32.0456999999541,0.0
2025/07/05/17:49:40.513268,-51.799029100627706,-32.12339999997482,0.0
2025/07/05/17:49:40.594019,-51.73103649983314,-32.15669999996962,0.0
2025/07/05/17:49:40.673362,-51.66304390064896,-32.189999999964414,0.0
2025/07/05/17:49:40.773341,-51.572387099589534,-32.23439999999034,0.0
2025/07/05/17:49:40.873572,-51.470398199202876,-32.27879999991767,0.0
2025/07/05/17:49:41.013770,-51.34574510016175,-32.334299999974725,0.0
2025/07/05/17:49:41.093818,-51.27775249936718,-32.36759999996952,0.0
2025/07/05/17:49:41.173268,-51.19842779924538,-32.38979999993319,0.0
2025/07/05/17:49:41.256418,-51.1304352000612,-32.411999999995444,0.0
2025/07/05/17:49:41.332243,-51.0511104999394,-32.43419999995911,0.0
2025/07/05/17:49:41.472352,-50.91512529996065,-32.478599999985036,0.0
2025/07/05/17:49:41.593061,-50.80180430024676,-32.51189999997983,0.0
2025/07/05/17:49:41.672256,-50.722479600124956,-32.52299999991237,0.0
2025/07/05/17:49:41.774366,-50.6204906997383,-32.54519999997463,0.0
2025/07/05/17:49:41.872763,-50.51850179935164,-32.54519999997463,0.0
2025/07/05/17:49:41.993308,-50.393848700310514,-32.5340999999435,0.0
2025/07/05/17:49:42.092731,-50.291859799923856,-32.5340999999435,0.0
2025/07/05/17:49:42.174064,-50.20120300047482,-32.52299999991237,0.0
2025/07/05/17:49:42.253927,-50.12187830035302,-32.51189999997983,0.0
2025/07/05/17:49:42.352159,-50.03122149929359,-32.51189999997983,0.0
2025/07/05/17:49:42.532558,-49.84990790039552,-32.52299999991237,0.0
2025/07/05/17:49:42.651333,-49.73658689907124,-32.5340999999435,0.0
2025/07/05/17:49:42.751066,-49.645930099622205,-32.5340999999435,0.0
2025/07/05/17:49:42.851520,-49.55527330017317,-32.54519999997463,0.0
