time,.data
2025/07/05/17:49:30.931219,162.72
2025/07/05/17:49:31.031199,162.3
2025/07/05/17:49:31.131632,161.89
2025/07/05/17:49:31.233756,161.46
2025/07/05/17:49:31.331681,161.01
2025/07/05/17:49:31.492772,160.31
2025/07/05/17:49:31.591818,159.89
2025/07/05/17:49:31.672121,159.57
2025/07/05/17:49:31.751874,159.24
2025/07/05/17:49:31.851049,158.81
2025/07/05/17:49:31.972031,158.3
2025/07/05/17:49:32.051234,157.98
2025/07/05/17:49:32.150937,157.6
2025/07/05/17:49:32.251688,157.23
2025/07/05/17:49:32.350551,156.87
2025/07/05/17:49:32.513027,156.27
2025/07/05/17:49:32.633368,155.82
2025/07/05/17:49:32.731188,155.45
2025/07/05/17:49:32.834461,155.09
2025/07/05/17:49:32.931679,154.74
2025/07/05/17:49:33.033593,154.39
2025/07/05/17:49:33.131459,154.03
2025/07/05/17:49:33.233867,153.65
2025/07/05/17:49:33.331254,153.28
2025/07/05/17:49:33.492739,152.6
2025/07/05/17:49:33.592819,151.81
2025/07/05/17:49:33.671729,151.11
2025/07/05/17:49:33.771949,150.08
2025/07/05/17:49:33.851299,149.17
2025/07/05/17:49:33.951042,148.02
2025/07/05/17:49:34.050908,146.89
2025/07/05/17:49:34.151463,145.75
2025/07/05/17:49:34.251201,144.57
2025/07/05/17:49:34.352115,143.36
2025/07/05/17:49:34.551859,140.79
2025/07/05/17:49:34.651084,139.43
2025/07/05/17:49:34.751154,138.06
2025/07/05/17:49:34.851448,136.69
2025/07/05/17:49:34.971894,135.09
2025/07/05/17:49:35.051172,134.07
2025/07/05/17:49:35.151143,133.22
2025/07/05/17:49:35.251311,132.87
2025/07/05/17:49:35.331155,132.84
2025/07/05/17:49:35.471722,133.73
2025/07/05/17:49:35.592130,135.34
2025/07/05/17:49:35.671934,136.66
2025/07/05/17:49:35.751218,138.1
2025/07/05/17:49:35.850780,139.95
2025/07/05/17:49:35.972007,141.64
2025/07/05/17:49:36.050984,141.83
2025/07/05/17:49:36.131032,141.37
2025/07/05/17:49:36.231517,140.34
2025/07/05/17:49:36.331187,138.8
2025/07/05/17:49:36.492864,135.83
2025/07/05/17:49:36.633788,133.33
2025/07/05/17:49:36.711635,132.01
2025/07/05/17:49:36.812348,130.39
2025/07/05/17:49:36.892853,129.06
2025/07/05/17:49:37.012120,126.95
2025/07/05/17:49:37.111928,125.05
2025/07/05/17:49:37.212141,123.15
2025/07/05/17:49:37.292324,121.64
2025/07/05/17:49:37.392821,119.74
2025/07/05/17:49:37.550994,116.92
2025/07/05/17:49:37.631438,115.77
2025/07/05/17:49:37.730985,115.13
2025/07/05/17:49:37.830997,115.15
2025/07/05/17:49:37.951927,115.96
2025/07/05/17:49:38.034079,116.91
2025/07/05/17:49:38.131024,118.52
2025/07/05/17:49:38.230972,120.25
2025/07/05/17:49:38.330887,121.92
2025/07/05/17:49:38.511950,124.47
