time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:49:30.951198,10278,1751712570,787147008,base_link,0,1,-7.2871463,112.7959351,50.35502651969421,"(1.7503289999999998, 0.0, 0.0, 0.0, 1.7503289999999998, 0.0, 0.0, 0.0, 4.096576)",2
2025/07/05/17:49:31.051543,10279,1751712570,987147008,base_link,0,1,-7.2871469,112.7959354,50.29502593382956,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.151054,10280,1751712570,987147008,base_link,0,1,-7.2871469,112.7959354,50.29502593382956,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.250866,10281,1751712571,187147008,base_link,0,1,-7.2871471,112.7959355,50.31502573854195,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.350987,10282,1751712571,187147008,base_link,0,1,-7.2871471,112.7959355,50.31502573854195,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.531533,10283,1751712571,387147008,base_link,0,1,-7.2871473,112.7959356,50.32502554325465,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.1046759999999995)",2
2025/07/05/17:49:31.611928,10284,1751712571,587147008,base_link,0,1,-7.2871477,112.7959357,50.24502484049965,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.100625)",2
2025/07/05/17:49:31.692901,10285,1751712571,587147008,base_link,0,1,-7.2871477,112.7959357,50.24502484049965,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.100625)",2
2025/07/05/17:49:31.792828,10286,1751712571,787147008,base_link,0,1,-7.2871484,112.795936,50.11502400090846,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:31.871530,10287,1751712571,787147008,base_link,0,1,-7.2871484,112.795936,50.11502400090846,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:31.992987,10288,1751712571,787147008,base_link,0,1,-7.2871484,112.795936,50.11502400090846,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:32.071577,10289,1751712571,987147008,base_link,0,1,-7.287149,112.7959365,50.045024039415104,"(1.734489, 0.0, 0.0, 0.0, 1.734489, 0.0, 0.0, 0.0, 4.064256)",2
2025/07/05/17:49:32.171564,10290,1751712571,987147008,base_link,0,1,-7.287149,112.7959365,50.045024039415104,"(1.734489, 0.0, 0.0, 0.0, 1.734489, 0.0, 0.0, 0.0, 4.064256)",2
2025/07/05/17:49:32.291858,10291,1751712572,187147008,base_link,0,1,-7.2871496,112.7959368,49.985023453562704,"(1.7134809999999998, 0.0, 0.0, 0.0, 1.7134809999999998, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.412987,10292,1751712572,387147008,base_link,0,1,-7.28715,112.7959371,49.94502337517591,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.048144)",2
2025/07/05/17:49:32.531275,10293,1751712572,387147008,base_link,0,1,-7.28715,112.7959371,49.94502337517591,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.048144)",2
2025/07/05/17:49:32.652886,10294,1751712572,587147008,base_link,0,1,-7.2871503,112.7959373,49.92502323834144,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.751334,10295,1751712572,587147008,base_link,0,1,-7.2871503,112.7959373,49.92502323834144,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.853527,10296,1751712572,787147008,base_link,0,1,-7.2871507,112.7959375,49.895022847776445,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.040099999999999)",2
2025/07/05/17:49:32.952984,10297,1751712572,787147008,base_link,0,1,-7.2871507,112.7959375,49.895022847776445,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.040099999999999)",2
2025/07/05/17:49:33.053350,10298,1751712572,987147008,base_link,0,1,-7.2871509,112.7959377,49.915022964673994,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.036080999999999)",2
2025/07/05/17:49:33.151700,10299,1751712572,987147008,base_link,0,1,-7.2871509,112.7959377,49.915022964673994,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.036080999999999)",2
2025/07/05/17:49:33.251029,10300,1751712573,187147008,base_link,0,1,-7.2871511,112.7959381,49.89502370593026,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.351155,10301,1751712573,187147008,base_link,0,1,-7.2871511,112.7959381,49.89502370593026,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.531620,10302,1751712573,387147008,base_link,0,1,-7.2871513,112.7959383,49.91502382282766,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.615028,10303,1751712573,587147008,base_link,0,1,-7.2871517,112.7959386,49.89502374444366,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.691920,10304,1751712573,587147008,base_link,0,1,-7.2871517,112.7959386,49.89502374444366,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.792385,10305,1751712573,587147008,base_link,0,1,-7.2871517,112.7959386,49.89502374444366,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
