time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2025/07/05/17:49:30.972025,5716,1751712570,980147008,map,0.25827136635780334,-2.9559223651885986,-1.1270391941070557,-0.04823575707955357,-0.048114415479261735,0.5921074568720106,-0.8029738938960663
2025/07/05/17:49:31.092475,5717,1751712571,101147008,map,0.26293230056762695,-2.9806206226348877,-1.1270805597305298,-0.04792660816790173,-0.048700518819793905,0.5891107357865868,-0.8051582705761582
2025/07/05/17:49:31.192725,5718,1751712571,201147008,map,0.266642302274704,-3.0009777545928955,-1.1278274059295654,-0.04779821521778762,-0.04901976778235104,0.5862093889863232,-0.8072613859542892
2025/07/05/17:49:31.271498,5719,1751712571,281147008,map,0.2668391764163971,-3.0152153968811035,-1.129442811012268,-0.04797162526702975,-0.04890045322150972,0.5831831089592963,-0.8094472992533485
2025/07/05/17:49:31.392601,5720,1751712571,402147008,map,0.2659147083759308,-3.035902738571167,-1.131630539894104,-0.04831761287523649,-0.04855840252214796,0.5800550839535223,-0.8116918069133187
2025/07/05/17:49:31.551558,5721,1751712571,560147008,map,0.2672857642173767,-3.063263177871704,-1.1292201280593872,-0.04795216084644746,-0.04859245589212354,0.5750825707246042,-0.815241927497175
2025/07/05/17:49:31.634884,5722,1751712571,643147008,map,0.2694523334503174,-3.077122449874878,-1.1279654502868652,-0.04700435614066085,-0.04932608644817494,0.5720905256077764,-0.81735546625035
2025/07/05/17:49:31.693327,5723,1751712571,702147008,map,0.2741902768611908,-3.0879409313201904,-1.1275612115859985,-0.04623115088131527,-0.05000878532057574,0.5697481995242644,-0.8189925464971026
2025/07/05/17:49:31.793187,5724,1751712571,802147008,map,0.28090715408325195,-3.1057021617889404,-1.1267662048339844,-0.045891381109925265,-0.05037113908592927,0.5673652361415086,-0.8206420768551292
2025/07/05/17:49:31.912867,5725,1751712571,921147008,map,0.29480382800102234,-3.1289024353027344,-1.1279821395874023,-0.04619920729495192,-0.05021395541483757,0.564323429580184,-0.8227291527311852
2025/07/05/17:49:32.012562,5726,1751712572,21147008,map,0.3039571940898895,-3.1474556922912598,-1.1277133226394653,-0.04698306002069436,-0.04971589449582303,0.5607065105456895,-0.8251843011941322
2025/07/05/17:49:32.092716,5727,1751712572,102147008,map,0.3115047514438629,-3.1660614013671875,-1.1276901960372925,-0.0471896750675959,-0.04973713016485663,0.558379919467595,-0.8267473725300496
2025/07/05/17:49:32.193607,5728,1751712572,202147008,map,0.3192559480667114,-3.1879019737243652,-1.126342535018921,-0.04677124947667585,-0.05022824318772214,0.555601681504972,-0.8286110941313258
2025/07/05/17:49:32.292127,5729,1751712572,302147008,map,0.32765692472457886,-3.2153592109680176,-1.128218650817871,-0.046003093401239856,-0.050848272779650115,0.5529343741030172,-0.830398546776274
2025/07/05/17:49:32.471740,5730,1751712572,480147008,map,0.3438502848148346,-3.26233172416687,-1.1325539350509644,-0.04535489285384895,-0.05123812478124834,0.5502444670166687,-0.8321950581328028
2025/07/05/17:49:32.572543,5731,1751712572,580147008,map,0.3549283742904663,-3.2890806198120117,-1.1345617771148682,-0.04519883876233255,-0.051309548568896315,0.5459265651688814,-0.8350380713734553
2025/07/05/17:49:32.672405,5732,1751712572,681147008,map,0.3663525879383087,-3.3140134811401367,-1.1352299451828003,-0.04555658377607384,-0.05140421269427996,0.5426836883257963,-0.837124016509528
2025/07/05/17:49:32.772078,5733,1751712572,781147008,map,0.37716495990753174,-3.3373239040374756,-1.1340361833572388,-0.04565160881063236,-0.05169626234809942,0.5399785777029267,-0.8388483550047422
2025/07/05/17:49:32.872779,5734,1751712572,881147008,map,0.39235028624534607,-3.3619518280029297,-1.1351534128189087,-0.04537227335207892,-0.052029810728552714,0.5373216856454403,-0.8405472394467535
2025/07/05/17:49:32.971954,5735,1751712572,981147008,map,0.4084939658641815,-3.3865201473236084,-1.1361091136932373,-0.04481065562269457,-0.052315745255816205,0.5347445445128503,-0.8422014842392151
